productId	standardCode	standard
Accommodation_rig_service	71122907	UNSPSC
Accommodation_service_for_adults_in_need	93142202	UNSPSC
Accommodation_service_for_elderly_in_need	93142203	UNSPSC
Accommodation_service_for_youth_in_need	93142201	UNSPSC
Accordion_bellows	23153142	UNSPSC
Accordion_file_folder	44122033	UNSPSC
Accordions	60131002	UNSPSC
Accounting_associations	94101604	UNSPSC
Accounting_forms_or_accounting_books	14111808	UNSPSC
Accounting_machines	44101803	UNSPSC
Accounting_Services	10007578	GS1
Accounting_software	43231601	UNSPSC
Accounting_software_maintenance	81112213	UNSPSC
Accounts_payable_process_as_a_service	81162301	UNSPSC
Accreditation_or_re-accreditation_service	86101811	UNSPSC
Accumulator_bladders_or_bags	27131510	UNSPSC
Acebrochol	51362603	UNSPSC
Aceburic_acid	51362201	UNSPSC
Acebutolol	51263138	UNSPSC
Acebutolol_hydrochloride	51263143	UNSPSC
Acecainide	51123101	UNSPSC
Acecainide_hydrochloride	51123102	UNSPSC
Acecarbromal	51363401	UNSPSC
Aceclidine	51151532	UNSPSC
Aceclidine_hydrochloride	51151533	UNSPSC
Aceclidine_salicylate	51151534	UNSPSC
Aceclofenac	51383302	UNSPSC
Acedapsone	51287001	UNSPSC
Acediasulfone	51101939	UNSPSC
Acefluranol	51181916	UNSPSC
Acefylline	51393408	UNSPSC
Acefylline_clofibrol	51393410	UNSPSC
Acefylline_piperazine	51392702	UNSPSC
Aceglatone	51113401	UNSPSC
Aceglutamide	51143002	UNSPSC
Aceglutamide_aluminium	51143020	UNSPSC
Acemetacin	51383401	UNSPSC
Acenocoumarol	51131619	UNSPSC
Aceperone	51262001	UNSPSC
Acepromazine	51332802	UNSPSC
Acepromazine_maleate	51332833	UNSPSC
Aceprometazine	51294902	UNSPSC
Aceprometazine_maleate	51294908	UNSPSC
Acerato_seed_or_seedlings	10151919	UNSPSC
AcerolaBarbados-cherrytrees_(Malpighia_emarginata)	10007049	GS1
Acetabular_augments	42321714	UNSPSC
Acetabular_cages	42321718	UNSPSC
Acetabular_cup_liners	42321703	UNSPSC
Acetabular_cup_shells	42321702	UNSPSC
Acetabular_cups	42321701	UNSPSC
Acetabular_meshes	42321719	UNSPSC
Acetabular_rings	42321722	UNSPSC
Acetabular_screws	42321713	UNSPSC
Acetal_polymer	13102003	UNSPSC
Acetaminophen_glucuronide	51381703	UNSPSC
Acetaminophen_mercapturate	51381704	UNSPSC
Acetaminophen_or_paracetamol	51381701	UNSPSC
Acetaminophen_sulfate	51381705	UNSPSC
Acetaminophen_test_system	41151701	UNSPSC
Acetaminophenaluminum_acetatechlorpheniraminephenylpropanolam	51162302	UNSPSC
Acetaminophenaluminum_hydroxideaspirincaffeinemagnesium_hydr	51132202	UNSPSC
Acetaminophenaluminum_hydroxideaspirinsalicylamide	51132203	UNSPSC
Acetaminophenaspirin	51132204	UNSPSC
Acetaminophenaspirincaffeine	51132205	UNSPSC
Acetaminophenaspirincaffeinecalcium_gluconate	51132206	UNSPSC
Acetaminophenaspirincaffeinecodeinesalicylamide	51373302	UNSPSC
Acetaminophenaspirincaffeinehydrocodone	51373303	UNSPSC
Acetaminophenaspirincaffeinesalicylamide	51132207	UNSPSC
Acetaminophenaspirincalcium_carbonate	51132208	UNSPSC
Acetaminophenaspirincodeine	51373304	UNSPSC
Acetaminophenaspirinphenylpropanolamine	51162303	UNSPSC
Acetaminophenbrompheniraminepseudoephedrine	51162304	UNSPSC
Acetaminophenbutalbital	51132209	UNSPSC
Acetaminophenbutalbitalcaffeine	51132210	UNSPSC
Acetaminophenbutalbitalcaffeinecodeine	51373305	UNSPSC
Acetaminophenbutalbitalcaffeinehydrocodone	51373306	UNSPSC
Acetaminophenbutalbitalcodeine	51373307	UNSPSC
Acetaminophencaffeine	51132201	UNSPSC
Acetaminophencaffeinechlorpheniraminehydrocodonephenylephrine	51373402	UNSPSC
AcetaminophenCaffeineChlorpheniraminePhenylephrine	51162357	UNSPSC
Acetaminophencaffeinechlorpheniraminephenylephrinepyrilamine	51162305	UNSPSC
Acetaminophencaffeinechlorpheniraminephenylpropanolamine	51162306	UNSPSC
Acetaminophencaffeinecodeinesalicylamide	51373308	UNSPSC
Acetaminophencaffeinedihydrocodeine	51373309	UNSPSC
Acetaminophencaffeineguaifenesinphenylephrine	51162307	UNSPSC
Acetaminophencaffeinehyoscyamus	51132212	UNSPSC
Acetaminophencaffeineisometheptene	51143401	UNSPSC
Acetaminophencaffeinephenylpropanolaminepyrilamine	51162202	UNSPSC
Acetaminophencaffeinephenylpropanolaminesalicylamide	51162308	UNSPSC
Acetaminophencaffeinephenyltoloxaminesalicylamide	51132213	UNSPSC
Acetaminophencaffeinepyrilamine	51132214	UNSPSC
Acetaminophencaffeinesalicylamide	51132215	UNSPSC
Acetaminophencalcium_carbonate	51132216	UNSPSC
Acetaminophencalcium_carbonatemagnesium_carbonatemagnesium_ox	51132217	UNSPSC
Acetaminophenchlorpheniramine	51162309	UNSPSC
Acetaminophenchlorpheniraminecodeinephenylephrine	51373403	UNSPSC
Acetaminophenchlorpheniraminedextromethorphan	51314302	UNSPSC
Acetaminophenchlorpheniraminedextromethorphanphenylephrine	51314383	UNSPSC
Acetaminophenchlorpheniraminedextromethorphanphenylpropanolamine	51314384	UNSPSC
Acetaminophenchlorpheniraminedextromethorphanpseudoephedrine	51314385	UNSPSC
Acetaminophenchlorpheniraminephenylephrine	51162310	UNSPSC
Acetaminophenchlorpheniraminephenylephrinepyrilamine	51162301	UNSPSC
Acetaminophenchlorpheniraminephenylephrinesalicylamide	51162312	UNSPSC
Acetaminophenchlorpheniraminephenylpropanolamine	51162313	UNSPSC
Acetaminophenchlorpheniraminephenylpropanolaminephenyltoloxamine	51162314	UNSPSC
Acetaminophenchlorpheniraminephenylpropanolaminesalicylamide	51162315	UNSPSC
Acetaminophenchlorpheniraminepseudoephedrine	51162316	UNSPSC
Acetaminophenchlorzoxazone	51152401	UNSPSC
Acetaminophencinnamedrinepamabrom	51132218	UNSPSC
Acetaminophencodeine	51373310	UNSPSC
Acetaminophencodeineguaifenesinphenylpropanolamine	51373404	UNSPSC
Acetaminophendexbrompheniraminepseudoephedrine	51162317	UNSPSC
Acetaminophendextromethorphan	51162501	UNSPSC
Acetaminophendextromethorphandiphenhydraminepseudoephedrine	51314386	UNSPSC
Acetaminophendextromethorphandoxylamine	51314387	UNSPSC
Acetaminophendextromethorphandoxylamineephedrine	51314388	UNSPSC
Acetaminophendextromethorphandoxylaminepseudoephedrine	51314389	UNSPSC
Acetaminophendextromethorphanguaifenesin	51162318	UNSPSC
Acetaminophendextromethorphanguaifenesinphenylephrine	51162402	UNSPSC
Acetaminophendextromethorphanguaifenesinphenylpropanolamine	51162403	UNSPSC
Acetaminophendextromethorphanguaifenesinpseudoephedrine	51162404	UNSPSC
Acetaminophendextromethorphanphenylephrine	51314390	UNSPSC
Acetaminophendextromethorphanphenylephrinepyrilamine	51314301	UNSPSC
Acetaminophendextromethorphanphenylpropanolamine	51162405	UNSPSC
Acetaminophendextromethorphanpseudoephedrine	51162406	UNSPSC
Acetaminophendichloralphenazoneisometheptene	51143402	UNSPSC
Acetaminophendihydrocodeinesalicylamide	51373301	UNSPSC
Acetaminophendiphenhydramine	51143702	UNSPSC
Acetaminophendiphenhydraminephenylephrine	51162319	UNSPSC
Acetaminophendiphenhydraminepseudoephedrine	51162203	UNSPSC
Acetaminophenhydrocodone	51373312	UNSPSC
Acetaminophenmeperidine	51373313	UNSPSC
Acetaminophenoxycodone	51373314	UNSPSC
Acetaminophenpamabrom	51132219	UNSPSC
Acetaminophenpamabrompyridoxine	51132220	UNSPSC
Acetaminophenpamabrompyrilamine	51132211	UNSPSC
Acetaminophenpentazocine	51373315	UNSPSC
Acetaminophenphenobarbital	51132222	UNSPSC
Acetaminophenphenylephrine	51162311	UNSPSC
Acetaminophenphenylpropanolamine	51162321	UNSPSC
Acetaminophenphenylpropanolaminephenyltoloxamine	51162322	UNSPSC
Acetaminophenphenyltoloxamine	51162323	UNSPSC
Acetaminophenphenyltoloxaminesalicylamide	51162324	UNSPSC
Acetaminophenpropoxyphene	51373316	UNSPSC
Acetaminophenpseudoephedrine	51162325	UNSPSC
Acetaminophenpseudoephedrinetriprolidine	51162326	UNSPSC
Acetaminophenpyrilamine_maleate	51132223	UNSPSC
Acetaminophensalicylamide	51132224	UNSPSC
Acetaminophentramadol	51132225	UNSPSC
Acetaminosalol	51142020	UNSPSC
Acetarsol_or_acetarsone	51101698	UNSPSC
Acetate_fibers	11151501	UNSPSC
Acetate_films	13111203	UNSPSC
Acetate_or_vinyl_or_polyester_films	60121135	UNSPSC
Acetate_standards	41141501	UNSPSC
