id	type	code	parent	name	description	level	hierarchy
Chickpeas1143111	Service	1143111	114311	Chickpeas		4	Detail
Chickpeas1143112	Service	1143112	114311	Chickpeas		4	Detail
OtherChickpeas	Service	1143113	114311	Other chickpeas	Other chickpeas.	4	Detail
Lentils	ServiceSubclass	114312	11431	Lentils	This subclass comprises lentils.	3	Subclass
LargeGreenLentils	Service	1143121	114312	Large green lentils	Large green lentils.	4	Detail
RedLentils	Service	1143122	114312	Red lentils	Red lentils.	4	Detail
SmallGreenLentils	Service	1143123	114312	Small green lentils	Small green lentils.	4	Detail
OtherLentils	Service	1143124	114312	Other lentils	Other lentils.	4	Detail
DryBeans	ServiceSubclass	114313	11431	Dry beans	This subclass comprises dry beans.	3	Subclass
DryWhiteBeans	Service	1143131	114313	Dry white beans	Dry white beans.	4	Detail
DryColouredBeans	Service	1143132	114313	Dry coloured beans	Dry coloured beans.	4	Detail
DryPeas	ServiceSubclass	114314	11431	Dry peas	This subclass comprises dry peas.	3	Subclass
YellowDryPeas	Service	1143141	114314	Yellow dry peas	Yellow dry peas.	4	Detail
GreenDryPeas	Service	1143142	114314	Green dry peas	Green dry peas.	4	Detail
OtherDryPeas	Service	1143143	114314	Other dry peas	Other dry peas.	4	Detail
OtherPulseCrops	ServiceSubclass	114315	11431	Other pulse crops	This subclass comprises other pulse crops.	3	Subclass
FabaBeans	Service	1143151	114315	Faba beans	Faba beans.	4	Detail
OtherPulseCrops1143152	Service	1143152	114315	Other pulse crops		4	Detail
OtherCropProducts	ServiceGroup	115		Other crop products	This group comprises crop products n.e.c.	1	Group
Grains	ServiceClass	11511	115	Grains (except wheat)	This class comprises unmilled cereal type grains	2	Class
CornGrain	ServiceSubclass	115111	11511	Corn for grain	This subclass comprises unmilled corn for grain.	3	Subclass
CornGrain1151111	Service	1151111	115111	Corn for grain	Unmilled corn for grain.	4	Detail
UnmilledRice	ServiceSubclass	115112	11511	Unmilled rice	This subclass comprises unmilled rice.	3	Subclass
UnmilledRice1151121	Service	1151121	115112	Unmilled rice	Unmilled rice.	4	Detail
Oats	ServiceSubclass	115113	11511	Oats	This subclass comprises unmilled oats	3	Subclass
Oats1151131	Service	1151131	115113	Oats	Unmilled oats	4	Detail
Barley	ServiceSubclass	115114	11511	Barley	This subclass comprises unmilled barley	3	Subclass
Barley1151141	Service	1151141	115114	Barley	Unmilled barley	4	Detail
OtherGrains	ServiceSubclass	115115	11511	Other grains		3	Subclass
MixedGrain	Service	1151151	115115	Mixed grain	Unmilled mixed cereal grain.	4	Detail
Rye	Service	1151152	115115	Rye	Unmilled rye.	4	Detail
Triticale	Service	1151153	115115	Triticale	Unmilled triticale.	4	Detail
WildRice	Service	1151154	115115	Wild rice	Unmilled wild rice.	4	Detail
OtherMiscellaneousGrains	Service	1151155	115115	Other miscellaneous grains	Other miscellaneous unmilled grains.	4	Detail
Oilseeds	ServiceClass	11512	115	Oilseeds (except canola)	This class comprises oilseeds	2	Class
Soybeans	ServiceSubclass	115121	11512	Soybeans	This subclass comprises unprocessed soybeans.	3	Subclass
Soybeans1151211	Service	1151211	115121	Soybeans	Unprocessed soybeans.	4	Detail
Oilseeds115122	ServiceSubclass	115122	11512	Oilseeds (except canola and soybeans)	This subclass comprises oilseeds	3	Subclass
Flaxseed	Service	1151221	115122	Flaxseed	Unprocessed flaxseed.	4	Detail
Solin	Service	1151222	115122	Solin	Unprocessed solin.	4	Detail
SunflowerSeeds	Service	1151223	115122	Sunflower seeds	Unprocessed sunflower seeds.	4	Detail
OtherOilseeds	Service	1151224	115122	Other oilseeds	Other unprocessed oilseeds.	4	Detail
OtherMiscellaneousCropProducts	ServiceClass	11513	115	Other miscellaneous crop products	This class comprises other miscellaneous crop products.	2	Class
UnstemmedLeafTobacco	ServiceSubclass	115131	11513	Unstemmed leaf tobacco	This subclass comprises unstemmed leaf tobacco.	3	Subclass
UnstemmedLeafTobacco1151311	Service	1151311	115131	Unstemmed leaf tobacco	Unstemmed leaf tobacco.	4	Detail
SugarCaneSugarBeets	ServiceSubclass	115132	11513	Sugar cane and sugar beets	This subclass comprises sugar cane and sugar beets.	3	Subclass
SugarCane	Service	1151321	115132	Sugar cane	Sugar cane.	4	Detail
SugarBeets	Service	1151322	115132	Sugar beets	Sugar beets.	4	Detail
RawTea	ServiceSubclass	115133	11513	Raw tea	This subclass comprises raw tea	3	Subclass
RawTea1151331	Service	1151331	115133	Raw tea	Raw tea	4	Detail
CocoaBeans	ServiceSubclass	115134	11513	Cocoa beans	This subclass comprises cocoa beans.	3	Subclass
CocoaBeans1151341	Service	1151341	115134	Cocoa beans	Cocoa beans.	4	Detail
GreenCoffeeBeans	ServiceSubclass	115135	11513	Green coffee beans	This subclass comprises green coffee beans.	3	Subclass
GreenCoffeeBeans1151351	Service	1151351	115135	Green coffee beans	Green coffee beans.	4	Detail
MapleSyrupOtherMapleProducts	ServiceSubclass	115136	11513	Maple syrup and other maple products	This subclass comprises maple syrup and other maple products.	3	Subclass
MapleSyrup	Service	1151361	115136	Maple syrup	Maple syrup.	4	Detail
MapleButter	Service	1151362	115136	Maple butter	Maple butter.	4	Detail
MapleSugar	Service	1151363	115136	Maple sugar	Maple sugar.	4	Detail
MapleTaffy	Service	1151364	115136	Maple taffy	Maple taffy.	4	Detail
OtherMapleProducts	Service	1151365	115136	Other maple products		4	Detail
RawCotton	ServiceSubclass	115137	11513	Raw cotton	This subclass comprises raw cotton.	3	Subclass
RawCotton1151371	Service	1151371	115137	Raw cotton	Raw cotton.	4	Detail
HayForage	ServiceSubclass	115138	11513	Hay and forage	This subclass comprises hay and forage.	3	Subclass
Hay	Service	1151381	115138	Hay		4	Detail
CornSilage	Service	1151382	115138	Corn for silage	Corn for silage.	4	Detail
UnworkedStraw	Service	1151383	115138	Unworked straw	Unworked straw.	4	Detail
OtherForage	Service	1151384	115138	Other forage		4	Detail
OtherMiscellaneousCropProducts115139	ServiceSubclass	115139	11513	Other miscellaneous crop products		3	Subclass
Hops	Service	1151391	115139	Hops	Hops.	4	Detail
NaturalVegetableFibres	Service	1151392	115139	Natural vegetable fibres	Natural vegetable fibres.	4	Detail
MedicinalPlants	Service	1151393	115139	Medicinal plants (except cannabis)	Medicinal plants	4	Detail
MustardSeeds	Service	1151394	115139	Mustard seeds	Unprocessed mustard seeds.	4	Detail
OtherSpiceSeeds	Service	1151395	115139	Other spice seeds	Other spice seeds.	4	Detail
VegetalGums	Service	1151396	115139	Vegetal gums	Vegetal gums	4	Detail
OtherCrudeVegetableMaterials	Service	1151397	115139	Other crude vegetable materials	Other crude vegetable materials.	4	Detail
SeedsPlantingExceptPotato	Service	1151398	115139	Seeds for planting (except potato	shrub and tree seeds)	4	Detail
FloricultureNurseryProducts	ServiceClass	11514	115	Floriculture and nursery products		2	Class
SeedsFlowers	ServiceSubclass	115141	11514	Seeds of flowers		3	Subclass
FlowerSeeds	Service	1151411	115141	Flower seeds	Flower seeds and dormant bulbs.	4	Detail
ShrubSeeds	Service	1151412	115141	Shrub seeds	Shrub seeds.	4	Detail
TreeSeeds	Service	1151413	115141	Tree seeds	Tree seeds.	4	Detail
ChristmasTrees	ServiceSubclass	115142	11514	Christmas trees	This subclass comprises natural Christmas trees.	3	Subclass
ChristmasTrees1151421	Service	1151421	115142	Christmas trees	Natural Christmas trees.	4	Detail
FloricultureProducts	ServiceSubclass	115143	11514	Floriculture products (except seeds)	This subclass comprises natural floriculture products	3	Subclass
IndoorPottedPlants	Service	1151431	115143	Indoor potted plants	Indoor potted plants.	4	Detail
OutdoorPottedPlants	Service	1151432	115143	Outdoor potted plants	Outdoor potted plants.	4	Detail
Cuttings	Service	1151433	115143	Cuttings	Cuttings.	4	Detail
BeddingPlants	Service	1151434	115143	Bedding plants	Bedding plants.	4	Detail
CutFlowers	Service	1151435	115143	Cut flowers	Cut flowers.	4	Detail
NurseryProducts	ServiceSubclass	115144	11514	Nursery products (except seeds)	This subclass comprises natural trees	3	Subclass
Trees	Service	1151441	115144	Trees	Trees.	4	Detail
Shrubs	Service	1151442	115144	Shrubs	Shrubs.	4	Detail
Vines	Service	1151443	115144	Vines	Vines.	4	Detail
SmallFruitBushes	Service	1151444	115144	Small fruit bushes	Small fruit bushes.	4	Detail
TreeSeedlings	Service	1151445	115144	Tree seedlings	Tree seedlings.	4	Detail
OtherNurseryTreesPlants	Service	1151446	115144	Other nursery trees and plants		4	Detail
Sod	ServiceSubclass	115145	11514	Sod	This subclass comprises sod	3	Subclass
Sod1151451	Service	1151451	115145	Sod	Sod	4	Detail
OtherAnimalProducts	ServiceGroup	116		Other animal products	This group comprises animal products n.e.c.	1	Group
EggsShell	ServiceClass	11611	116	Eggs in shell	This class comprises eggs in shell for consumption and for hatcheries.	2	Class
EggsShell116111	ServiceSubclass	116111	11611	Eggs in shell	This subclass comprises eggs in shell for consumption and for hatcheries.	3	Subclass
EggsShellConsumption	Service	1161111	116111	Eggs in shell for consumption	Eggs in shell for consumption.	4	Detail
EggsShellHatcheries	Service	1161112	116111	Eggs in shell for hatcheries	Fertilized eggs in shell for hatcheries.	4	Detail
EggsShell1161113	Service	1161113	116111	Eggs in shell		4	Detail
UnprocessedMilk	ServiceClass	11612	116	Unprocessed milk	This class comprises unprocessed milk.	2	Class
UnprocessedMilk116121	ServiceSubclass	116121	11612	Unprocessed milk	This subclass comprises unprocessed milk.	3	Subclass
UnprocessedMilk1161211	Service	1161211	116121	Unprocessed milk	Unprocessed milk.	4	Detail
RawFurskins	ServiceClass	11613	116	Raw furskins		2	Class
