serviceId	standard	standardCode
CashGrainCropsMarketPreparationServices	UNSPSC	70142005
VegetableCropsMarketPreparationServices	UNSPSC	70142006
FruitCropsMarketPreparationServices	UNSPSC	70142007
TreeNutCropsMarketPreparationServices	UNSPSC	70142008
GinningServices	UNSPSC	70142009
CropCleaningServices	UNSPSC	70142010
CoolingServices	UNSPSC	70142011
RefrigerationServices	UNSPSC	70142011
ForestResourcesManagementServices	UNSPSC	70151501
ForestPestControl	UNSPSC	70151502
ForestOrganizations	UNSPSC	70151503
Cooperatives	UNSPSC	70151503
Associations	UNSPSC	70151503
Cooperatives	UNSPSC	70151503
ForestAdministrationServices	UNSPSC	70151504
ForestInventory	UNSPSC	70151505
ForestMonitoring	UNSPSC	70151506
Evaluation	UNSPSC	70151506
AfforestationServices	UNSPSC	70151507
ForestryExtensionServices	UNSPSC	70151508
ForestNurseryManagement	UNSPSC	70151509
ForestSectoralPlanning	UNSPSC	70151510
NonwoodProductionServices	UNSPSC	70151601
EssentialOilsProduction	UNSPSC	70151602
TimberProductionServices	UNSPSC	70151603
DyesProduction	UNSPSC	70151604
EdibleForestryProduction	UNSPSC	70151605
WoodTestingServices	UNSPSC	70151606
Logging	UNSPSC	70151701
Felling	UNSPSC	70151701
ForestHarvestingMountainousAreas	UNSPSC	70151702
ForestHarvestingSpecializedOperations	UNSPSC	70151703
PlantationHarvesting	UNSPSC	70151704
SwampForestHarvesting	UNSPSC	70151705
MangroveForestHarvesting	UNSPSC	70151705
TemperateForestHarvesting	UNSPSC	70151706
TropicalHighForestsHarvesting	UNSPSC	70151707
ConservationOfForestGeneticResources	UNSPSC	70151801
ForestProtectionServices	UNSPSC	70151802
ForestAridLandRehabilitation	UNSPSC	70151803
ForestWindBreaksBelts	UNSPSC	70151804
ShelterBelts	UNSPSC	70151804
ForestReservesConservationServices	UNSPSC	70151805
ParksConservationServices	UNSPSC	70151805
ForestryWatershedManagement	UNSPSC	70151806
ForestryTorrentControl	UNSPSC	70151807
ForestResourcesDevelopment	UNSPSC	70151901
AgroforestryResources	UNSPSC	70151902
FuelWoodResources	UNSPSC	70151903
Silviculture	UNSPSC	70151904
AridRainfedPlantationResources	UNSPSC	70151905
BroadLeafedPlantationResources	UNSPSC	70151906
ConifersPlantations	UNSPSC	70151907
TropicalRainForestPlantations	UNSPSC	70151909
MangroveSwampsResources	UNSPSC	70151910
FaunaProtection	UNSPSC	70161501
FloraProtection	UNSPSC	70161601
EcodevelopmentServices	UNSPSC	70161701
MarineEcosystemManagementServices	UNSPSC	70161702
TerrestrialEcosystemManagementServices	UNSPSC	70161703
EcosystemsProtectionServices	UNSPSC	70161704
BushEcologyService	UNSPSC	70161705
BushConservationService	UNSPSC	70161705
ForestEcologyService	UNSPSC	70161705
ConservationService	UNSPSC	70161705
CoastalEcologyService	UNSPSC	70161706
CoastalConservationService	UNSPSC	70161706
ConservationOfAnimalSanctuariesFreeEnvironments	UNSPSC	70161707
PestFreeEnvironments	UNSPSC	70161707
BirdSanctuariesFreeEnvironments	UNSPSC	70161707
PestFreeEnvironments	UNSPSC	70161707
ManagementOfAnimalSanctuariesFreeEnvironments	UNSPSC	70161707
PestFreeEnvironments	UNSPSC	70161707
BirdSanctuariesFreeEnvironments	UNSPSC	70161707
PestFreeEnvironments	UNSPSC	70161707
ConservationOfFreshwaterPonds	UNSPSC	70161708
Streams	UNSPSC	70161708
Rivers	UNSPSC	70161708
Streams	UNSPSC	70161708
Lakes	UNSPSC	70161708
Streams	UNSPSC	70161708
Rivers	UNSPSC	70161708
Streams	UNSPSC	70161708
ManagementOfFreshwaterPonds	UNSPSC	70161708
Streams	UNSPSC	70161708
Rivers	UNSPSC	70161708
Streams	UNSPSC	70161708
Lakes	UNSPSC	70161708
Streams	UNSPSC	70161708
Rivers	UNSPSC	70161708
Streams	UNSPSC	70161708
RiparianMarginsEcologyService	UNSPSC	70161709
ConservationService	UNSPSC	70161709
WetlandEcologyService	UNSPSC	70161710
WetlandConservationService	UNSPSC	70161710
MangroveSwampEcologyService	UNSPSC	70161711
ConservationService	UNSPSC	70161711
WaterQualityAssessmentServices	UNSPSC	70171501
WaterResourcesPlanningServices	UNSPSC	70171502
GroundWaterSurveying	UNSPSC	70171503
SurfaceWaterSurveying	UNSPSC	70171503
WaterResourcesMappingServices	UNSPSC	70171504
RiverBasinDevelopment	UNSPSC	70171505
GroundWaterModelingServices	UNSPSC	70171506
SurfaceWaterModelingServices	UNSPSC	70171506
SurfaceWaterDevelopment	UNSPSC	70171507
WaterQualityManagement	UNSPSC	70171601
WaterTestingServices	UNSPSC	70171602
FloodplainManagement	UNSPSC	70171603
WaterConservationAdvisoryServices	UNSPSC	70171604
WaterRightsAdvisoryServices	UNSPSC	70171605
WaterResourceRecoveryServices	UNSPSC	70171606
WaterPricingServices	UNSPSC	70171607
CanalMaintenanceServices	UNSPSC	70171701
CanalManagementServices	UNSPSC	70171701
DamMaintenanceServices	UNSPSC	70171702
DamManagementServices	UNSPSC	70171702
ReservoirsMaintenanceServices	UNSPSC	70171703
ReservoirsManagementServices	UNSPSC	70171703
PumpingStationMaintenanceServices	UNSPSC	70171704
ManagementServices	UNSPSC	70171704
PipelinesMaintenanceServices	UNSPSC	70171705
PipelinesManagementServices	UNSPSC	70171705
DikeMaintenanceServices	UNSPSC	70171706
DikeManagementServices	UNSPSC	70171706
EmbankmentMaintenanceServices	UNSPSC	70171706
ManagementServices	UNSPSC	70171706
WaterWellMaintenanceServices	UNSPSC	70171707
ManagementServices	UNSPSC	70171707
IrrigationAdvisoryServices	UNSPSC	70171708
IrrigationSystemsManagementServices	UNSPSC	70171709
IrrigationSystemConstructionService	UNSPSC	70171710
LandDrainageServices	UNSPSC	70171801
StormWaterDrainage	UNSPSC	70171802
FloodProtectionServices	UNSPSC	70171803
FloodControlServices	UNSPSC	70171803
MineDevelopment	UNSPSC	71101501
TestBoringDrilling	UNSPSC	71101502
TestCoreDrilling	UNSPSC	71101502
ShaftSinking	UNSPSC	71101601
MineBlastingServices	UNSPSC	71101602
MineBoreHoleDrillingService	UNSPSC	71101603
SlopeShaftConstructionService	UNSPSC	71101604
MineHorizontalDrillingService	UNSPSC	71101605
UndergroundSealInstallationService	UNSPSC	71101606
UndergroundRoofingConstructionService	UNSPSC	71101607
BunkerConstructionService	UNSPSC	71101608
UndergroundVentilationConstructionService	UNSPSC	71101609
ShaftMiningServices	UNSPSC	71101701
OpenPitMiningServices	UNSPSC	71101702
StripMiningServices	UNSPSC	71101703
InSituLeachingIslServices	UNSPSC	71101704
Pumping	UNSPSC	71101705
Draining	UNSPSC	71101705
OverburdenRemoval	UNSPSC	71101706
ImpoundmentOfWaterServices	UNSPSC	71101707
StorageOfWaterServices	UNSPSC	71101707
SoilFlushingServices	UNSPSC	71101708
MineFillingServices	UNSPSC	71101709
MineMachineryRentalService	UNSPSC	71101710
LeasingService	UNSPSC	71101710
CasedHoleFormationSamplingTestingServices	UNSPSC	71112001
CasingThicknessMeasurementServices	UNSPSC	71112002
ChemicalCuttersServices	UNSPSC	71112003
ElectromagneticPipeRecoveryServices	UNSPSC	71112004
WellFlowMeasurementServices	UNSPSC	71112005
WellFluidDensityMeasurementServices	UNSPSC	71112006
WellFluidTemperatureMeasurementServices	UNSPSC	71112007
FreePointToolServices	UNSPSC	71112008
GammaRayServices	UNSPSC	71112009
JetCutterServices	UNSPSC	71112010
MeasurementWhilePerforatingServices	UNSPSC	71112011
NeutronPorosityServices	UNSPSC	71112012
NuclearSpectroscopyServices	UNSPSC	71112013
WellPackerServices	UNSPSC	71112014
