url	ns	type	id	name	description	code	sourceUrl
https://onet.org.ai/Occupation/Industrial_Engineers	onet.org.ai	Occupation	Industrial_Engineers	Industrial Engineers		17-2112.00	https://www.onetonline.org/link/summary/17-2112.00
https://onet.org.ai/Occupation/Human_Factors_Engineers_and_Ergonomists	onet.org.ai	Occupation	Human_Factors_Engineers_and_Ergonomists	Human Factors Engineers and Ergonomists		17-2112.01	https://www.onetonline.org/link/summary/17-2112.01
https://onet.org.ai/Occupation/Validation_Engineers	onet.org.ai	Occupation	Validation_Engineers	Validation Engineers		17-2112.02	https://www.onetonline.org/link/summary/17-2112.02
https://onet.org.ai/Occupation/Manufacturing_Engineers	onet.org.ai	Occupation	Manufacturing_Engineers	Manufacturing Engineers		17-2112.03	https://www.onetonline.org/link/summary/17-2112.03
https://onet.org.ai/Occupation/Marine_Engineers_and_Naval_Architects	onet.org.ai	Occupation	Marine_Engineers_and_Naval_Architects	Marine Engineers and Naval Architects		17-2121.00	https://www.onetonline.org/link/summary/17-2121.00
https://onet.org.ai/Occupation/Materials_Engineers	onet.org.ai	Occupation	Materials_Engineers	Materials Engineers		17-2131.00	https://www.onetonline.org/link/summary/17-2131.00
https://onet.org.ai/Occupation/Mechanical_Engineers	onet.org.ai	Occupation	Mechanical_Engineers	Mechanical Engineers		17-2141.00	https://www.onetonline.org/link/summary/17-2141.00
https://onet.org.ai/Occupation/Fuel_Cell_Engineers	onet.org.ai	Occupation	Fuel_Cell_Engineers	Fuel Cell Engineers		17-2141.01	https://www.onetonline.org/link/summary/17-2141.01
https://onet.org.ai/Occupation/Automotive_Engineers	onet.org.ai	Occupation	Automotive_Engineers	Automotive Engineers		17-2141.02	https://www.onetonline.org/link/summary/17-2141.02
https://onet.org.ai/Occupation/Mining_and_Geological_Engineers,_Including_Mining_Safety_Engineers	onet.org.ai	Occupation	Mining_and_Geological_Engineers,_Including_Mining_Safety_Engineers	Mining and Geological Engineers, Including Mining Safety Engineers		17-2151.00	https://www.onetonline.org/link/summary/17-2151.00
https://onet.org.ai/Occupation/Nuclear_Engineers	onet.org.ai	Occupation	Nuclear_Engineers	Nuclear Engineers		17-2161.00	https://www.onetonline.org/link/summary/17-2161.00
https://onet.org.ai/Occupation/Petroleum_Engineers	onet.org.ai	Occupation	Petroleum_Engineers	Petroleum Engineers		17-2171.00	https://www.onetonline.org/link/summary/17-2171.00
https://onet.org.ai/Occupation/Engineers,_All_Other	onet.org.ai	Occupation	Engineers,_All_Other	Engineers, All Other		17-2199.00	https://www.onetonline.org/link/summary/17-2199.00
https://onet.org.ai/Occupation/Energy_Engineers,_Except_Wind_and_Solar	onet.org.ai	Occupation	Energy_Engineers,_Except_Wind_and_Solar	Energy Engineers, Except Wind and Solar		17-2199.03	https://www.onetonline.org/link/summary/17-2199.03
https://onet.org.ai/Occupation/Mechatronics_Engineers	onet.org.ai	Occupation	Mechatronics_Engineers	Mechatronics Engineers		17-2199.05	https://www.onetonline.org/link/summary/17-2199.05
https://onet.org.ai/Occupation/Microsystems_Engineers	onet.org.ai	Occupation	Microsystems_Engineers	Microsystems Engineers		17-2199.06	https://www.onetonline.org/link/summary/17-2199.06
https://onet.org.ai/Occupation/Photonics_Engineers	onet.org.ai	Occupation	Photonics_Engineers	Photonics Engineers		17-2199.07	https://www.onetonline.org/link/summary/17-2199.07
https://onet.org.ai/Occupation/Robotics_Engineers	onet.org.ai	Occupation	Robotics_Engineers	Robotics Engineers		17-2199.08	https://www.onetonline.org/link/summary/17-2199.08
https://onet.org.ai/Occupation/Nanosystems_Engineers	onet.org.ai	Occupation	Nanosystems_Engineers	Nanosystems Engineers		17-2199.09	https://www.onetonline.org/link/summary/17-2199.09
https://onet.org.ai/Occupation/Wind_Energy_Engineers	onet.org.ai	Occupation	Wind_Energy_Engineers	Wind Energy Engineers		17-2199.10	https://www.onetonline.org/link/summary/17-2199.10
https://onet.org.ai/Occupation/Solar_Energy_Systems_Engineers	onet.org.ai	Occupation	Solar_Energy_Systems_Engineers	Solar Energy Systems Engineers		17-2199.11	https://www.onetonline.org/link/summary/17-2199.11
https://onet.org.ai/Occupation/Architectural_and_Civil_Drafters	onet.org.ai	Occupation	Architectural_and_Civil_Drafters	Architectural and Civil Drafters		17-3011.00	https://www.onetonline.org/link/summary/17-3011.00
https://onet.org.ai/Occupation/Electrical_and_Electronics_Drafters	onet.org.ai	Occupation	Electrical_and_Electronics_Drafters	Electrical and Electronics Drafters		17-3012.00	https://www.onetonline.org/link/summary/17-3012.00
https://onet.org.ai/Occupation/Mechanical_Drafters	onet.org.ai	Occupation	Mechanical_Drafters	Mechanical Drafters		17-3013.00	https://www.onetonline.org/link/summary/17-3013.00
