compound	component	position	totalComponents
PerformingGeneralHousekeepingDutiesSuchAsPainting	As	5	7
PerformingGeneralHousekeepingDutiesSuchAsPainting	Painting	6	7
PumpsAreBeingFilled	Pumps	0	4
PumpsAreBeingFilled	Are	1	4
PumpsAreBeingFilled	Being	2	4
PumpsAreBeingFilled	Filled	3	4
ContainersAreBeingFilled	Containers	0	4
ContainersAreBeingFilled	Are	1	4
ContainersAreBeingFilled	Being	2	4
ContainersAreBeingFilled	Filled	3	4
StartRegulateFlows	Start	0	3
StartRegulateFlows	Regulate	1	3
StartRegulateFlows	Flows	2	3
SubstancesSuchAsGases	Substances	0	4
SubstancesSuchAsGases	Such	1	4
SubstancesSuchAsGases	As	2	4
SubstancesSuchAsGases	Gases	3	4
StoreSubstancesSuchAsGases	Store	0	5
StoreSubstancesSuchAsGases	Substances	1	5
StoreSubstancesSuchAsGases	Such	2	5
StoreSubstancesSuchAsGases	As	3	5
StoreSubstancesSuchAsGases	Gases	4	5
OperatingSchedulesVerbalOrders	Operating	0	4
OperatingSchedulesVerbalOrders	Schedules	1	4
OperatingSchedulesVerbalOrders	Verbal	2	4
OperatingSchedulesVerbalOrders	Orders	3	4
InstructionsVerbalOrders	Instructions	0	3
InstructionsVerbalOrders	Verbal	1	3
InstructionsVerbalOrders	Orders	2	3
MaterialsUsingTestingEquipment	Materials	0	4
MaterialsUsingTestingEquipment	Using	1	4
MaterialsUsingTestingEquipment	Testing	2	4
MaterialsUsingTestingEquipment	Equipment	3	4
EquipmentSuchAsWaterTreatmentRefrigerationUnits	Equipment	0	7
EquipmentSuchAsWaterTreatmentRefrigerationUnits	Such	1	7
EquipmentSuchAsWaterTreatmentRefrigerationUnits	As	2	7
EquipmentSuchAsWaterTreatmentRefrigerationUnits	Water	3	7
EquipmentSuchAsWaterTreatmentRefrigerationUnits	Treatment	4	7
EquipmentSuchAsWaterTreatmentRefrigerationUnits	Refrigeration	5	7
EquipmentSuchAsWaterTreatmentRefrigerationUnits	Units	6	7
OneTank	One	0	2
OneTank	Tank	1	2
BlendMixtures	Blend	0	2
BlendMixtures	Mixtures	1	2
PumpsLines	Pumps	0	2
PumpsLines	Lines	1	2
GasLeaks	Gas	0	2
GasLeaks	Leaks	1	2
FluidLeaks	Fluid	0	2
FluidLeaks	Leaks	1	2
FlowLines	Flow	0	2
FlowLines	Lines	1	2
CompressorEnginesOil	Compressor	0	3
CompressorEnginesOil	Engines	1	3
CompressorEnginesOil	Oil	2	3
CompressorUnitsEquipment	Compressor	0	3
CompressorUnitsEquipment	Units	1	3
CompressorUnitsEquipment	Equipment	2	3
DivertOil	Divert	0	2
DivertOil	Oil	1	2
PumpingOperations	Pumping	0	2
PumpingOperations	Operations	1	2
ShutOffWellsAccording	Shut	0	4
ShutOffWellsAccording	Off	1	4
ShutOffWellsAccording	Wells	2	4
ShutOffWellsAccording	According	3	4
SwitchFlow	Switch	0	2
SwitchFlow	Flow	1	2
PumpingServiceRequired	Pumping	0	3
PumpingServiceRequired	Service	1	3
PumpingServiceRequired	Required	2	3
PipesPumpingEquipment	Pipes	0	3
PipesPumpingEquipment	Pumping	1	3
PipesPumpingEquipment	Equipment	2	3
ProducingOil	Producing	0	2
ProducingOil	Oil	1	2
TrucksPrior	Trucks	0	2
TrucksPrior	Prior	1	2
BeginningRoutes	Beginning	0	2
BeginningRoutes	Routes	1	2
EnsureSafeOperatingCondition	Ensure	0	4
EnsureSafeOperatingCondition	Safe	1	4
EnsureSafeOperatingCondition	Operating	2	4
EnsureSafeOperatingCondition	Condition	3	4
AlleysBusinessAreas	Alleys	0	3
AlleysBusinessAreas	Business	1	3
AlleysBusinessAreas	Areas	2	3
AddOtherFluids	Add	0	3
AddOtherFluids	Other	1	3
AddOtherFluids	Fluids	2	3
DefectiveEquipmentReports	Defective	0	3
DefectiveEquipmentReports	Equipment	1	3
DefectiveEquipmentReports	Reports	2	3
AutomatedHoistingDevicesRaiseRefuseBinsContents	Automated	0	7
AutomatedHoistingDevicesRaiseRefuseBinsContents	Hoisting	1	7
AutomatedHoistingDevicesRaiseRefuseBinsContents	Devices	2	7
AutomatedHoistingDevicesRaiseRefuseBinsContents	Raise	3	7
AutomatedHoistingDevicesRaiseRefuseBinsContents	Refuse	4	7
AutomatedHoistingDevicesRaiseRefuseBinsContents	Bins	5	7
AutomatedHoistingDevicesRaiseRefuseBinsContents	Contents	6	7
CollectGarbageRemountTrucks	Collect	0	4
CollectGarbageRemountTrucks	Garbage	1	4
CollectGarbageRemountTrucks	Remount	2	4
CollectGarbageRemountTrucks	Trucks	3	4
NextCollectionPoint	Next	0	3
NextCollectionPoint	Collection	1	3
NextCollectionPoint	Point	2	3
EquipmentCompressesCollectedRefuse	Equipment	0	4
EquipmentCompressesCollectedRefuse	Compresses	1	4
EquipmentCompressesCollectedRefuse	Collected	2	4
EquipmentCompressesCollectedRefuse	Refuse	3	4
DispatchersConcerningDelays	Dispatchers	0	3
DispatchersConcerningDelays	Concerning	1	3
DispatchersConcerningDelays	Delays	2	3
OtherMaintenanceProblems	Other	0	3
OtherMaintenanceProblems	Maintenance	1	3
OtherMaintenanceProblems	Problems	2	3
RoadConditions	Road	0	2
RoadConditions	Conditions	1	2
TrucksBodies	Trucks	0	2
TrucksBodies	Bodies	1	2
CompactorBodies	Compactor	0	2
CompactorBodies	Bodies	1	2
RecyclingContainers	Recycling	0	2
RecyclingContainers	Containers	1	2
InformCustomers	Inform	0	2
InformCustomers	Customers	1	2
OtherElectronicItems	Other	0	3
OtherElectronicItems	Electronic	1	3
OtherElectronicItems	Items	2	3
RefuseCollection	Refuse	0	2
RefuseCollection	Collection	1	2
AircraftDemand	Aircraft	0	2
AircraftDemand	Demand	1	2
OutsourcingStrategy	Outsourcing	0	2
OutsourcingStrategy	Strategy	1	2
PrototypeAircraft	Prototype	0	2
PrototypeAircraft	Aircraft	1	2
PrototypeProductDevelopment	Prototype	0	3
PrototypeProductDevelopment	Product	1	3
PrototypeProductDevelopment	Development	2	3
PrototypeProductResourceRequirements	Prototype	0	4
PrototypeProductResourceRequirements	Product	1	4
PrototypeProductResourceRequirements	Resource	2	4
PrototypeProductResourceRequirements	Requirements	3	4
InternalPrototypeDesign	Internal	0	3
InternalPrototypeDesign	Prototype	1	3
InternalPrototypeDesign	Design	2	3
PrototypeProcurementRequirements	Prototype	0	3
PrototypeProcurementRequirements	Procurement	1	3
PrototypeProcurementRequirements	Requirements	2	3
PrototypeManufacturing	Prototype	0	2
PrototypeManufacturing	Manufacturing	1	2
PrototypeQuality	Prototype	0	2
PrototypeQuality	Quality	1	2
PrototypeService	Prototype	0	2
PrototypeService	Service	1	2
PrototypeProcessDesign	Prototype	0	3
PrototypeProcessDesign	Process	1	3
PrototypeProcessDesign	Design	2	3
PreliminaryPrototypeProductCostModel	Preliminary	0	5
PreliminaryPrototypeProductCostModel	Prototype	1	5
PreliminaryPrototypeProductCostModel	Product	2	5
PreliminaryPrototypeProductCostModel	Cost	3	5
PreliminaryPrototypeProductCostModel	Model	4	5
AircraftTypeCertification	Aircraft	0	3
AircraftTypeCertification	Type	1	3
AircraftTypeCertification	Certification	2	3
EngineeringChangeNotices	Engineering	0	3
EngineeringChangeNotices	Change	1	3
EngineeringChangeNotices	Notices	2	3
PrototypeProductData	Prototype	0	3
PrototypeProductData	Product	1	3
PrototypeProductData	Data	2	3
ConfigurationPerspectives	Configuration	0	2
ConfigurationPerspectives	Perspectives	1	2
ProductionDelivery	Production	0	2
ProductionDelivery	Delivery	1	2
ProcessDevelopment	Process	0	2
ProcessDevelopment	Development	1	2
ProcurementRequirements	Procurement	0	2
ProcurementRequirements	Requirements	1	2
CostModel	Cost	0	2
CostModel	Model	1	2
ProcessCostData	Process	0	3
ProcessCostData	Cost	1	3
ProcessCostData	Data	2	3
ProductResourceRequirements	Product	0	3
ProductResourceRequirements	Resource	1	3
ProductResourceRequirements	Requirements	2	3
CapitalAssetPlanImpact	Capital	0	4
CapitalAssetPlanImpact	Asset	1	4
CapitalAssetPlanImpact	Plan	2	4
CapitalAssetPlanImpact	Impact	3	4
FacilitiesPlanImpact	Facilities	0	3
FacilitiesPlanImpact	Plan	1	3
FacilitiesPlanImpact	Impact	2	3
StrategicSourcingImpact	Strategic	0	3
StrategicSourcingImpact	Sourcing	1	3
StrategicSourcingImpact	Impact	2	3
IntegratedCapacityPlanImpact	Integrated	0	4
IntegratedCapacityPlanImpact	Capacity	1	4
IntegratedCapacityPlanImpact	Plan	2	4
IntegratedCapacityPlanImpact	Impact	3	4
ManufacturingScheduleImpact	Manufacturing	0	3
ManufacturingScheduleImpact	Schedule	1	3
ManufacturingScheduleImpact	Impact	2	3
HumanResourcesPlanImpact	Human	0	4
HumanResourcesPlanImpact	Resources	1	4
HumanResourcesPlanImpact	Plan	2	4
HumanResourcesPlanImpact	Impact	3	4
FinancialPlan	Financial	0	2
FinancialPlan	Plan	1	2
ReadinessStatus	Readiness	0	2
ReadinessStatus	Status	1	2
InternalSources	Internal	0	2
InternalSources	Sources	1	2
CommercialIndustryNeeds	Commercial	0	3
CommercialIndustryNeeds	Industry	1	3
CommercialIndustryNeeds	Needs	2	3
GovernmentNeeds	Government	0	2
GovernmentNeeds	Needs	1	2
MarketingStudies	Marketing	0	2
MarketingStudies	Studies	1	2
EnterpriseSalesForecasts	Enterprise	0	3
EnterpriseSalesForecasts	Sales	1	3
EnterpriseSalesForecasts	Forecasts	2	3
TacticalMarketing	Tactical	0	2
TacticalMarketing	Marketing	1	2
ShortTermMarketingForecast	Short	0	4
ShortTermMarketingForecast	Term	1	4
ShortTermMarketingForecast	Marketing	2	4
ShortTermMarketingForecast	Forecast	3	4
SalesOpportunities	Sales	0	2
SalesOpportunities	Opportunities	1	2
ProgramActualVs	Program	0	3
ProgramActualVs	Actual	1	3
ProgramActualVs	Vs	2	3
MarketingPlan	Marketing	0	2
MarketingPlan	Plan	1	2
VendorRecovery	Vendor	0	2
VendorRecovery	Recovery	1	2
ProgramDevelopment	Program	0	2
ProgramDevelopment	Development	1	2
OpportunitiesLikelihood	Opportunities	0	2
OpportunitiesLikelihood	Likelihood	1	2
CorporateGoalsStrategy	Corporate	0	3
CorporateGoalsStrategy	Goals	1	3
CorporateGoalsStrategy	Strategy	2	3
ExternalFundingConstraints	External	0	3
ExternalFundingConstraints	Funding	1	3
ExternalFundingConstraints	Constraints	2	3
InternalNon	Internal	0	2
InternalNon	Non	1	2
ExternalNon	External	0	2
ExternalNon	Non	1	2
InternalFundingConstraints	Internal	0	3
InternalFundingConstraints	Funding	1	3
InternalFundingConstraints	Constraints	2	3
BusinessRelationships	Business	0	2
BusinessRelationships	Relationships	1	2
StrategicPartneringOpportunities	Strategic	0	3
StrategicPartneringOpportunities	Partnering	1	3
StrategicPartneringOpportunities	Opportunities	2	3
PartnershipPlan	Partnership	0	2
PartnershipPlan	Plan	1	2
StrategicMarketingObjectives	Strategic	0	3
StrategicMarketingObjectives	Marketing	1	3
StrategicMarketingObjectives	Objectives	2	3
StrategicBusinessPartnerships	Strategic	0	3
StrategicBusinessPartnerships	Business	1	3
StrategicBusinessPartnerships	Partnerships	2	3
PartnershipObjectives	Partnership	0	2
PartnershipObjectives	Objectives	1	2
IntegratedBusinessPlanning	Integrated	0	3
IntegratedBusinessPlanning	Business	1	3
IntegratedBusinessPlanning	Planning	2	3
GovernmentTrends	Government	0	2
GovernmentTrends	Trends	1	2
AnnualSalesPlan	Annual	0	3
AnnualSalesPlan	Sales	1	3
AnnualSalesPlan	Plan	2	3
CapacityPlanning	Capacity	0	2
CapacityPlanning	Planning	1	2
InventoryPlanning	Inventory	0	2
InventoryPlanning	Planning	1	2
MaintenancePlanning	Maintenance	0	2
MaintenancePlanning	Planning	1	2
SourcingPlanning	Sourcing	0	2
SourcingPlanning	Planning	1	2
ToolingPlanning	Tooling	0	2
ToolingPlanning	Planning	1	2
CostCenters	Cost	0	2
CostCenters	Centers	1	2
BusinessUnitManagersEntity	Business	0	4
BusinessUnitManagersEntity	Unit	1	4
BusinessUnitManagersEntity	Managers	2	4
BusinessUnitManagersEntity	Entity	3	4
ConsolidatedIncomeStatement	Consolidated	0	3
ConsolidatedIncomeStatement	Income	1	3
ConsolidatedIncomeStatement	Statement	2	3
ConsolidatedBalanceSheet	Consolidated	0	3
ConsolidatedBalanceSheet	Balance	1	3
ConsolidatedBalanceSheet	Sheet	2	3
ConsolidatedCashFlow	Consolidated	0	3
ConsolidatedCashFlow	Cash	1	3
ConsolidatedCashFlow	Flow	2	3
ProgramRequirements	Program	0	2
ProgramRequirements	Requirements	1	2
ContractType	Contract	0	2
ContractType	Type	1	2
ContractData	Contract	0	2
ContractData	Data	1	2
MagnitudeEstimate	Magnitude	0	2
MagnitudeEstimate	Estimate	1	2
NetworkTask	Network	0	2
NetworkTask	Task	1	2
CorporatePlan	Corporate	0	2
CorporatePlan	Plan	1	2
ProgramMilestones	Program	0	2
ProgramMilestones	Milestones	1	2
SubcontractorReports	Subcontractor	0	2
SubcontractorReports	Reports	1	2
CentralSecurityService	Central	0	3
CentralSecurityService	Security	1	3
CentralSecurityService	Service	2	3
EarnedValueManagementSystem	Earned	0	4
EarnedValueManagementSystem	Value	1	4
EarnedValueManagementSystem	Management	2	4
EarnedValueManagementSystem	System	3	4
EvmsIssues	Evms	0	2
EvmsIssues	Issues	1	2
QualityReviews	Quality	0	2
QualityReviews	Reviews	1	2
ClassifiedProjects	Classified	0	2
ClassifiedProjects	Projects	1	2
ProjectChanges	Project	0	2
ProjectChanges	Changes	1	2
ResolveIssues	Resolve	0	2
ResolveIssues	Issues	1	2
IncorporateOptions	Incorporate	0	2
IncorporateOptions	Options	1	2
BorrowPayback	Borrow	0	2
BorrowPayback	Payback	1	2
CustomerReview	Customer	0	2
CustomerReview	Review	1	2
ProgramClose	Program	0	2
ProgramClose	Close	1	2
ProgramCommitments	Program	0	2
ProgramCommitments	Commitments	1	2
ProcurementDocuments	Procurement	0	2
ProcurementDocuments	Documents	1	2
FinalAllocation	Final	0	2
FinalAllocation	Allocation	1	2
PostingsExceptRateAdjustments	Postings	0	4
PostingsExceptRateAdjustments	Except	1	4
PostingsExceptRateAdjustments	Rate	2	4
PostingsExceptRateAdjustments	Adjustments	3	4
GovernmentPropertyDocuments	Government	0	3
GovernmentPropertyDocuments	Property	1	3
GovernmentPropertyDocuments	Documents	2	3
ObtainProgramEnhancements	Obtain	0	3
ObtainProgramEnhancements	Program	1	3
ObtainProgramEnhancements	Enhancements	2	3
FinalRateAdjustments	Final	0	3
FinalRateAdjustments	Rate	1	3
FinalRateAdjustments	Adjustments	2	3
ActualSales	Actual	0	2
ActualSales	Sales	1	2
ForwardPartsRequirementsForecasting	Forward	0	4
ForwardPartsRequirementsForecasting	Parts	1	4
ForwardPartsRequirementsForecasting	Requirements	2	4
ForwardPartsRequirementsForecasting	Forecasting	3	4
PmaParts	Pma	0	2
PmaParts	Parts	1	2
MaterialManagementStrategy	Material	0	3
MaterialManagementStrategy	Management	1	3
MaterialManagementStrategy	Strategy	2	3
MaterialReceiptStrategy	Material	0	3
MaterialReceiptStrategy	Receipt	1	3
MaterialReceiptStrategy	Strategy	2	3
SupplierPaymentStrategy	Supplier	0	3
SupplierPaymentStrategy	Payment	1	3
SupplierPaymentStrategy	Strategy	2	3
ProcurementStrategy	Procurement	0	2
ProcurementStrategy	Strategy	1	2
EnterpriseWideBusinessStrategy	Enterprise	0	4
EnterpriseWideBusinessStrategy	Wide	1	4
EnterpriseWideBusinessStrategy	Business	2	4
EnterpriseWideBusinessStrategy	Strategy	3	4
SpendAnalysisCustomerRequirements	Spend	0	4
SpendAnalysisCustomerRequirements	Analysis	1	4
SpendAnalysisCustomerRequirements	Customer	2	4
SpendAnalysisCustomerRequirements	Requirements	3	4
StrategicSourcing	Strategic	0	2
StrategicSourcing	Sourcing	1	2
MaterialSourcingCategories	Material	0	3
MaterialSourcingCategories	Sourcing	1	3
MaterialSourcingCategories	Categories	2	3
SupplierEvaluation	Supplier	0	2
SupplierEvaluation	Evaluation	1	2
SuppliersAgreements	Suppliers	0	2
SuppliersAgreements	Agreements	1	2
NegotiateAgreements	Negotiate	0	2
NegotiateAgreements	Agreements	1	2
SourcingImplementationPlans	Sourcing	0	3
SourcingImplementationPlans	Implementation	1	3
SourcingImplementationPlans	Plans	2	3
SupplierCatalogsLists	Supplier	0	3
SupplierCatalogsLists	Catalogs	1	3
SupplierCatalogsLists	Lists	2	3
SupplierContracts	Supplier	0	2
SupplierContracts	Contracts	1	2
MaterialQuality	Material	0	2
MaterialQuality	Quality	1	2
InventoryControl	Inventory	0	2
InventoryControl	Control	1	2
ProductSpecificTOperationalQuality	Product	0	5
ProductSpecificTOperationalQuality	Specific	1	5
ProductSpecificTOperationalQuality	T	2	5
ProductSpecificTOperationalQuality	Operational	3	5
ProductSpecificTOperationalQuality	Quality	4	5
CapitalAppropriationsRequests	Capital	0	3
CapitalAppropriationsRequests	Appropriations	1	3
CapitalAppropriationsRequests	Requests	2	3
SupplierPartnerTerms	Supplier	0	3
SupplierPartnerTerms	Partner	1	3
SupplierPartnerTerms	Terms	2	3
GrossBudget	Gross	0	2
GrossBudget	Budget	1	2
TOperationalCustomerServiceTargets	T	0	5
TOperationalCustomerServiceTargets	Operational	1	5
TOperationalCustomerServiceTargets	Customer	2	5
TOperationalCustomerServiceTargets	Service	3	5
TOperationalCustomerServiceTargets	Targets	4	5
AnnualAssemblyOperatingBudget	Annual	0	4
AnnualAssemblyOperatingBudget	Assembly	1	4
AnnualAssemblyOperatingBudget	Operating	2	4
AnnualAssemblyOperatingBudget	Budget	3	4
TestOperatingBudget	Test	0	3
TestOperatingBudget	Operating	1	3
TestOperatingBudget	Budget	2	3
ManufacturingOperationsStrategy	Manufacturing	0	3
ManufacturingOperationsStrategy	Operations	1	3
ManufacturingOperationsStrategy	Strategy	2	3
ProductSpecificManufacturingQuality	Product	0	4
ProductSpecificManufacturingQuality	Specific	1	4
ProductSpecificManufacturingQuality	Manufacturing	2	4
ProductSpecificManufacturingQuality	Quality	3	4
OperationalPracticePolicies	Operational	0	3
OperationalPracticePolicies	Practice	1	3
OperationalPracticePolicies	Policies	2	3
PerformanceTargetsSupportGoalFulfillment	Performance	0	5
PerformanceTargetsSupportGoalFulfillment	Targets	1	5
PerformanceTargetsSupportGoalFulfillment	Support	2	5
PerformanceTargetsSupportGoalFulfillment	Goal	3	5
PerformanceTargetsSupportGoalFulfillment	Fulfillment	4	5
CapabilitiesGapsStrategies	Capabilities	0	3
CapabilitiesGapsStrategies	Gaps	1	3
CapabilitiesGapsStrategies	Strategies	2	3
ClosureStrategies	Closure	0	2
ClosureStrategies	Strategies	1	2
CapitalAppropriations	Capital	0	2
CapitalAppropriations	Appropriations	1	2
ManufacturingOperationsbudget	Manufacturing	0	2
ManufacturingOperationsbudget	Operationsbudget	1	2
ManufacturingOperationsCustomerServiceTargets	Manufacturing	0	5
ManufacturingOperationsCustomerServiceTargets	Operations	1	5
ManufacturingOperationsCustomerServiceTargets	Customer	2	5
ManufacturingOperationsCustomerServiceTargets	Service	3	5
ManufacturingOperationsCustomerServiceTargets	Targets	4	5
AnnualManufacturingOperationsBudget	Annual	0	4
AnnualManufacturingOperationsBudget	Manufacturing	1	4
AnnualManufacturingOperationsBudget	Operations	2	4
AnnualManufacturingOperationsBudget	Budget	3	4
IntermediateRangeProductionPlans	Intermediate	0	4
IntermediateRangeProductionPlans	Range	1	4
IntermediateRangeProductionPlans	Production	2	4
IntermediateRangeProductionPlans	Plans	3	4
InventoryPlans	Inventory	0	2
InventoryPlans	Plans	1	2
NextPeriodSalesPlanningMeeting	Next	0	5
NextPeriodSalesPlanningMeeting	Period	1	5
NextPeriodSalesPlanningMeeting	Sales	2	5
NextPeriodSalesPlanningMeeting	Planning	3	5
NextPeriodSalesPlanningMeeting	Meeting	4	5
OperationsPlanningMeeting	Operations	0	3
OperationsPlanningMeeting	Planning	1	3
OperationsPlanningMeeting	Meeting	2	3
FinalSourcingAlternatives	Final	0	3
FinalSourcingAlternatives	Sourcing	1	3
FinalSourcingAlternatives	Alternatives	2	3
ToolingRoughCutCapacityPlanning	Tooling	0	5
ToolingRoughCutCapacityPlanning	Rough	1	5
ToolingRoughCutCapacityPlanning	Cut	2	5
ToolingRoughCutCapacityPlanning	Capacity	3	5
ToolingRoughCutCapacityPlanning	Planning	4	5
ProductionProject	Production	0	2
ProductionProject	Project	1	2
IntermediateRangeMaterialResourcePlanning	Intermediate	0	5
IntermediateRangeMaterialResourcePlanning	Range	1	5
IntermediateRangeMaterialResourcePlanning	Material	2	5
IntermediateRangeMaterialResourcePlanning	Resource	3	5
IntermediateRangeMaterialResourcePlanning	Planning	4	5
SalesProcurementTransportationOperations	Sales	0	4
SalesProcurementTransportationOperations	Procurement	1	4
SalesProcurementTransportationOperations	Transportation	2	4
SalesProcurementTransportationOperations	Operations	3	4
EquipmentData	Equipment	0	2
EquipmentData	Data	1	2
PlantEquipmentPreventativeMaintenancePlans	Plant	0	5
PlantEquipmentPreventativeMaintenancePlans	Equipment	1	5
PlantEquipmentPreventativeMaintenancePlans	Preventative	2	5
PlantEquipmentPreventativeMaintenancePlans	Maintenance	3	5
PlantEquipmentPreventativeMaintenancePlans	Plans	4	5
PhysicalPlantPreventativeMaintenanceManagementPlans	Physical	0	6
PhysicalPlantPreventativeMaintenanceManagementPlans	Plant	1	6
PhysicalPlantPreventativeMaintenanceManagementPlans	Preventative	2	6
PhysicalPlantPreventativeMaintenanceManagementPlans	Maintenance	3	6
PhysicalPlantPreventativeMaintenanceManagementPlans	Management	4	6
PhysicalPlantPreventativeMaintenanceManagementPlans	Plans	5	6
EnergyManagementPlans	Energy	0	3
EnergyManagementPlans	Management	1	3
EnergyManagementPlans	Plans	2	3
UnplannedMaintenanceActivities	Unplanned	0	3
UnplannedMaintenanceActivities	Maintenance	1	3
UnplannedMaintenanceActivities	Activities	2	3
ShortRangeDrp	Short	0	3
ShortRangeDrp	Range	1	3
ShortRangeDrp	Drp	2	3
ShortSchedule	Short	0	2
ShortSchedule	Schedule	1	2
FinalSchedules	Final	0	2
FinalSchedules	Schedules	1	2
OperatingDepartments	Operating	0	2
OperatingDepartments	Departments	1	2
OngoingNetChangeMrp	Ongoing	0	4
OngoingNetChangeMrp	Net	1	4
OngoingNetChangeMrp	Change	2	4
OngoingNetChangeMrp	Mrp	3	4
FullRegenerationMrp	Full	0	3
FullRegenerationMrp	Regeneration	1	3
FullRegenerationMrp	Mrp	2	3
ContractPeggingRelationships	Contract	0	3
ContractPeggingRelationships	Pegging	1	3
ContractPeggingRelationships	Relationships	2	3
DailyDeliverySchedules	Daily	0	3
DailyDeliverySchedules	Delivery	1	3
DailyDeliverySchedules	Schedules	2	3
ExternalSuppliers	External	0	2
ExternalSuppliers	Suppliers	1	2
PrintInternalPickLists	Print	0	4
PrintInternalPickLists	Internal	1	4
PrintInternalPickLists	Pick	2	4
PrintInternalPickLists	Lists	3	4
OrdersInboundShipments	Orders	0	3
OrdersInboundShipments	Inbound	1	3
OrdersInboundShipments	Shipments	2	3
ElectronicNumericControl	Electronic	0	3
ElectronicNumericControl	Numeric	1	3
ElectronicNumericControl	Control	2	3
PlantMaintenance	Plant	0	2
PlantMaintenance	Maintenance	1	2
SetupActivities	Setup	0	2
SetupActivities	Activities	1	2
MaterialAvailability	Material	0	2
MaterialAvailability	Availability	1	2
ManufacturingChange	Manufacturing	0	2
ManufacturingChange	Change	1	2
QualityHold	Quality	0	2
QualityHold	Hold	1	2
PostProductionInspections	Post	0	3
PostProductionInspections	Production	1	3
PostProductionInspections	Inspections	2	3
NonconformingMaterial	Nonconforming	0	2
NonconformingMaterial	Material	1	2
MatRiel	Mat	0	2
MatRiel	Riel	1	2
ProductionRelatedData	Production	0	3
ProductionRelatedData	Related	1	3
ProductionRelatedData	Data	2	3
DemandForecast	Demand	0	2
DemandForecast	Forecast	1	2
PackagingActivities	Packaging	0	2
PackagingActivities	Activities	1	2
LabelingActivities	Labeling	0	2
LabelingActivities	Activities	1	2
CalibrationDataDevice	Calibration	0	3
CalibrationDataDevice	Data	1	3
CalibrationDataDevice	Device	2	3
MeasurementDevice	Measurement	0	2
MeasurementDevice	Device	1	2
AircraftProductionCertification	Aircraft	0	3
AircraftProductionCertification	Production	1	3
AircraftProductionCertification	Certification	2	3
GovernmentalQualityRequirements	Governmental	0	3
GovernmentalQualityRequirements	Quality	1	3
GovernmentalQualityRequirements	Requirements	2	3
RegulatoryQualityRequirements	Regulatory	0	3
RegulatoryQualityRequirements	Quality	1	3
RegulatoryQualityRequirements	Requirements	2	3
IndustryQualityCapabilities	Industry	0	3
IndustryQualityCapabilities	Quality	1	3
IndustryQualityCapabilities	Capabilities	2	3
QualitySampling	Quality	0	2
QualitySampling	Sampling	1	2
TrainingMaterial	Training	0	2
TrainingMaterial	Material	1	2
OperatorsCarryingOutQualityActivities	Operators	0	5
OperatorsCarryingOutQualityActivities	Carrying	1	5
OperatorsCarryingOutQualityActivities	Out	2	5
OperatorsCarryingOutQualityActivities	Quality	3	5
OperatorsCarryingOutQualityActivities	Activities	4	5
ProductRedesigns	Product	0	2
ProductRedesigns	Redesigns	1	2
InternalQualityAudits	Internal	0	3
InternalQualityAudits	Quality	1	3
InternalQualityAudits	Audits	2	3
ExternalQualityAudits	External	0	3
ExternalQualityAudits	Quality	1	3
ExternalQualityAudits	Audits	2	3
StatisticalProcessControl	Statistical	0	3
StatisticalProcessControl	Process	1	3
StatisticalProcessControl	Control	2	3
InternationalStandardsOrganization	International	0	3
InternationalStandardsOrganization	Standards	1	3
InternationalStandardsOrganization	Organization	2	3
SimilarDocumentation	Similar	0	2
SimilarDocumentation	Documentation	1	2
ClaimsRelatedQualityInvestigations	Claims	0	4
ClaimsRelatedQualityInvestigations	Related	1	4
ClaimsRelatedQualityInvestigations	Quality	2	4
ClaimsRelatedQualityInvestigations	Investigations	3	4
ProductionToolingOperations	Production	0	3
ProductionToolingOperations	Tooling	1	3
ProductionToolingOperations	Operations	2	3
HighLevelToolDesignRequest	High	0	5
HighLevelToolDesignRequest	Level	1	5
HighLevelToolDesignRequest	Tool	2	5
HighLevelToolDesignRequest	Design	3	5
HighLevelToolDesignRequest	Request	4	5
NewProductDevelopmentProcess	New	0	4
NewProductDevelopmentProcess	Product	1	4
NewProductDevelopmentProcess	Development	2	4
NewProductDevelopmentProcess	Process	3	4
ModifyExistingTool	Modify	0	3
ModifyExistingTool	Existing	1	3
ModifyExistingTool	Tool	2	3
RepairExistingTool	Repair	0	3
RepairExistingTool	Existing	1	3
RepairExistingTool	Tool	2	3
BuyTools	Buy	0	2
BuyTools	Tools	1	2
MakeTools	Make	0	2
MakeTools	Tools	1	2
ProceedWorkOrder	Proceed	0	3
ProceedWorkOrder	Work	1	3
ProceedWorkOrder	Order	2	3
CancelWorkOrder	Cancel	0	3
CancelWorkOrder	Work	1	3
CancelWorkOrder	Order	2	3
FinalTool	Final	0	2
FinalTool	Tool	1	2
WorkOrderRequest	Work	0	3
WorkOrderRequest	Order	1	3
WorkOrderRequest	Request	2	3
PurchaseRequest	Purchase	0	2
PurchaseRequest	Request	1	2
ToolInventories	Tool	0	2
ToolInventories	Inventories	1	2
CribInventory	Crib	0	2
CribInventory	Inventory	1	2
CribOperations	Crib	0	2
CribOperations	Operations	1	2
FixedToolLifeCycleManagement	Fixed	0	5
FixedToolLifeCycleManagement	Tool	1	5
FixedToolLifeCycleManagement	Life	2	5
FixedToolLifeCycleManagement	Cycle	3	5
FixedToolLifeCycleManagement	Management	4	5
GaugeDeviceCalibrations	Gauge	0	3
GaugeDeviceCalibrations	Device	1	3
GaugeDeviceCalibrations	Calibrations	2	3
