compound	component	position	totalComponents
GradeStudentsClassWork	Students	1	4
GradeStudentsClassWork	Class	2	4
GradeStudentsClassWork	Work	3	4
UndergraduateTeaching	Undergraduate	0	2
UndergraduateTeaching	Teaching	1	2
GraduateTeaching	Graduate	0	2
GraduateTeaching	Teaching	1	2
AcademicVocationalCurricula	Academic	0	3
AcademicVocationalCurricula	Vocational	1	3
AcademicVocationalCurricula	Curricula	2	3
PublishFindings	Publish	0	2
PublishFindings	Findings	1	2
ProcureExternalResearchFunding	Procure	0	4
ProcureExternalResearchFunding	External	1	4
ProcureExternalResearchFunding	Research	2	4
ProcureExternalResearchFunding	Funding	3	4
ProductionData	Production	0	2
ProductionData	Data	1	2
SpecifiedForms	Specified	0	2
SpecifiedForms	Forms	1	2
CurrentLiterature	Current	0	2
CurrentLiterature	Literature	1	2
ExistingProducts	Existing	0	2
ExistingProducts	Products	1	2
CustomerServiceContacts	Customer	0	3
CustomerServiceContacts	Service	1	3
CustomerServiceContacts	Contacts	2	3
MonitorCompliance	Monitor	0	2
MonitorCompliance	Compliance	1	2
OtherInformation	Other	0	2
OtherInformation	Information	1	2
OperationalData	Operational	0	2
OperationalData	Data	1	2
OtherDevices	Other	0	2
OtherDevices	Devices	1	2
ChildrenResourceNeeds	Children	0	3
ChildrenResourceNeeds	Resource	1	3
ChildrenResourceNeeds	Needs	2	3
RegulatoryReports	Regulatory	0	2
RegulatoryReports	Reports	1	2
FinancialPerformance	Financial	0	2
FinancialPerformance	Performance	1	2
ResolveProblems	Resolve	0	2
ResolveProblems	Problems	1	2
NewEquipment	New	0	2
NewEquipment	Equipment	1	2
RegulatoryEnvironment	Regulatory	0	2
RegulatoryEnvironment	Environment	1	2
SupportServices	Support	0	2
SupportServices	Services	1	2
ProgramPerformance	Program	0	2
ProgramPerformance	Performance	1	2
EnvironmentalAudits	Environmental	0	2
EnvironmentalAudits	Audits	1	2
EquipmentUsed	Equipment	0	2
EquipmentUsed	Used	1	2
ChallengingTasks	Challenging	0	2
ChallengingTasks	Tasks	1	2
CareerIssues	Career	0	2
CareerIssues	Issues	1	2
DesignatedAreas	Designated	0	2
DesignatedAreas	Areas	1	2
EmployeeData	Employee	0	2
EmployeeData	Data	1	2
WorkActivities	Work	0	2
WorkActivities	Activities	1	2
ProvideInformation	Provide	0	2
ProvideInformation	Information	1	2
ContractTerms	Contract	0	2
ContractTerms	Terms	1	2
BusinessInformation	Business	0	2
BusinessInformation	Information	1	2
ClearObjectives	Clear	0	2
ClearObjectives	Objectives	1	2
CompletedWork	Completed	0	2
CompletedWork	Work	1	2
WeldingEquipment	Welding	0	2
WeldingEquipment	Equipment	1	2
OtherParts	Other	0	2
OtherParts	Parts	1	2
FaultyWiring	Faulty	0	2
FaultyWiring	Wiring	1	2
TendMachines	Tend	0	2
TendMachines	Machines	1	2
FinishedWorkpieces	Finished	0	2
FinishedWorkpieces	Workpieces	1	2
ResourceRequirements	Resource	0	2
ResourceRequirements	Requirements	1	2
SupplierInformation	Supplier	0	2
SupplierInformation	Information	1	2
ServiceLevelAgreements	Service	0	3
ServiceLevelAgreements	Level	1	3
ServiceLevelAgreements	Agreements	2	3
OutputMedia	Output	0	2
OutputMedia	Media	1	2
CreditPolicies	Credit	0	2
CreditPolicies	Policies	1	2
ProductionSchedules	Production	0	2
ProductionSchedules	Schedules	1	2
ComplianceFunction	Compliance	0	2
ComplianceFunction	Function	1	2
OtherPersonnel	Other	0	2
OtherPersonnel	Personnel	1	2
SafetyEquipment	Safety	0	2
SafetyEquipment	Equipment	1	2
OtherMaterials	Other	0	2
OtherMaterials	Materials	1	2
BalancedProgram	Balanced	0	2
BalancedProgram	Program	1	2
OtherTeachers	Other	0	2
OtherTeachers	Teachers	1	2
SolderingIrons	Soldering	0	2
SolderingIrons	Irons	1	2
MachineOperations	Machine	0	2
MachineOperations	Operations	1	2
ExistingModels	Existing	0	2
ExistingModels	Models	1	2
IncomingFeedback	Incoming	0	2
IncomingFeedback	Feedback	1	2
ManagementSystem	Management	0	2
ManagementSystem	System	1	2
HumanCapital	Human	0	2
HumanCapital	Capital	1	2
HrPlans	Hr	0	2
HrPlans	Plans	1	2
StaffingPlan	Staffing	0	2
