url	ns	type	id	code	name	description	label	comment	subClassOf	supersededBy
https://schema.org.ai/Type/Schema:comicstory	schema.org.ai	Type	Schema:comicstory	schema:ComicStory	schema:ComicStory		ComicStory	The term "story" is any indivisible, re-printable      unit of a comic, including the interior stories, covers, and backmatter. Most      comics have at least two stories: a cover (ComicCoverArt) and an interior story.	schema:CreativeWork	
https://schema.org.ai/Type/Schema:entrypoint	schema.org.ai	Type	Schema:entrypoint	schema:EntryPoint	schema:EntryPoint		EntryPoint	An entry point, within some Web-based protocol.	schema:Intangible	
https://schema.org.ai/Type/Schema:cancelaction	schema.org.ai	Type	Schema:cancelaction	schema:CancelAction	schema:CancelAction		CancelAction	The act of asserting that a future event/action is no longer going to happen.\n\nRelated actions:\n\n* [[ConfirmAction]]: The antonym of CancelAction.	schema:PlanAction	
https://schema.org.ai/Type/Schema:loanorcredit	schema.org.ai	Type	Schema:loanorcredit	schema:LoanOrCredit	schema:LoanOrCredit		LoanOrCredit	A financial product for the loaning of an amount of money, or line of credit, under agreed terms and charges.	schema:FinancialProduct	
https://schema.org.ai/Type/Schema:invoice	schema.org.ai	Type	Schema:invoice	schema:Invoice	schema:Invoice		Invoice	A statement of the money due for goods or services; a bill.	schema:Intangible	
https://schema.org.ai/Type/Schema:amradiochannel	schema.org.ai	Type	Schema:amradiochannel	schema:AMRadioChannel	schema:AMRadioChannel		AMRadioChannel	A radio channel that uses AM.	schema:RadioChannel	
https://schema.org.ai/Type/Schema:manuscript	schema.org.ai	Type	Schema:manuscript	schema:Manuscript	schema:Manuscript		Manuscript	A book, document, or piece of music written by hand rather than typed or printed.	schema:CreativeWork	
https://schema.org.ai/Type/Schema:book	schema.org.ai	Type	Schema:book	schema:Book	schema:Book		Book	A book.	schema:CreativeWork	
https://schema.org.ai/Type/Schema:courseinstance	schema.org.ai	Type	Schema:courseinstance	schema:CourseInstance	schema:CourseInstance		CourseInstance	An instance of a [[Course]] which is distinct from other instances because it is offered at a different time or location or through different media or modes of study or to a specific section of students.	schema:Event	
https://schema.org.ai/Type/Schema:touristinformationcenter	schema.org.ai	Type	Schema:touristinformationcenter	schema:TouristInformationCenter	schema:TouristInformationCenter		TouristInformationCenter	A tourist information center.	schema:LocalBusiness	
https://schema.org.ai/Type/Schema:eventreservation	schema.org.ai	Type	Schema:eventreservation	schema:EventReservation	schema:EventReservation		EventReservation	A reservation for an event like a concert, sporting event, or lecture.\n\nNote: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations. For offers of tickets, use [[Offer]].	schema:Reservation	
https://schema.org.ai/Type/Schema:deliverychargespecification	schema.org.ai	Type	Schema:deliverychargespecification	schema:DeliveryChargeSpecification	schema:DeliveryChargeSpecification		DeliveryChargeSpecification	The price for the delivery of an offer using a particular delivery method.	schema:PriceSpecification	
https://schema.org.ai/Type/Schema:businessevent	schema.org.ai	Type	Schema:businessevent	schema:BusinessEvent	schema:BusinessEvent		BusinessEvent	Event type: Business event.	schema:Event	
https://schema.org.ai/Type/Schema:courthouse	schema.org.ai	Type	Schema:courthouse	schema:Courthouse	schema:Courthouse		Courthouse	A courthouse.	schema:GovernmentBuilding	
