$id	$type	$context	name	description	code	subClassOf	url
https://schema.org.ai/EntryPoint	https://schema.org.ai/Class	https://schema.org.ai	EntryPoint	An entry point, within some Web-based protocol.	schema:EntryPoint	schema:Intangible	schema:EntryPoint
https://schema.org.ai/CancelAction	https://schema.org.ai/Class	https://schema.org.ai	CancelAction	The act of asserting that a future event/action is no longer going to happen.\n\nRelated actions:\n\n* [[ConfirmAction]]: The antonym of CancelAction.	schema:CancelAction	schema:PlanAction	schema:CancelAction
https://schema.org.ai/LoanOrCredit	https://schema.org.ai/Class	https://schema.org.ai	LoanOrCredit	A financial product for the loaning of an amount of money, or line of credit, under agreed terms and charges.	schema:LoanOrCredit	schema:FinancialProduct	schema:LoanOrCredit
https://schema.org.ai/Invoice	https://schema.org.ai/Class	https://schema.org.ai	Invoice	A statement of the money due for goods or services; a bill.	schema:Invoice	schema:Intangible	schema:Invoice
https://schema.org.ai/AMRadioChannel	https://schema.org.ai/Class	https://schema.org.ai	AMRadioChannel	A radio channel that uses AM.	schema:AMRadioChannel	schema:RadioChannel	schema:AMRadioChannel
https://schema.org.ai/Manuscript	https://schema.org.ai/Class	https://schema.org.ai	Manuscript	A book, document, or piece of music written by hand rather than typed or printed.	schema:Manuscript	schema:CreativeWork	schema:Manuscript
https://schema.org.ai/Book	https://schema.org.ai/Class	https://schema.org.ai	Book	A book.	schema:Book	schema:CreativeWork	schema:Book
https://schema.org.ai/CourseInstance	https://schema.org.ai/Class	https://schema.org.ai	CourseInstance	An instance of a [[Course]] which is distinct from other instances because it is offered at a different time or location or through different media or modes of study or to a specific section of students.	schema:CourseInstance	schema:Event	schema:CourseInstance
https://schema.org.ai/TouristInformationCenter	https://schema.org.ai/Class	https://schema.org.ai	TouristInformationCenter	A tourist information center.	schema:TouristInformationCenter	schema:LocalBusiness	schema:TouristInformationCenter
https://schema.org.ai/EventReservation	https://schema.org.ai/Class	https://schema.org.ai	EventReservation	A reservation for an event like a concert, sporting event, or lecture.\n\nNote: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations. For offers of tickets, use [[Offer]].	schema:EventReservation	schema:Reservation	schema:EventReservation
https://schema.org.ai/DeliveryChargeSpecification	https://schema.org.ai/Class	https://schema.org.ai	DeliveryChargeSpecification	The price for the delivery of an offer using a particular delivery method.	schema:DeliveryChargeSpecification	schema:PriceSpecification	schema:DeliveryChargeSpecification
https://schema.org.ai/BusinessEvent	https://schema.org.ai/Class	https://schema.org.ai	BusinessEvent	Event type: Business event.	schema:BusinessEvent	schema:Event	schema:BusinessEvent
https://schema.org.ai/Courthouse	https://schema.org.ai/Class	https://schema.org.ai	Courthouse	A courthouse.	schema:Courthouse	schema:GovernmentBuilding	schema:Courthouse
https://schema.org.ai/Muscle	https://schema.org.ai/Class	https://schema.org.ai	Muscle	A muscle is an anatomical structure consisting of a contractile form of tissue that animals use to effect movement.	schema:Muscle	schema:AnatomicalStructure	schema:Muscle
https://schema.org.ai/CarUsageType	https://schema.org.ai/Class	https://schema.org.ai	CarUsageType	A value indicating a special usage of a car, e.g. commercial rental, driving school, or as a taxi.	schema:CarUsageType	schema:Enumeration	schema:CarUsageType
https://schema.org.ai/HowTo	https://schema.org.ai/Class	https://schema.org.ai	HowTo	Instructions that explain how to achieve a result by performing a sequence of steps.	schema:HowTo	schema:CreativeWork	schema:HowTo
https://schema.org.ai/Permit	https://schema.org.ai/Class	https://schema.org.ai	Permit	A permit issued by an organization, e.g. a parking pass.	schema:Permit	schema:Intangible	schema:Permit
https://schema.org.ai/LocationFeatureSpecification	https://schema.org.ai/Class	https://schema.org.ai	LocationFeatureSpecification	Specifies a location feature by providing a structured value representing a feature of an accommodation as a property-value pair of varying degrees of formality.	schema:LocationFeatureSpecification	schema:PropertyValue	schema:LocationFeatureSpecification
