ns	type	id	name	description	code	commodityTitle
onet.org.ai	Tool	MetalCuttingRouters	Metal cutting routers	Metal cutting routers	27112707	
onet.org.ai	Tool	PlanishingHammers	Planishing hammers	Planishing hammers	27111602	
onet.org.ai	Tool	PneumaticPowerDrills	Pneumatic power drills	Pneumatic power drills	27131505	
onet.org.ai	Tool	PortableAnvils	Portable anvils	Portable anvils	27111603	
onet.org.ai	Tool	PowerNibblers	Power nibblers	Power nibblers	27111521	
onet.org.ai	Tool	PowerRiveters	Power riveters	Power riveters	27112725	
onet.org.ai	Tool	ProtectiveShoes	Protective shoes	Protective shoes	46181605	
onet.org.ai	Tool	RadialGauges	Radial gauges	Radial gauges	41111631	
onet.org.ai	Tool	Sheet_Metal_Press_Brakes	Sheet metal press brakes	Sheet metal press brakes	23251501	
onet.org.ai	Tool	SheetMetalRolls	Sheet metal rolls	Sheet metal rolls	23251501	
onet.org.ai	Tool	Sheet_Metal_Shearing_Machines	Sheet metal shearing machines	Sheet metal shearing machines	23241510	
onet.org.ai	Tool	StationaryDrillPresses	Stationary drill presses	Stationary drill presses	23241801	
onet.org.ai	Tool	StraightTinnersSnips	Straight tinners snips	Straight tinners snips	27111519	
onet.org.ai	Tool	TaperedFeelerGauges	Tapered feeler gauges	Tapered feeler gauges	41111617	
onet.org.ai	Tool	TurretPunches	Turret punches	Turret punches	23241801	
onet.org.ai	Tool	ClusterRollingMills	Cluster rolling mills	Cluster rolling mills	23251603	
onet.org.ai	Tool	CropShears	Crop shears	Crop shears	23241510	
onet.org.ai	Tool	DiameterGauges	Diameter gauges	Diameter gauges	41111631	
onet.org.ai	Tool	DigitalRadiusGauges	Digital radius gauges	Digital radius gauges	41111631	
onet.org.ai	Tool	DigitalStrainGauges	Digital strain gauges	Digital strain gauges	41111605	
onet.org.ai	Tool	DisplacementTransducers	Displacement transducers	Displacement transducers	41112111	
onet.org.ai	Tool	FinishingMills	Finishing mills	Finishing mills	23251603	
onet.org.ai	Tool	FluidPressureTransducers	Fluid pressure transducers	Fluid pressure transducers	41112110	
onet.org.ai	Tool	Four_High_Rolling_Mills	Four-high rolling mills	Four-high rolling mills	23251603	
onet.org.ai	Tool	HotMetalDetectors	Hot metal detectors	Hot metal detectors	41111903	
onet.org.ai	Tool	IndustrialFurnaces	Industrial furnaces	Industrial furnaces	40101805	
onet.org.ai	Tool	LongHandledBrushes	Long-handled brushes	Long-handled brushes	47131601	
onet.org.ai	Tool	OpticalGauges	Optical gauges	Optical gauges	41111927	
onet.org.ai	Tool	PlateOutlineGauges	Plate outline gauges	Plate outline gauges	41111623	
onet.org.ai	Tool	RollLubricationSystems	Roll lubrication systems	Roll lubrication systems	40151580	
onet.org.ai	Tool	RoughingMills	Roughing mills	Roughing mills	23251603	
onet.org.ai	Tool	SteelTapes	Steel tapes	Steel tapes	27111801	
onet.org.ai	Tool	TandemRollingMills	Tandem rolling mills	Tandem rolling mills	23251603	
onet.org.ai	Tool	Three_High_Rolling_Mills	Three-high rolling mills	Three-high rolling mills	23251603	
onet.org.ai	Tool	Two_High_Reversing_Rolling_Mills	Two-high reversing rolling mills	Two-high reversing rolling mills	23251603	
onet.org.ai	Tool	Two_High_Rolling_Mills	Two-high rolling mills	Two-high rolling mills	23251603	
onet.org.ai	Tool	Velocimeters	Velocimeters	Velocimeters	41103327	
onet.org.ai	Tool	WeighingLoadCells	Weighing load cells	Weighing load cells	41111605	
onet.org.ai	Tool	Computerized_Numerical_Control_Cnc_Turret_Punching_Machines	Computerized numerical control CNC turret punching machines	Computerized numerical control CNC turret punching machines	23251703	
onet.org.ai	Tool	CrimpingMachines	Crimping machines	Crimping machines	23101504	
onet.org.ai	Tool	DieCuttingPresses	Die cutting presses	Die cutting presses	23251703	
onet.org.ai	Tool	FormingPresses	Forming presses	Forming presses	23251501	
onet.org.ai	Tool	GearCuttingMachines	Gear-cutting machines	Gear-cutting machines	23241504	
onet.org.ai	Tool	HobbingPresses	Hobbing presses	Hobbing presses	23251501	
onet.org.ai	Tool	LayoutScales	Layout scales	Layout scales	44111807	
onet.org.ai	Tool	LockingHandPliers	Locking hand pliers	Locking hand pliers	27112115	
onet.org.ai	Tool	MetalScribers	Metal scribers	Metal scribers	27112303	
onet.org.ai	Tool	Multi_Axis_Computerized_Numerical_Control_Cnc_Machines	Multi-axis computerized numerical control CNC machines	Multi-axis computerized numerical control CNC machines	23242402	
onet.org.ai	Tool	MultiplePunchPresses	Multiple punch presses	Multiple punch presses	23241801	
onet.org.ai	Tool	NotchingMachines	Notching machines	Notching machines	23101508	
onet.org.ai	Tool	PowerGuillotineCutters	Power guillotine cutters	Power guillotine cutters	23101508	
onet.org.ai	Tool	SawingMachines	Sawing machines	Sawing machines	23101512	
onet.org.ai	Tool	ShearPresses	Shear presses	Shear presses	23241801	
onet.org.ai	Tool	ShearingMachines	Shearing machines	Shearing machines	23241510	
onet.org.ai	Tool	SlittingMachines	Slitting machines	Slitting machines	23101508	
onet.org.ai	Tool	SpeedLathes	Speed lathes	Speed lathes	23242303	
onet.org.ai	Tool	ThermalCuttingMachines	Thermal cutting machines	Thermal cutting machines	23101508	
onet.org.ai	Tool	TogglePresses	Toggle presses	Toggle presses	23251501	
onet.org.ai	Tool	TurretPresses	Turret presses	Turret presses	23241801	
onet.org.ai	Tool	AdjustableJigs	Adjustable jigs	Adjustable jigs	23153018	
onet.org.ai	Tool	Computerized_Numerical_Control_Cnc_Boring_Machines	Computerized numerical control CNC boring machines	Computerized numerical control CNC boring machines	23101505	
onet.org.ai	Tool	HorizontalBoringMills	Horizontal boring mills	Horizontal boring mills	23241901	
onet.org.ai	Tool	Multiple_Spindle_Drill_Presses	Multiple spindle drill presses	Multiple spindle drill presses	23241801	
onet.org.ai	Tool	RadialDrillPresses	Radial drill presses	Radial drill presses	23241801	
onet.org.ai	Tool	Single_Spindle_Drill_Presses	Single spindle drill presses	Single spindle drill presses	23241801	
onet.org.ai	Tool	BarrelFinishingMachines	Barrel finishing machines	Barrel finishing machines	23241703	
onet.org.ai	Tool	BenchClamps	Bench clamps	Bench clamps	31162913	
onet.org.ai	Tool	ChuckWrenches	Chuck wrenches	Chuck wrenches	27111727	
onet.org.ai	Tool	Computer_Numerical_Control_Cnc_Grinding_Machines	Computer numerical control CNC grinding machines	Computer numerical control CNC grinding machines	23241402	
onet.org.ai	Tool	ComputerizedMicroscopes	Computerized microscopes	Computerized microscopes	41111709	
onet.org.ai	Tool	CylinderGrinders	Cylinder grinders	Cylinder grinders	23241402	
onet.org.ai	Tool	DigitalComparators	Digital comparators	Digital comparators	41113702	
onet.org.ai	Tool	Electric_Overhead_Travelling_Eot_Cranes	Electric overhead travelling EOT cranes	Electric overhead travelling EOT cranes	24101653	
onet.org.ai	Tool	GagePins	Gage pins	Gage pins	41111623	
onet.org.ai	Tool	HandDeburringTools	Hand deburring tools	Hand deburring tools	27111526	
onet.org.ai	Tool	Inner_Diameter_Id_Grinders	Inner diameter ID grinders	Inner diameter ID grinders	23241402	
onet.org.ai	Tool	LimitGauges	Limit gauges	Limit gauges	41111623	
onet.org.ai	Tool	MetalPolishingMachines	Metal polishing machines	Metal polishing machines	23242605	
onet.org.ai	Tool	MetalworkingSurfacePlates	Metalworking surface plates	Metalworking surface plates	27111826	
onet.org.ai	Tool	Outer_Diameter_Od_Grinders	Outer diameter OD grinders	Outer diameter OD grinders	23241402	
onet.org.ai	Tool	PipeChamferingMachines	Pipe chamfering machines	Pipe chamfering machines	23242603	
onet.org.ai	Tool	UniversalGrindingMachines	Universal grinding machines	Universal grinding machines	23241402	
onet.org.ai	Tool	1_2_3_Blocks	1-2-3 blocks	1-2-3 blocks	41111618	
onet.org.ai	Tool	AutomaticToolChangers	Automatic tool changers	Automatic tool changers	27112809	
onet.org.ai	Tool	AutomaticTurretLathes	Automatic turret lathes	Automatic turret lathes	23242305	
onet.org.ai	Tool	BarFeeders	Bar feeders	Bar feeders	24101704	
onet.org.ai	Tool	BoringHeads	Boring heads	Boring heads	23241601	
onet.org.ai	Tool	CapstanLathes	Capstan lathes	Capstan lathes	23242305	
onet.org.ai	Tool	CarbideCuttingInserts	Carbide cutting inserts	Carbide cutting inserts	23242107	
onet.org.ai	Tool	CenterFinders	Center finders	Center finders	27112825	
onet.org.ai	Tool	Center_Cutting_End_Mills	Center-cutting end mills	Center-cutting end mills	27112803	
onet.org.ai	Tool	CoaxialIndicators	Coaxial indicators	Coaxial indicators	41111630	
onet.org.ai	Tool	CombinationSquareSets	Combination square sets	Combination square sets	27111815	
onet.org.ai	Tool	Computer_Numerically_Controlled_Cnc_Lathes	Computer numerically controlled CNC lathes	Computer numerically controlled CNC lathes	23242302	
onet.org.ai	Tool	CutoffTools	Cutoff tools	Cutoff tools	23242119	
onet.org.ai	Tool	DialTestIndicators	Dial test indicators	Dial test indicators	41111630	
onet.org.ai	Tool	DrillGaugeSets	Drill gauge sets	Drill gauge sets	41111650	
onet.org.ai	Tool	ElectronicEdgeFinders	Electronic edge finders	Electronic edge finders	27112825	
onet.org.ai	Tool	FaceturnTools	Face/turn tools	Face/turn tools	23242119	
onet.org.ai	Tool	ForkTrucks	Fork trucks	Fork trucks	24101603	
onet.org.ai	Tool	GangToolLathes	Gang-tool lathes	Gang-tool lathes	23242302	
onet.org.ai	Tool	Gono_Go_Gauge_Sets	Go/no go gauge sets	Go/no go gauge sets	41111619	
onet.org.ai	Tool	GrooveTools	Groove tools	Groove tools	23242119	
onet.org.ai	Tool	HandTaps	Hand taps	Hand taps	23291804	
onet.org.ai	Tool	HeightSetters	Height setters	Height setters	27112825	
onet.org.ai	Tool	HorizontalLathes	Horizontal lathes	Horizontal lathes	23242303	
onet.org.ai	Tool	Inside_Digital_Id_Calipers	Inside digital ID calipers	Inside digital ID calipers	41111621	
onet.org.ai	Tool	JibHoists	Jib hoists	Jib hoists	24101602	
onet.org.ai	Tool	LatheChucks	Lathe chucks	Lathe chucks	27112807	
onet.org.ai	Tool	MachinistsTaperGauges	Machinists' taper gauges	Machinists' taper gauges	41111648	
onet.org.ai	Tool	MechanicalEdgeFinders	Mechanical edge finders	Mechanical edge finders	27112825	
onet.org.ai	Tool	MultispindleLathes	Multispindle lathes	Multispindle lathes	23242302	
onet.org.ai	Tool	Open_End_Hand_Wrenches	Open end hand wrenches	Open end hand wrenches	27111706	
onet.org.ai	Tool	Outside_Digital_Od_Calipers	Outside digital OD calipers	Outside digital OD calipers	41111621	
onet.org.ai	Tool	Parting_Off_Tool_Holders	Parting off tool holders	Parting off tool holders	27112809	
onet.org.ai	Tool	PartingOffTools	Parting off tools	Parting off tools	23242119	
onet.org.ai	Tool	PrecisionMillingVises	Precision milling vises	Precision milling vises	27112154	
onet.org.ai	Tool	ProfileProjectors	Profile projectors	Profile projectors	41113702	
onet.org.ai	Tool	PushPullRules	Push-pull rules	Push-pull rules	27111801	
onet.org.ai	Tool	ScrewPitchGauge	Screw pitch gauge	Screw pitch gauge	41111641	
onet.org.ai	Tool	StraightEdges	Straight edges	Straight edges	27111807	
onet.org.ai	Tool	SurfaceFinishComparators	Surface finish comparators	Surface finish comparators	41113702	
onet.org.ai	Tool	SwissTurningCenters	Swiss turning centers	Swiss turning centers	23242302	
onet.org.ai	Tool	SwissStyleLathes	Swiss-style lathes	Swiss-style lathes	23242302	
onet.org.ai	Tool	ThreadingTools	Threading tools	Threading tools	23242117	
onet.org.ai	Tool	ToolProbes	Tool probes	Tool probes	27112825	
onet.org.ai	Tool	Trammels	Trammels	Trammels	44111803	
onet.org.ai	Tool	VerticalTurningCenters	Vertical turning centers	Vertical turning centers	23242306	
onet.org.ai	Tool	AdjustableSpannerWrenches	Adjustable spanner wrenches	Adjustable spanner wrenches	27111726	
onet.org.ai	Tool	ColletChucks	Collet chucks	Collet chucks	27112808	
onet.org.ai	Tool	Computer_Numerical_Control_Cnc_Milling_Machines	Computer numerical control CNC milling machines	Computer numerical control CNC milling machines	23242507	
