url	ns	type	id	code	name	description	source	level	segment	segmentCode	family	familyCode	class	classCode	parent	hierarchy
https://napcs.org.ai/ServiceSubclass/Wheat112111	napcs.org.ai	ServiceSubclass	Wheat112111	112111	Wheat	This subclass comprises all the varieties of unmilled wheat.	NAPCS	3							11211	
https://napcs.org.ai/Service/Wheat1121111	napcs.org.ai	Service	Wheat1121111	1121111	Wheat (except durum wheat)	All the varieties of unmilled wheat	NAPCS	4							112111	
https://napcs.org.ai/Service/DurumWheat	napcs.org.ai	Service	DurumWheat	1121112	Durum wheat	Unmilled durum wheat.	NAPCS	4							112111	
https://napcs.org.ai/ServiceGroup/Canola	napcs.org.ai	ServiceGroup	Canola	113	Canola (including rapeseed)	This group comprises canola and rapeseed.	NAPCS	1								
https://napcs.org.ai/ServiceClass/Canola11311	napcs.org.ai	ServiceClass	Canola11311	11311	Canola (including rapeseed)	This class comprises canola and rapeseed.	NAPCS	2							113	
https://napcs.org.ai/ServiceSubclass/Canola113111	napcs.org.ai	ServiceSubclass	Canola113111	113111	Canola (including rapeseed)	This subclass comprises canola and rapeseed.	NAPCS	3							11311	
https://napcs.org.ai/Service/Canola1131111	napcs.org.ai	Service	Canola1131111	1131111	Canola	Canola	NAPCS	4							113111	
https://napcs.org.ai/Service/Rapeseed	napcs.org.ai	Service	Rapeseed	1131112	Rapeseed (except canola)	Rapeseed	NAPCS	4							113111	
https://napcs.org.ai/ServiceGroup/FreshFruit	napcs.org.ai	ServiceGroup	FreshFruit	114	Fresh fruit	and pulse crops	NAPCS	1								
https://napcs.org.ai/ServiceClass/FreshFruitNuts	napcs.org.ai	ServiceClass	FreshFruitNuts	11411	Fresh fruit and nuts	This class comprises fresh fruit and nuts.	NAPCS	2							114	
https://napcs.org.ai/ServiceSubclass/FreshBerries	napcs.org.ai	ServiceSubclass	FreshBerries	114111	Fresh berries	This subclass comprises fresh berries.	NAPCS	3							11411	
https://napcs.org.ai/Service/FreshStrawberries	napcs.org.ai	Service	FreshStrawberries	1141111	Fresh strawberries	Fresh strawberries.	NAPCS	4							114111	
https://napcs.org.ai/Service/FreshRaspberries	napcs.org.ai	Service	FreshRaspberries	1141112	Fresh raspberries	Fresh raspberries.	NAPCS	4							114111	
https://napcs.org.ai/Service/FreshCranberries	napcs.org.ai	Service	FreshCranberries	1141113	Fresh cranberries	Fresh cranberries.	NAPCS	4							114111	
https://napcs.org.ai/Service/FreshBlueberries	napcs.org.ai	Service	FreshBlueberries	1141114	Fresh blueberries	Fresh blueberries.	NAPCS	4							114111	
https://napcs.org.ai/Service/OtherFreshBerries	napcs.org.ai	Service	OtherFreshBerries	1141115	Other fresh berries	Other fresh berries.	NAPCS	4							114111	
https://napcs.org.ai/ServiceSubclass/FreshCitrusFruit	napcs.org.ai	ServiceSubclass	FreshCitrusFruit	114112	Fresh citrus fruit	This subclass comprises fresh citrus fruit.	NAPCS	3							11411	
https://napcs.org.ai/Service/FreshOranges	napcs.org.ai	Service	FreshOranges	1141121	Fresh oranges	Fresh oranges.	NAPCS	4							114112	
https://napcs.org.ai/Service/OtherFreshCitrusFruit	napcs.org.ai	Service	OtherFreshCitrusFruit	1141122	Other fresh citrus fruit	Other fresh citrus fruit.	NAPCS	4							114112	
https://napcs.org.ai/ServiceSubclass/FreshTropicalSemitropicalFruit	napcs.org.ai	ServiceSubclass	FreshTropicalSemitropicalFruit	114113	Fresh tropical and semitropical fruit (except citrus fruit)	This subclass comprises fresh tropical and semitropical fruit	NAPCS	3							11411	
https://napcs.org.ai/Service/FreshBananas	napcs.org.ai	Service	FreshBananas	1141131	Fresh bananas	Fresh bananas.	NAPCS	4							114113	
https://napcs.org.ai/Service/FreshPineapples	napcs.org.ai	Service	FreshPineapples	1141132	Fresh pineapples	Fresh pineapples.	NAPCS	4							114113	
https://napcs.org.ai/Service/FreshOlives	napcs.org.ai	Service	FreshOlives	1141133	Fresh olives	Fresh olives.	NAPCS	4							114113	
https://napcs.org.ai/Service/OtherFreshTropicalSemitropicalFruit	napcs.org.ai	Service	OtherFreshTropicalSemitropicalFruit	1141134	Other fresh tropical and semitropical fruit	Other fresh tropical and semitropical fruit.	NAPCS	4							114113	
https://napcs.org.ai/ServiceSubclass/OtherFreshFruit	napcs.org.ai	ServiceSubclass	OtherFreshFruit	114114	Other fresh fruit	This subclass comprises fresh fruit n.e.c.	NAPCS	3							11411	
https://napcs.org.ai/Service/FreshApples	napcs.org.ai	Service	FreshApples	1141141	Fresh apples	Fresh apples.	NAPCS	4							114114	
https://napcs.org.ai/Service/FreshPears	napcs.org.ai	Service	FreshPears	1141142	Fresh pears	Fresh pears.	NAPCS	4							114114	
https://napcs.org.ai/Service/FreshPlumsPrunePlums	napcs.org.ai	Service	FreshPlumsPrunePlums	1141143	Fresh plums and prune plums	Fresh plums and prune plums.	NAPCS	4							114114	
https://napcs.org.ai/Service/FreshPeaches	napcs.org.ai	Service	FreshPeaches	1141144	Fresh peaches		NAPCS	4							114114	
https://napcs.org.ai/Service/FreshCherries	napcs.org.ai	Service	FreshCherries	1141145	Fresh cherries	Fresh cherries.	NAPCS	4							114114	
https://napcs.org.ai/Service/OtherFreshPomeStoneFruit	napcs.org.ai	Service	OtherFreshPomeStoneFruit	1141146	Other fresh pome and stone fruit	Other fresh pome and stone fruit.	NAPCS	4							114114	
https://napcs.org.ai/Service/FreshGrapes	napcs.org.ai	Service	FreshGrapes	1141147	Fresh grapes	Fresh grapes.	NAPCS	4							114114	
https://napcs.org.ai/Service/OtherFreshFruit1141148	napcs.org.ai	Service	OtherFreshFruit1141148	1141148	Other fresh fruit		NAPCS	4							114114	
https://napcs.org.ai/ServiceSubclass/Nuts	napcs.org.ai	ServiceSubclass	Nuts	114115	Nuts	This subclass comprises nuts.	NAPCS	3							11411	
https://napcs.org.ai/Service/Peanuts	napcs.org.ai	Service	Peanuts	1141151	Peanuts	Peanuts shelled or in shell.	NAPCS	4							114115	
https://napcs.org.ai/Service/Hazelnuts	napcs.org.ai	Service	Hazelnuts	1141152	Hazelnuts	Hazelnuts shelled or in shell.	NAPCS	4							114115	
https://napcs.org.ai/Service/OtherNuts	napcs.org.ai	Service	OtherNuts	1141153	Other nuts	Nuts shelled or in shell	NAPCS	4							114115	
https://napcs.org.ai/ServiceClass/FreshPotatoes	napcs.org.ai	ServiceClass	FreshPotatoes	11421	Fresh potatoes	This class comprises fresh potatoes.	NAPCS	2							114	
https://napcs.org.ai/ServiceSubclass/FreshPotatoes114211	napcs.org.ai	ServiceSubclass	FreshPotatoes114211	114211	Fresh potatoes	This subclass comprises fresh potatoes.	NAPCS	3							11421	
https://napcs.org.ai/Service/FreshPotatoesTableConsumption	napcs.org.ai	Service	FreshPotatoesTableConsumption	1142111	Fresh potatoes for table consumption	Fresh potatoes for table consumption.	NAPCS	4							114211	
https://napcs.org.ai/Service/FreshPotatoesProcessing	napcs.org.ai	Service	FreshPotatoesProcessing	1142112	Fresh potatoes for processing	Fresh potatoes for processing.	NAPCS	4							114211	
https://napcs.org.ai/Service/FreshPotatoesSeed	napcs.org.ai	Service	FreshPotatoesSeed	1142113	Fresh potatoes for seed	Fresh potatoes for seed.	NAPCS	4							114211	
https://napcs.org.ai/ServiceClass/FreshVegetables	napcs.org.ai	ServiceClass	FreshVegetables	11422	Fresh vegetables (except potatoes and pulse crops)	This class comprises fresh vegetables	NAPCS	2							114	
https://napcs.org.ai/ServiceSubclass/FreshVegetables114221	napcs.org.ai	ServiceSubclass	FreshVegetables114221	114221	Fresh vegetables (except potatoes and pulse crops)	This subclass comprises fresh vegetables	NAPCS	3							11422	
https://napcs.org.ai/Service/FreshRootTypeVegetables	napcs.org.ai	Service	FreshRootTypeVegetables	1142211	Fresh root type vegetables	Fresh root type vegetables.	NAPCS	4							114221	
https://napcs.org.ai/Service/FreshBulbTypeVegetables	napcs.org.ai	Service	FreshBulbTypeVegetables	1142212	Fresh bulb type vegetables	Fresh bulb type vegetables.	NAPCS	4							114221	
https://napcs.org.ai/Service/FreshLeafStemTypeVegetables	napcs.org.ai	Service	FreshLeafStemTypeVegetables	1142213	Fresh leaf and stem type vegetables	Fresh leaf and stem type vegetables.	NAPCS	4							114221	
https://napcs.org.ai/Service/FreshMelons	napcs.org.ai	Service	FreshMelons	1142214	Fresh melons	Fresh melons.	NAPCS	4							114221	
https://napcs.org.ai/Service/FreshFruitTypeVegetables	napcs.org.ai	Service	FreshFruitTypeVegetables	1142215	Fresh fruit type vegetables (except melons)	Fresh fruit type vegetables	NAPCS	4							114221	
https://napcs.org.ai/Service/GreenLeguminousVegetables	napcs.org.ai	Service	GreenLeguminousVegetables	1142216	Green leguminous vegetables	Fresh leguminous and gramineous plants or seed type vegetables (pod vegetable)	NAPCS	4							114221	
https://napcs.org.ai/Service/FreshMushrooms	napcs.org.ai	Service	FreshMushrooms	1142217	Fresh mushrooms (including truffles)	Fresh mushrooms and truffles.	NAPCS	4							114221	
https://napcs.org.ai/Service/OtherFreshVegetables	napcs.org.ai	Service	OtherFreshVegetables	1142218	Other fresh vegetables		NAPCS	4							114221	
https://napcs.org.ai/ServiceClass/PulseCrops	napcs.org.ai	ServiceClass	PulseCrops	11431	Pulse crops (except soybeans)	This class comprises pulse crops	NAPCS	2							114	
https://napcs.org.ai/ServiceSubclass/Chickpeas	napcs.org.ai	ServiceSubclass	Chickpeas	114311	Chickpeas	This subclass comprises chickpeas.	NAPCS	3							11431	
https://napcs.org.ai/Service/Chickpeas1143111	napcs.org.ai	Service	Chickpeas1143111	1143111	Chickpeas		NAPCS	4							114311	
https://napcs.org.ai/Service/Chickpeas1143112	napcs.org.ai	Service	Chickpeas1143112	1143112	Chickpeas		NAPCS	4							114311	
https://napcs.org.ai/Service/OtherChickpeas	napcs.org.ai	Service	OtherChickpeas	1143113	Other chickpeas	Other chickpeas.	NAPCS	4							114311	
