personId	roleId
Employee	MagneticResonanceImagingTechnologists
Employee	MailSuperintendents
Employee	Maintenance
Employee	MaintenanceEquipmentOperators
Employee	MaintenanceWorkersMachinery
Employee	ManagementAnalysts
Employee	ManufacturingEngineers
Employee	MappingTechnicians
Employee	MarbleSetters
Employee	MarineOilers
Employee	MarketingSpecialists
Employee	MassageTherapists
Employee	MaterialMovingWorkersAllOther
Employee	MaterialsEngineers
Employee	MaterialsScientists
Employee	MathematicalScienceOccupationsAllOther
Employee	MathematicalScienceTeachersPostsecondary
Employee	Mathematicians
Employee	MaxillofacialSurgeons
Employee	MeatCutters
Employee	MeatPackers
Employee	MechanicalDoor
Employee	MechanicalDoorRepairers
Employee	MechanicalDrafters
Employee	MechanicalEngineers
Employee	Mechanics
Employee	MechatronicsEngineers
Employee	MediaCollectionsSpecialists
Employee	MedicalApplianceTechnicians
Employee	MedicalAssistants
Employee	MedicalDosimetrists
Employee	MedicalEquipmentPreparers
Employee	MedicalEquipmentRepairers
Employee	MedicalRecordsSpecialists
Employee	MedicalRegistrars
Employee	MedicalTranscriptionists
Employee	MentalHealthCounselors
Employee	Messengers
Employee	MetalWorkers
Employee	MeterReadersUtilities
Employee	Microbiologists
Employee	MicrosystemsEngineers
Employee	Midwives
Employee	Millwrights
Employee	MiningSafetyEngineers
Employee	MissileCrewMembers
Employee	MissileOfficers
Employee	MobileHomeInstallers
Employee	ModelMakersWood
Employee	Models
Employee	MotionPictureProjectionists
Employee	MotorboatOperators
Employee	MotorcycleMechanics
Employee	MotorVehicleOperatorsAllOther
Employee	MovingMachineOperatorsUndergroundMining
Employee	MusicTeachersPostsecondary
Employee	MusicTherapists
Employee	Nannies
Employee	NanosystemsEngineers
Employee	NaturopathicPhysicians
Employee	Naval
Employee	NavalArchitects
Employee	NeurodiagnosticTechnologists
Employee	Neurologists
Employee	Neuropsychologists
Employee	NewAccountsClerks
Employee	NonDestructiveTestingSpecialists
Employee	NuclearEngineers
Employee	NuclearMedicineTechnologists
Employee	NuclearMonitoringTechnicians
Employee	NuclearPowerReactorOperators
Employee	NuclearTechnicians
Employee	NurseAnesthetists
Employee	NurseMidwives
Employee	NursePractitioners
Employee	NursingAssistants
Employee	Nutritionists
Employee	OccupationalTherapists
Employee	OccupationalTherapyAides
Employee	OccupationalTherapyAssistants
Employee	Offbearers
Employee	OfficeClerksGeneral
Employee	OfficeMachineRepairers
Employee	Officers
Employee	OnlineMerchants
Employee	OperationsResearchAnalysts
Employee	OphthalmicLaboratoryTechnicians
Employee	OphthalmicMedicalTechnicians
Employee	OphthalmicMedicalTechnologists
Employee	OpticiansDispensing
Employee	Optometrists
Employee	OrderClerks
Employee	OrderFillers
Employee	Orderlies
Employee	Orthodontists
Employee	Orthoptists
Employee	OtherConstructionEquipmentOperators
Employee	OtherMachineAssemblers
Employee	OtherRecreationalProtectiveServiceWorkers
Employee	OtherSmallEngineMechanics
Employee	OtherSportsOfficials
Employee	PackagersHand
Employee	Paperhangers
Employee	Paramedics
Employee	ParkingAttendants
Employee	ParkingEnforcementWorkers
Employee	ParkNaturalists
Employee	PartsSalespersons
Employee	PassengerAttendants
Employee	PatientRepresentatives
Employee	PatternmakersWood
Employee	Pediatric
Employee	PediatriciansGeneral
Employee	PediatricSurgeons
Employee	Pedicurists
Employee	PenetrationTesters
Employee	Performance
Employee	PersonalCareAides
Employee	PersonalFinancialAdvisors
Employee	PestControlWorkers
Employee	PetroleumEngineers
Employee	Pharmacists
Employee	PharmacyAides
Employee	PharmacyTechnicians
Employee	Phlebotomists
Employee	Photogrammetrists
Employee	Photographers
Employee	PhotographicEquipmentRepairers
Employee	PhotonicsEngineers
Employee	PhotonicsTechnicians
Employee	PhysicalScientistsAllOther
Employee	PhysicalTherapistAides
Employee	PhysicalTherapistAssistants
Employee	PhysicalTherapists
Employee	PhysicianAssistants
Employee	PhysiciansAllOther
Employee	PhysiciansPathologists
Employee	Physicists
Employee	PhysicsTeachersPostsecondary
Employee	PileDriverOperators
Employee	PilotsOfWaterVessels
Employee	Pipelayers
Employee	PlantScientists
Employee	Plastic
Employee	PlasticWorkersAllOther
Employee	Podiatrists
Employee	PolicyProcessingClerks
Employee	PolishingWorkersHand
Employee	PoliticalScienceTeachersPostsecondary
Employee	PoliticalScientists
Employee	PostalService
Employee	PostalServiceClerks
Employee	PostalServiceMailCarriers
Employee	PostingClerks
Employee	PostsecondaryTeachersAllOther
Employee	PottersManufacturing
Employee	PowerPlantOperators
Employee	PrecisionAgricultureTechnicians
Employee	PreventionSpecialists
Employee	PreventiveMedicinePhysicians
Employee	PrintingPressOperators
Employee	ProcessingMachineOperators
Employee	ProcurementClerks
Employee	ProductionWorkersAllOther
Employee	ProductPromoters
Employee	ProjectManagementSpecialists
Employee	Prosthetists
Employee	Prosthodontists
Employee	ProtectionEngineers
Employee	ProtectiveServiceWorkersAllOther
Employee	Pruners
Employee	PsychiatricAides
Employee	PsychiatricTechnicians
Employee	Psychiatrists
Employee	PsychologistsAllOther
Employee	PsychologyTeachersPostsecondary
Employee	PublicRelationsSpecialists
Employee	PublicSafetyTelecommunicators
Employee	PurchasingAgentsFarmProducts
Employee	QualityControlAnalysts
Employee	RadiationTherapists
Employee	Radio
Employee	RadioDiscJockeys
Employee	RadioFrequencyIdentificationDeviceSpecialists
Employee	Radiologists
Employee	RailCarRepairers
Employee	RailroadPolice
Employee	RailTransportationWorkersAllOther
Employee	RealEstateBrokers
Employee	RealEstateSalesAgents
Employee	RebarWorkers
Employee	ReclamationWorkers
Employee	RecordClerksAllOther
Employee	RecordsOfficers
Employee	RecoveryOfficers
Employee	RecoverySpecialists
Employee	RecreationalTherapists
Employee	RecreationalVehicleServiceTechnicians
Employee	RecreationAttendants
Employee	RecreationWorkers
Employee	RecyclableMaterialCollectors
Employee	RecyclingCoordinators
Employee	RegionalPlanners
Employee	RegisteredNurses
Employee	RegulatoryAffairsSpecialists
Employee	RehabilitationCounselors
Employee	RehabilitationPhysicians
Employee	RelatedMaterials
Employee	RelatedRepairers
Employee	RelatedWorkers
Employee	RelatedWorkersAllOther
Employee	Relay
Employee	ReligionTeachersPostsecondary
Employee	ReligiousWorkersAllOther
Employee	RemoteSensingTechnicians
Employee	RentalClerks
Employee	Repairers
Employee	RepairersMotorVehicles
Employee	RepairersTransportationEquipment
Employee	RepairWorkers
Employee	RepairWorkersAllOther
Employee	RepairWorkersGeneral
Employee	ResidentialAdvisors
Employee	ResortDeskClerks
Employee	RespiratoryTherapists
Employee	RetailLossPreventionSpecialists
Employee	RetailSalespersons
Employee	RevenueAgents
Employee	Riggers
Employee	RoboticsEngineers
Employee	RoboticsTechnicians
Employee	RockSplittersQuarry
Employee	RoofBoltersMining
Employee	Roofers
Employee	Runners
Employee	SafeRepairers
Employee	SafetySpecialists
Employee	SafetyTechnicians
Employee	SalesEngineers
Employee	SamplersRecordkeeping
Employee	Sawing
Employee	Scalers
Employee	SchoolBusMonitors
Employee	SchoolPsychologists
Employee	SchoolSocialWorkers
Employee	ScientificProducts
Employee	Scouts
Employee	Searchers
Employee	SearchMarketingStrategists
Employee	SecurityGuards
Employee	SecurityManagementSpecialists
Employee	SegmentalPavers
Employee	SelfEnrichmentTeachers
Employee	SemiconductorProcessingTechnicians
Employee	ServiceTechnicians
Employee	ServiceWorkersAllOther
Employee	ServingRelatedWorkersAllOther
Employee	SewerPipeCleaners
Employee	SewersHand
Employee	SewingMachineOperators
Employee	Shampooers
Employee	Sharpeners
Employee	SheetMetalWorkers
Employee	Sheriff'sPatrolOfficers
Employee	ShipEngineers
Employee	ShipLoaders
Employee	SimultaneousCaptioners
Employee	Singers
Employee	SkincareSpecialists
Employee	SocialScienceResearchAssistants
Employee	SocialSciencesTeachersPostsecondaryAllOther
Employee	SocialScienceTechniciansAllOther
Employee	SocialServiceSpecialistsAllOther
Employee	SocialWorkersAllOther
Employee	SocialWorkTeachersPostsecondary
Employee	Sociologists
Employee	SociologyTeachersPostsecondary
Employee	SoftwareDevelopers
Employee	Solar
Employee	SolarEnergySystemsEngineers
Employee	SolarPhotovoltaicInstallers
Employee	SortersAgriculturalProducts
Employee	SoundEngineeringTechnicians
Employee	SpaceSciencesTeachersPostsecondary
Employee	SpaceScientists
Employee	SpecialEducation
Employee	SpecialEducationTeachersAllOther
Employee	SpecialEducationTeachersElementarySchool
Employee	SpecialEducationTeachersKindergarten
Employee	SpecialEducationTeachersMiddleSchool
Employee	SpecialEducationTeachersPreschool
Employee	SpecialEducationTeachersSecondarySchool
Employee	SpecialForces
Employee	SpecialForcesOfficers
Employee	SpeechLanguagePathologists
Employee	SpeechLanguagePathologyAssistants
Employee	SportsCompetitors
Employee	SportsMedicinePhysicians
Employee	StatisticalAssistants
Employee	Statisticians
