url	ns	type	id	name	description	code	domainIncludes	rangeIncludes	sourceUrl
https://schema.org.ai/screenshot	schema.org.ai	Property	screenshot	screenshot	A link to a screenshot image of the app.	screenshot	SoftwareApplication	URL,ImageObject	screenshot
https://schema.org.ai/encodingFormat	schema.org.ai	Property	encodingFormat	encodingFormat	Media type typically expressed using a MIME format (see [IANA site](http://www.iana.org/assignments/media-types/media-types.xhtml) and [MDN reference](https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types)), e.g. application/zip for a SoftwareApplication binary, audio/mpeg for .mp3 etc.  In cases where a [[CreativeWork]] has several media type representations, [[encoding]] can be used to indicate each [[MediaObject]] alongside particular [[encodingFormat]] information.  Unregistered or niche encoding and file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia/Wikidata entry.	encodingFormat	CreativeWork,MediaObject	URL,Text	encodingFormat
https://schema.org.ai/object	schema.org.ai	Property	object	object	The object upon which the action is carried out, whose state is kept intact or changed. Also known as the semantic roles patient, affected or undergoer (which change their state) or theme (which doesn't). E.g. John read *a book*.	object	Action	Thing	object
https://schema.org.ai/step	schema.org.ai	Property	step	step	A single step item (as HowToStep, text, document, video, etc.) or a HowToSection.	step	HowTo	Text,HowToStep,CreativeWork,HowToSection	step
https://schema.org.ai/arrivalGate	schema.org.ai	Property	arrivalGate	arrivalGate	Identifier of the flight's arrival gate.	arrivalGate	Flight	Text	arrivalGate
https://schema.org.ai/extendedAddress	schema.org.ai	Property	extendedAddress	extendedAddress	An address extension such as an apartment number, C/O or alternative name.	extendedAddress	PostalAddress	Text	extendedAddress
https://schema.org.ai/quarantineGuidelines	schema.org.ai	Property	quarantineGuidelines	quarantineGuidelines	Guidelines about quarantine rules, e.g. in the context of a pandemic.	quarantineGuidelines	SpecialAnnouncement	URL,WebContent	quarantineGuidelines
https://schema.org.ai/datePosted	schema.org.ai	Property	datePosted	datePosted	Publication date of an online listing.	datePosted	SpecialAnnouncement,JobPosting,RealEstateListing,CDCPMDRecord	Date,DateTime	datePosted
https://schema.org.ai/governmentBenefitsInfo	schema.org.ai	Property	governmentBenefitsInfo	governmentBenefitsInfo	governmentBenefitsInfo provides information about government benefits associated with a SpecialAnnouncement.	governmentBenefitsInfo	SpecialAnnouncement	GovernmentService	governmentBenefitsInfo
https://schema.org.ai/reservedTicket	schema.org.ai	Property	reservedTicket	reservedTicket	A ticket associated with the reservation.	reservedTicket	Reservation	Ticket	reservedTicket
https://schema.org.ai/urlTemplate	schema.org.ai	Property	urlTemplate	urlTemplate	An url template (RFC6570) that will be used to construct the target of the execution of the action.	urlTemplate	EntryPoint	Text	urlTemplate
https://schema.org.ai/embeddedTextCaption	schema.org.ai	Property	embeddedTextCaption	embeddedTextCaption	Represents textual captioning from a [[MediaObject]], e.g. text of a 'meme'.	embeddedTextCaption	AudioObject,ImageObject,VideoObject	Text	embeddedTextCaption
https://schema.org.ai/pregnancyWarning	schema.org.ai	Property	pregnancyWarning	pregnancyWarning	Any precaution, guidance, contraindication, etc. related to this drug's use during pregnancy.	pregnancyWarning	Drug	Text	pregnancyWarning
https://schema.org.ai/legislationJurisdiction	schema.org.ai	Property	legislationJurisdiction	legislationJurisdiction	The jurisdiction from which the legislation originates.	legislationJurisdiction	Legislation	Text,AdministrativeArea	legislationJurisdiction
https://schema.org.ai/primaryPrevention	schema.org.ai	Property	primaryPrevention	primaryPrevention	A preventative therapy used to prevent an initial occurrence of the medical condition, such as vaccination.	primaryPrevention	MedicalCondition	MedicalTherapy	primaryPrevention
https://schema.org.ai/model	schema.org.ai	Property	model	model	The model of the product. Use with the URL of a ProductModel or a textual representation of the model identifier. The URL of the ProductModel can be from an external source. It is recommended to additionally provide strong product identifiers via the gtin8/gtin13/gtin14 and mpn properties.	model	Product	ProductModel,Text	model
https://schema.org.ai/nextItem	schema.org.ai	Property	nextItem	nextItem	A link to the ListItem that follows the current one.	nextItem	ListItem	ListItem	nextItem
https://schema.org.ai/ticketNumber	schema.org.ai	Property	ticketNumber	ticketNumber	The unique identifier for the ticket.	ticketNumber	Ticket	Text	ticketNumber
https://schema.org.ai/provider	schema.org.ai	Property	provider	provider	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.	provider	Trip,FinancialIncentive,Action,Reservation,EducationalOccupationalProgram,Service,ParcelDelivery,Invoice,CreativeWork	Person,Organization	provider
https://schema.org.ai/amenityFeature	schema.org.ai	Property	amenityFeature	amenityFeature	An amenity feature (e.g. a characteristic or service) of the Accommodation. This generic property does not make a statement about whether the feature is included in an offer for the main accommodation or available at extra costs.	amenityFeature	LodgingBusiness,Place,Accommodation,FloorPlan	LocationFeatureSpecification	amenityFeature
https://schema.org.ai/proficiencyLevel	schema.org.ai	Property	proficiencyLevel	proficiencyLevel	Proficiency needed for this content; expected values: 'Beginner', 'Expert'.	proficiencyLevel	TechArticle	Text	proficiencyLevel
https://schema.org.ai/accelerationTime	schema.org.ai	Property	accelerationTime	accelerationTime	The time needed to accelerate the vehicle from a given start velocity to a given target velocity.\n\nTypical unit code(s): SEC for seconds\n\n* Note: There are unfortunately no standard unit codes for seconds/0..100 km/h or seconds/0..60 mph. Simply use "SEC" for seconds and indicate the velocities in the [[name]] of the [[QuantitativeValue]], or use [[valueReference]] with a [[QuantitativeValue]] of 0..60 mph or 0..100 km/h to specify the reference speeds.	accelerationTime	Vehicle	QuantitativeValue	accelerationTime
https://schema.org.ai/warning	schema.org.ai	Property	warning	warning	Any FDA or other warnings about the drug (text or URL).	warning	Drug	Text,URL	warning
https://schema.org.ai/vehicleEngine	schema.org.ai	Property	vehicleEngine	vehicleEngine	Information about the engine or engines of the vehicle.	vehicleEngine	Vehicle	EngineSpecification	vehicleEngine
https://schema.org.ai/isResizable	schema.org.ai	Property	isResizable	isResizable	Whether the 3DModel allows resizing. For example, room layout applications often do not allow 3DModel elements to be resized to reflect reality.	isResizable	3DModel	Boolean	isResizable
https://schema.org.ai/occupationalCategory	schema.org.ai	Property	occupationalCategory	occupationalCategory	A category describing the job, preferably using a term from a taxonomy such as [BLS O*NET-SOC](http://www.onetcenter.org/taxonomy.html), [ISCO-08](https://www.ilo.org/public/english/bureau/stat/isco/isco08/) or similar, with the property repeated for each applicable value. Ideally the taxonomy should be identified, and both the textual label and formal code for the category should be provided.\n Note: for historical reasons, any textual label and formal code provided as a literal may be assumed to be from O*NET-SOC.	occupationalCategory	Occupation,JobPosting,WorkBasedProgram,Physician,EducationalOccupationalProgram	CategoryCode,Text	occupationalCategory
https://schema.org.ai/shippingRate	schema.org.ai	Property	shippingRate	shippingRate	The shipping rate is the cost of shipping to the specified destination. Typically, the maxValue and currency values (of the [[MonetaryAmount]]) are most appropriate.	shippingRate	ShippingConditions,ShippingRateSettings,OfferShippingDetails	ShippingRateSettings,MonetaryAmount	shippingRate
https://schema.org.ai/fulfillmentType	schema.org.ai	Property	fulfillmentType	fulfillmentType	Type of fulfillment applicable to the [[ShippingService]].	fulfillmentType	ShippingService	FulfillmentTypeEnumeration	fulfillmentType
https://schema.org.ai/valueRequired	schema.org.ai	Property	valueRequired	valueRequired	Whether the property must be filled in to complete the action.  Default is false.	valueRequired	PropertyValueSpecification	Boolean	valueRequired
https://schema.org.ai/targetDescription	schema.org.ai	Property	targetDescription	targetDescription	The description of a node in an established educational framework.	targetDescription	AlignmentObject	Text	targetDescription
