education_program_id	cip_code	career_cluster_id	subcluster_id
allergy-and-immunology-residencyfellowship-programs-other	61.0399	education	education/teaching-training-facilitation
allergy-and-immunology-residencyfellowship-programs-other	61.0399	healthcare-human-services	healthcare-human-services/biotechnology-research-development
allergy-and-immunology-residencyfellowship-programs-other	61.0399	healthcare-human-services	healthcare-human-services/physical-health
anesthesiology-residency-program	61.0401	education	education/teaching-training-facilitation
anesthesiology-residency-program	61.0401	healthcare-human-services	healthcare-human-services/physical-health
anesthesiology-residencyfellowship-programs-other	61.0499	education	education/teaching-training-facilitation
anesthesiology-residencyfellowship-programs-other	61.0499	healthcare-human-services	healthcare-human-services/biotechnology-research-development
anesthesiology-residencyfellowship-programs-other	61.0499	healthcare-human-services	healthcare-human-services/physical-health
dermatology-residency-program	61.0501	education	education/teaching-training-facilitation
dermatology-residency-program	61.0501	healthcare-human-services	healthcare-human-services/physical-health
dermatopathology-fellowship-program	61.0502	education	education/teaching-training-facilitation
dermatopathology-fellowship-program	61.0502	healthcare-human-services	healthcare-human-services/biotechnology-research-development
dermatopathology-fellowship-program	61.0502	healthcare-human-services	healthcare-human-services/physical-health
pediatric-dermatology-fellowship-program	61.0503	education	education/teaching-training-facilitation
pediatric-dermatology-fellowship-program	61.0503	healthcare-human-services	healthcare-human-services/biotechnology-research-development
pediatric-dermatology-fellowship-program	61.0503	healthcare-human-services	healthcare-human-services/physical-health
dermatology-residencyfellowship-programs-other	61.0599	education	education/teaching-training-facilitation
dermatology-residencyfellowship-programs-other	61.0599	healthcare-human-services	healthcare-human-services/biotechnology-research-development
dermatology-residencyfellowship-programs-other	61.0599	healthcare-human-services	healthcare-human-services/physical-health
emergency-medicine-residency-program	61.0601	education	education/teaching-training-facilitation
emergency-medicine-residency-program	61.0601	healthcare-human-services	healthcare-human-services/physical-health
disaster-medicine-fellowship-program	61.0602	education	education/teaching-training-facilitation
disaster-medicine-fellowship-program	61.0602	healthcare-human-services	healthcare-human-services/biotechnology-research-development
disaster-medicine-fellowship-program	61.0602	healthcare-human-services	healthcare-human-services/physical-health
emergency-medical-services-fellowship-program	61.0603	education	education/teaching-training-facilitation
emergency-medical-services-fellowship-program	61.0603	healthcare-human-services	healthcare-human-services/biotechnology-research-development
emergency-medical-services-fellowship-program	61.0603	healthcare-human-services	healthcare-human-services/physical-health
emergency-medical-services-fellowship-program	61.0603	public-service-safety	public-service-safety/emergency-response
emergency-medicine-residencyfellowship-programs-other	61.0699	education	education/teaching-training-facilitation
emergency-medicine-residencyfellowship-programs-other	61.0699	healthcare-human-services	healthcare-human-services/biotechnology-research-development
emergency-medicine-residencyfellowship-programs-other	61.0699	healthcare-human-services	healthcare-human-services/physical-health
family-medicine-residency-program	61.0701	education	education/teaching-training-facilitation
family-medicine-residency-program	61.0701	healthcare-human-services	healthcare-human-services/physical-health
family-medicine-residencyfellowship-programs-other	61.0799	education	education/teaching-training-facilitation
family-medicine-residencyfellowship-programs-other	61.0799	healthcare-human-services	healthcare-human-services/biotechnology-research-development
family-medicine-residencyfellowship-programs-other	61.0799	healthcare-human-services	healthcare-human-services/physical-health
internal-medicine-residency-program	61.0801	education	education/teaching-training-facilitation
internal-medicine-residency-program	61.0801	healthcare-human-services	healthcare-human-services/physical-health
cardiovascular-disease-fellowship-program	61.0804	education	education/teaching-training-facilitation
cardiovascular-disease-fellowship-program	61.0804	healthcare-human-services	healthcare-human-services/biotechnology-research-development
cardiovascular-disease-fellowship-program	61.0804	healthcare-human-services	healthcare-human-services/physical-health
clinical-cardiac-electrophysiology-fellowship-program	61.0805	education	education/teaching-training-facilitation
clinical-cardiac-electrophysiology-fellowship-program	61.0805	healthcare-human-services	healthcare-human-services/biotechnology-research-development
