id	code	name	familyCode
CurtainsAndDraperies	52131500	Curtains and draperies	52130000
BlindsAndShades	52131600	Blinds and shades	52130000
WindowTreatmentAccessoriesAndHardware	52131700	Window treatment accessories and hardware	52130000
DomesticKitchenAppliances	52141500	Domestic kitchen appliances	52140000
DomesticLaundryAppliancesAndSupplies	52141600	Domestic laundry appliances and supplies	52140000
DomesticBathAppliances	52141700	Domestic bath appliances	52140000
OtherDomesticHouseholdAppliances	52141800	Other domestic household appliances	52140000
DomesticDisposableKitchenware	52151500	Domestic disposable kitchenware	52150000
DomesticKitchenToolsAndUtensils	52151600	Domestic kitchen tools and utensils	52150000
DomesticFlatwareAndCutlery	52151700	Domestic flatware and cutlery	52150000
DomesticCookware	52151800	Domestic cookware	52150000
DomesticBakeware	52151900	Domestic bakeware	52150000
DomesticDishesAndServingwareAndStorageContainers	52152000	Domestic dishes and servingware and storage containers	52150000
DomesticDrinkWare	52152100	Domestic drink ware	52150000
DishwashingAndDishStorageAccessories	52152200	Dishwashing and dish storage accessories	52150000
DomesticKitchenSupplies	52152300	Domestic kitchen supplies	52150000
AudioAndVisualEquipment	52161500	Audio and visual equipment	52160000
AudioVisualEquipmentAccessories	52161600	Audio visual equipment accessories	52160000
BathroomWallTreatments	52171000	Bathroom wall treatments	52170000
SlacksAndTrousersAndShorts	53101500	Slacks and trousers and shorts	53100000
ShirtsAndBlouses	53101600	Shirts and blouses	53100000
Sweaters	53101700	Sweaters	53100000
CoatsAndJackets	53101800	Coats and jackets	53100000
Suits	53101900	Suits	53100000
DressesAndSkirtsAndSarisAndKimonos	53102000	Dresses and skirts and saris and kimonos	53100000
OverallsAndCoveralls	53102100	Overalls and coveralls	53100000
FolkloricClothing	53102200	Folkloric clothing	53100000
Undergarments	53102300	Undergarments	53100000
Hosiery	53102400	Hosiery	53100000
ClothingAccessories	53102500	Clothing accessories	53100000
Nightwear	53102600	Nightwear	53100000
Uniforms	53102700	Uniforms	53100000
Swimwear	53102800	Swimwear	53100000
AthleticWear	53102900	Athletic wear	53100000
Tshirts	53103000	Tshirts	53100000
Waistcoats	53103100	Waistcoats	53100000
DisposableClothes	53103200	Disposable clothes	53100000
ClothingKits	53103300	Clothing kits	53100000
Boots	53111500	Boots	53110000
Shoes	53111600	Shoes	53110000
Slippers	53111700	Slippers	53110000
Sandals	53111800	Sandals	53110000
AthleticFootwear	53111900	Athletic footwear	53110000
ShoeAccessories	53112000	Shoe accessories	53110000
Overshoes	53112100	Overshoes	53110000
Luggage	53121500	Luggage	53120000
PursesAndHandbagsAndBags	53121600	Purses and handbags and bags	53120000
BusinessCases	53121700	Business cases	53120000
TravelKitsAndAccessories	53121800	Travel kits and accessories	53120000
Dental	53131500	Dental	53130000
BathAndBody	53131600	Bath and body	53130000
TherapeuticMassageEquipment	53131700	Therapeutic massage equipment	53130000
TattooEquipmentAndAccessoriesAndMaterials	53131800	Tattoo equipment and accessories and materials	53130000
SewingFasteners	53141500	Sewing fasteners	53140000
MiscellaneousSewingSupplies	53141600	Miscellaneous sewing supplies	53140000
FineJewelry	54101500	Fine jewelry	54100000
ImitationJewelry	54101600	Imitation jewelry	54100000
JewelryMakingToolsAndSupplies	54101700	Jewelry making tools and supplies	54100000
Watches	54111500	Watches	54110000
Clocks	54111600	Clocks	54110000
WatchOrClockPartsOrAccessories	54111700	Watch or clock parts or accessories	54110000
PreciousStones	54121500	Precious stones	54120000
SemiPreciousStones	54121600	Semi precious stones	54120000
Pearls	54121700	Pearls	54120000
IndustrialPreciousAndSemiPreciousStones	54121800	Industrial precious and semi precious stones	54120000
PrintedPublications	55101500	Printed publications	55100000
ElectronicPublicationsAndMusic	55111500	Electronic publications and music	55110000
ElectronicSoftwareReferenceMaterial	55111600	Electronic software reference material	55110000
Tags	55121500	Tags	55120000
Labels	55121600	Labels	55120000
Signage	55121700	Signage	55120000
IdentificationDocuments	55121800	Identification documents	55120000
SignageEquipment	55121900	Signage equipment	55120000
ElectricalLabels	55122000	Electrical labels	55120000
Furniture	56101500	Furniture	56100000
OutdoorFurniture	56101600	Outdoor furniture	56100000
OfficeFurniture	56101700	Office furniture	56100000
BabyAndToddlerFurnitureAndAccessories	56101800	Baby and toddler furniture and accessories	56100000
GeneralFurniturePartsAndAccessories	56101900	General furniture parts and accessories	56100000
WorkstationsAndOfficePackages	56111500	Workstations and office packages	56110000
PanelSystems	56111600	Panel systems	56110000
CasegoodAndNonModularSystems	56111700	Casegood and non modular systems	56110000
FreestandingFurniture	56111800	Freestanding furniture	56110000
IndustrialFurniture	56111900	Industrial furniture	56110000
ComputerSupportFurniture	56112000	Computer support furniture	56110000
Seating	56112100	Seating	56110000
DeskingSystems	56112200	Desking systems	56110000
AuditoriumOrStadiumOrSpecialUseSeatingPartsAndAccessories	56112300	Auditorium or stadium or special use seating parts and accessories	56110000
LibraryFurnishings	56121000	Library furnishings	56120000
ArtClassroomFurnishings	56121100	Art classroom furnishings	56120000
FirstAidRoomFurnishings	56121200	First aid room furnishings	56120000
GeneralEducationalFacilityFixtures	56121300	General educational facility fixtures	56120000
CafeteriaAndLunchroomFurnishings	56121400	Cafeteria and lunchroom furnishings	56120000
GeneralClassroomFurnishings	56121500	General classroom furnishings	56120000
CreativePlayAndRestTimeFurnishingsForDaycareAndEarlyChildhoodFacilities	56121600	Creative play and rest time furnishings for daycare and early childhood facilities	56120000
BookAndGeneralStorageUnitsForClassrooms	56121700	Book and general storage units for classrooms	56120000
VocationalClassroomFurnishingsAndFixtures	56121800	Vocational classroom furnishings and fixtures	56120000
DemonstrationFurnishings	56121900	Demonstration furnishings	56120000
LaboratoryFurniture	56122000	Laboratory furniture	56120000
MannequinsAndForms	56131500	Mannequins and forms	56130000
MerchandiserFreeStandingDisplayAndAccessories	56131600	Merchandiser free standing display and accessories	56130000
MerchandiserInstallationHardwareShelvingSystemsAndAccessories	56131700	Merchandiser installation hardware, shelving systems and accessories	56130000
CeramicAdornments	56141500	Ceramic adornments	56140000
GlassAdornments	56141600	Glass adornments	56140000
MetalAdornments	56141700	Metal adornments	56140000
WoodenAdornments	56141800	Wooden adornments	56140000
RapidResponseKits	57010100	Rapid response kits	57010000
HumanitarianOperationalServices	57020100	Humanitarian operational services	57020000
HealthEmergencyKits	57030100	Health emergency kits	57030000
EmergencyLatrineFacility	57030200	Emergency latrine facility	57030000
WaterSanitationAndHygieneKits	57030300	Water, sanitation and hygiene kits	57030000
PersonalProtectiveEquipment	57030400	Personal protective equipment	57030000
EducationalKits	57040100	Educational kits	57040000
RecreationalKits	57040200	Recreational kits	57040000
EarlyChildhoodDevelopment	57040300	Early childhood development	57040000
EmergencyNutritionalKits	57050100	Emergency nutritional kits	57050000
FoodEmergencyRations	57050200	Food emergency rations	57050000
FoodEmergencyKits	57050300	Food emergency kits	57050000
EmergencyClothingKits	57060100	Emergency clothing kits	57060000
ShelterEmergencyKits	57060200	Shelter emergency kits	57060000
OfficeEmergencyKits	57060300	Office emergency kits	57060000
MultipurposeEmergencyKits	57060400	Multipurpose emergency kits	57060000
LogisticsEmergencyKits	57070100	Logistics emergency kits	57070000
EmergencyItEquipmentKits	57080100	Emergency IT equipment kits	57080000
MathKits	60101000	Math kits	60100000
ElectronicLearningAids	60101100	Electronic learning aids	60100000
EducationalIncentives	60101200	Educational incentives	60100000
EducationalStickersAndSupplies	60101300	Educational stickers and supplies	60100000
ClassroomAwards	60101400	Classroom awards	60100000
EducationalCertificatesOrDiplomas	60101600	Educational certificates or diplomas	60100000
TeacherResourceMaterials	60101700	Teacher resource materials	60100000
ChurchSchoolEducationalResources	60101800	Church school educational resources	60100000
AlphabetSkillsMaterialsAndResources	60101900	Alphabet skills materials and resources	60100000
WordBuildingResourceMaterialsAndAccessories	60102000	Word building resource materials and accessories	60100000
LanguageArtsResourceMaterials	60102100	Language arts resource materials	60100000
PhonicsResourceMaterialsAndAccessories	60102200	Phonics resource materials and accessories	60100000
ReadingBooksAndResources	60102300	Reading books and resources	60100000
EarlyLearningMathAndCountingResourcesAndAccessories	60102400	Early learning math and counting resources and accessories	60100000
BasicMathOperationsAndNumerationResourcesAndMaterials	60102500	Basic math operations and numeration resources and materials	60100000
ProbabilityOrChanceOrDataOrProblemSolvingTeacherResourceMaterials	60102600	Probability or chance or data or problem solving teacher resource materials	60100000
PatterningOrMatchingOrSpatialPerceptionOrLogicalThinkingTeacherResourceMaterials	60102700	Patterning or matching or spatial perception or logical thinking teacher resource materials	60100000
BaseTenAndPlaceValueTeacherResourceMaterials	60102800	Base ten and place value teacher resource materials	60100000
MoneyAndTimeTeacherResourceMaterials	60102900	Money and time teacher resource materials	60100000
FractionsAndPentominoesAndDecimalsTeachingAids	60103000	Fractions and pentominoes and decimals teaching aids	60100000
GeometryTeacherResourceMaterials	60103100	Geometry teacher resource materials	60100000
AlgebraTeacherResourceMaterials	60103200	Algebra teacher resource materials	60100000
PrecalculusAndCalculusTeacherResourceMaterials	60103300	Precalculus and calculus teacher resource materials	60100000
GeographyAndMapSkillsResourcesAndAccessories	60103400	Geography and map skills resources and accessories	60100000
PoliticalScience	60103500	Political science	60100000
MulticulturalActivitiesAndResources	60103600	Multicultural activities and resources	60100000
ForeignLanguagesResources	60103700	Foreign languages resources	60100000
HistoryTeachingResources	60103800	History teaching resources	60100000
LivingOrganismsAndPreservedSpecimensAndRelatedMaterials	60103900	Living organisms and preserved specimens and related materials	60100000
BiotechnologyAndBioChemistryAndGeneticsAndMicrobiologyAndRelatedMaterials	60104000	Biotechnology and bio chemistry and genetics and microbiology and related materials	60100000
BodySystemsAndRelatedMaterials	60104100	Body systems and related materials	60100000
WaterTestingAndConservationAndEcology	60104200	Water testing and conservation and ecology	60100000
Astronomy	60104300	Astronomy	60100000
GeologyAndEarthScience	60104400	Geology and earth science	60100000
ChemistryAndElectrochemistryAndMicrochemistry	60104500	Chemistry and electrochemistry and microchemistry	60100000
MechanicalPhysicsMaterials	60104600	Mechanical physics materials	60100000
EnergyAndPowerPhysicsMaterials	60104700	Energy and power physics materials	60100000
WaveAndSoundPhysicsMaterials	60104800	Wave and sound physics materials	60100000
ElectricalPhysicsMaterials	60104900	Electrical physics materials	60100000
NuclearPhysicsMaterials	60105000	Nuclear physics materials	60100000
RocketryAndFlightMaterialsAndSupplies	60105100	Rocketry and flight materials and supplies	60100000
LifeSkillsResourcesInstructionalMaterials	60105200	Life skills resources instructional materials	60100000
CareerEducationInstructionalMaterials	60105300	Career education instructional materials	60100000
ConsumerEconomicsAndMoneyManagementAndIndependentLivingInstructionalMaterials	60105400	Consumer economics and money management and independent living instructional materials	60100000
HomeAndInteriorDesignInstructionalMaterials	60105500	Home and interior design instructional materials	60100000
HealthEducationAndNutritionAndFoodPreparationInstructionalMaterials	60105600	Health education and nutrition and food preparation instructional materials	60100000
MemoryBooksAndSupplies	60105700	Memory books and supplies	60100000
ClothingAndTextileDesignInstructionalMaterials	60105800	Clothing and textile design instructional materials	60100000
DatingAndSexAndTeenPregnancyAndParentingSkillsAndChildDevelopmentInstructionalMaterials	60105900	Dating and sex and teen pregnancy and parenting skills and child development instructional materials	60100000
CurriculumGuidesAndProjectsAndActivitiesAndLessons	60106000	Curriculum guides and projects and activities and lessons	60100000
VocationalTeachingAidsAndMaterials	60106100	Vocational teaching aids and materials	60100000
TechnologyTeachingAidsAndMaterials	60106200	Technology teaching aids and materials	60100000
ForensicScienceTeachingEquipmentAndSupplies	60106300	Forensic science teaching equipment and supplies	60100000
ElectronicsTeachingSuppliesAndEquipment	60106400	Electronics teaching supplies and equipment	60100000
ReligiousSupplies	60106500	Religious supplies	60100000
AptitudeAndVocationalTestingMaterials	60106600	Aptitude and vocational testing materials	60100000
ClassroomChartsOrClassroomPosters	60111000	Classroom Charts or classroom posters	60110000
BulletinBoardSets	60111100	Bulletin board sets	60110000
BulletinBoardBordersAndTrimmers	60111200	Bulletin board borders and trimmers	60110000
DecorativeLettersAndNumbers	60111300	Decorative letters and numbers	60110000
SpecialtyDecorativesForTheClassroomAndDecorativeAccessories	60111400	Specialty decoratives for the classroom and decorative accessories	60110000
Art	60121000	Art	60120000
CanvasesAndFilmsAndBoardsAndArtistsPapers	60121100	Canvases and films and boards and artists papers	60120000
ClassroomAndFineArtPaintAndMediumsAndApplicatorsAndAccessories	60121200	Classroom and fine art paint and mediums and applicators and accessories	60120000
ArtAndCraftCuttingProducts	60121300	Art and craft cutting products	60120000
PictureFraming	60121400	Picture framing	60120000
DrawingToolsAndSuppliesAndAccessories	60121500	Drawing tools and supplies and accessories	60120000
StudioAids	60121600	Studio aids	60120000
PrintmakingSuppliesAndAccessories	60121700	Printmaking supplies and accessories	60120000
PrintingAndDrawingInks	60121800	Printing and drawing inks	60120000
ArtFabricAndFabricDecorationMaterialsAndSupplies	60121900	Art fabric and fabric decoration materials and supplies	60120000
SewingAndStitcheryAndWeavingEquipmentAndAccessories	60122000	Sewing and stitchery and weaving equipment and accessories	60120000
Candlemaking	60122100	Candlemaking	60120000
WoodCrafts	60122200	Wood crafts	60120000
BasketryMakingSupplies	60122300	Basketry making supplies	60120000
StainedGlassMakingSupplies	60122400	Stained glass making supplies	60120000
PaperCraftsAndHandMadePapermaking	60122500	Paper crafts and hand made papermaking	60120000
Mosaics	60122600	Mosaics	60120000
EnamelingPaintsAndAccessories	60122700	Enameling paints and accessories	60120000
Maskmaking	60122800	Maskmaking	60120000
BeadsOrBeadingAccessories	60122900	Beads or beading accessories	60120000
FoamCrafts	60123000	Foam crafts	60120000
ChenilleStemCrafts	60123100	Chenille stem crafts	60120000
RibbonMakingMaterials	60123200	Ribbon making materials	60120000
CraftPoms	60123300	Craft poms	60120000
WiggleEyesMaterials	60123400	Wiggle eyes materials	60120000
LeatherCraftMaterials	60123500	Leather craft materials	60120000
Glitter	60123600	Glitter	60120000
MacrameCraftMaterialsAndAccessories	60123700	Macrame craft materials and accessories	60120000
MarblingSuppliesAndAccessories	60123800	Marbling supplies and accessories	60120000
SequinsAndTrims	60123900	Sequins and trims	60120000
CorkCraftSuppliesAndAccessories	60124000	Cork craft supplies and accessories	60120000
MulticulturalProjectMaterialsAndAccessories	60124100	Multicultural project materials and accessories	60120000
CrossCurricularProjects	60124200	Cross curricular projects	60120000
ClayAndModelingCompoundsAndCeramicsEquipmentAndAccessories	60124300	Clay and modeling compounds and ceramics equipment and accessories	60120000
ArtMetals	60124400	Art metals	60120000
SculptureSuppliesAndAccessories	60124500	Sculpture supplies and accessories	60120000
KeyboardInstruments	60131000	Keyboard instruments	60130000
BrassInstruments	60131100	Brass instruments	60130000
WoodwindInstruments	60131200	Woodwind instruments	60130000
StringInstruments	60131300	String instruments	60130000
PercussionInstruments	60131400	Percussion instruments	60130000
MusicalInstrumentPartsAndAccessories	60131500	Musical instrument parts and accessories	60130000
MusicalInstrumentSets	60131600	Musical instrument sets	60130000
AlternativeSoundsMusicalInstruments	60131700	Alternative sounds musical instruments	60130000
MusicAndDanceAccessories	60131800	Music and dance accessories	60130000
Toys	60141000	Toys	60140000
Games	60141100	Games	60140000
ActivePlayEquipmentAndAccessories	60141200	Active play equipment and accessories	60140000
ChildrensBlocksAndBuildingSystems	60141300	Childrens blocks and building systems	60140000
DramaticPlayEquipmentAndAccessories	60141400	Dramatic play equipment and accessories	60140000
TimeDepositAccounts	64101500	Time deposit accounts	64100000
DemandDepositAccounts	64101600	Demand deposit accounts	64100000
