url	ns	type	id	code	name	description	annualMean	annualMedian	annual10th	annual25th	annual75th	annual90th	hourlyMean	hourlyMedian	matchedOnet	digital
https://onet.org.ai/Wage/ComputerandInformationAnalysts	onet.org.ai	Wage	ComputerandInformationAnalysts	151210	Computer and Information Analysts		116130	106890	64450	82550	137190	170060	55.83	51.39	false	
https://onet.org.ai/Wage/HealthInformaticsSpecialists	onet.org.ai	Wage	HealthInformaticsSpecialists	151211	Health Informatics Specialists		111960	103790	63160	80900	132360	166030	53.83	49.9	true	
https://onet.org.ai/Wage/InformationSecurityAnalysts	onet.org.ai	Wage	InformationSecurityAnalysts	151212	Information Security Analysts		127730	124910	69660	92160	159600	186420	61.41	60.05	true	
https://onet.org.ai/Wage/InformationResearchScientists	onet.org.ai	Wage	InformationResearchScientists	151221	Computer and Information Research Scientists		152310	140910	80670	102710	181210	232120	73.23	67.74	true	
https://onet.org.ai/Wage/ComputerSupportSpecialists	onet.org.ai	Wage	ComputerSupportSpecialists	151230	Computer Support Specialists		67530	61550	39520	48290	79020	101310	32.47	29.59	false	
https://onet.org.ai/Wage/ComputerNetworkSupportSpecialists	onet.org.ai	Wage	ComputerNetworkSupportSpecialists	151231	Computer Network Support Specialists		79610	73340	46010	56720	95710	124470	38.27	35.26	true	
https://onet.org.ai/Wage/ComputerUserSupportSpecialists	onet.org.ai	Wage	ComputerUserSupportSpecialists	151232	Computer User Support Specialists		64990	60340	38780	47580	77010	98010	31.25	29.01	true	
https://onet.org.ai/Wage/DatabaseandNetworkAdministratorsandArchitects	onet.org.ai	Wage	DatabaseandNetworkAdministratorsandArchitects	151240	Database and Network Administrators and Architects		115840	107480	63580	81390	138940	172190	55.69	51.67	false	
https://onet.org.ai/Wage/TelecommunicationsEngineeringSpecialists	onet.org.ai	Wage	TelecommunicationsEngineeringSpecialists	151241	Telecommunications Engineering Specialists		135890	130390	79520	102120	164440	198030	65.33	62.69	true	
https://onet.org.ai/Wage/DatabaseAdministrators	onet.org.ai	Wage	DatabaseAdministrators	151242	Database Administrators		107440	104620	56820	76100	132850	160890	51.65	50.3	true	
