ns	from	to	predicate	reverse
noun	RestrictedDiet	schema.org	definedBy	defines
noun	AutoDealer	AutomotiveBusiness	subClassOf	superClassOf
noun	AutoDealer	schema.org	definedBy	defines
noun	WarrantyPromise	StructuredValue	subClassOf	superClassOf
noun	WarrantyPromise	schema.org	definedBy	defines
noun	SportingGoodsStore	Store	subClassOf	superClassOf
noun	SportingGoodsStore	schema.org	definedBy	defines
noun	GroceryStore	Store	subClassOf	superClassOf
noun	GroceryStore	schema.org	definedBy	defines
noun	PsychologicalTreatment	TherapeuticProcedure	subClassOf	superClassOf
noun	PsychologicalTreatment	schema.org	definedBy	defines
noun	FinancialService	LocalBusiness	subClassOf	superClassOf
noun	FinancialService	schema.org	definedBy	defines
noun	DietarySupplement	Substance	subClassOf	superClassOf
noun	DietarySupplement	schema.org	definedBy	defines
noun	BusinessAudience	Audience	subClassOf	superClassOf
noun	BusinessAudience	schema.org	definedBy	defines
noun	Seat	Intangible	subClassOf	superClassOf
noun	Seat	schema.org	definedBy	defines
noun	MedicalClinic	MedicalOrganization	subClassOf	superClassOf
noun	MedicalClinic	schema.org	definedBy	defines
noun	ComicSeries	Periodical	subClassOf	superClassOf
noun	ComicSeries	schema.org	definedBy	defines
noun	Blog	CreativeWork	subClassOf	superClassOf
noun	Blog	schema.org	definedBy	defines
noun	TaxiService	Service	subClassOf	superClassOf
noun	TaxiService	schema.org	definedBy	defines
noun	LiveBlogPosting	BlogPosting	subClassOf	superClassOf
noun	LiveBlogPosting	schema.org	definedBy	defines
noun	SingleFamilyResidence	House	subClassOf	superClassOf
noun	SingleFamilyResidence	schema.org	definedBy	defines
noun	DownloadAction	TransferAction	subClassOf	superClassOf
noun	DownloadAction	schema.org	definedBy	defines
noun	PodcastEpisode	Episode	subClassOf	superClassOf
noun	PodcastEpisode	schema.org	definedBy	defines
noun	DatedMoneySpecification	StructuredValue	subClassOf	superClassOf
noun	DatedMoneySpecification	schema.org	definedBy	defines
noun	DisagreeAction	ReactAction	subClassOf	superClassOf
noun	DisagreeAction	schema.org	definedBy	defines
noun	ServicePeriod	StructuredValue	subClassOf	superClassOf
noun	ServicePeriod	schema.org	definedBy	defines
noun	PaymentService	FinancialProduct	subClassOf	superClassOf
noun	PaymentService	schema.org	definedBy	defines
noun	ServiceChannel	Intangible	subClassOf	superClassOf
noun	ServiceChannel	schema.org	definedBy	defines
noun	MemberProgram	Intangible	subClassOf	superClassOf
noun	MemberProgram	schema.org	definedBy	defines
noun	AssessAction	Action	subClassOf	superClassOf
noun	AssessAction	schema.org	definedBy	defines
noun	MoveAction	Action	subClassOf	superClassOf
noun	MoveAction	schema.org	definedBy	defines
noun	FundingAgency	Project	subClassOf	superClassOf
noun	FundingAgency	schema.org	definedBy	defines
noun	HighSchool	EducationalOrganization	subClassOf	superClassOf
noun	HighSchool	schema.org	definedBy	defines
noun	Person	Thing	subClassOf	superClassOf
noun	Person	schema.org	definedBy	defines
noun	WebPage	CreativeWork	subClassOf	superClassOf
noun	WebPage	schema.org	definedBy	defines
noun	RadioClip	Clip	subClassOf	superClassOf
noun	RadioClip	schema.org	definedBy	defines
noun	PlaceOfWorship	CivicStructure	subClassOf	superClassOf
noun	PlaceOfWorship	schema.org	definedBy	defines
noun	LoseAction	AchieveAction	subClassOf	superClassOf
noun	LoseAction	schema.org	definedBy	defines
noun	Motorcycle	Vehicle	subClassOf	superClassOf
noun	Motorcycle	schema.org	definedBy	defines
noun	StatisticalPopulation	Intangible	subClassOf	superClassOf
noun	StatisticalPopulation	schema.org	definedBy	defines
noun	RadiationTherapy	MedicalTherapy	subClassOf	superClassOf
noun	RadiationTherapy	schema.org	definedBy	defines
noun	BusStation	CivicStructure	subClassOf	superClassOf
noun	BusStation	schema.org	definedBy	defines
noun	ResumeAction	ControlAction	subClassOf	superClassOf
noun	ResumeAction	schema.org	definedBy	defines
noun	ScholarlyArticle	Article	subClassOf	superClassOf
noun	ScholarlyArticle	schema.org	definedBy	defines
noun	MedicalAudience	Audience	subClassOf	superClassOf
noun	MedicalAudience	schema.org	definedBy	defines
noun	APIReference	TechArticle	subClassOf	superClassOf
noun	APIReference	schema.org	definedBy	defines
noun	HairSalon	HealthAndBeautyBusiness	subClassOf	superClassOf
noun	HairSalon	schema.org	definedBy	defines
noun	GovernmentService	Service	subClassOf	superClassOf
noun	GovernmentService	schema.org	definedBy	defines
noun	SportsActivityLocation	LocalBusiness	subClassOf	superClassOf
noun	SportsActivityLocation	schema.org	definedBy	defines
noun	AgreeAction	ReactAction	subClassOf	superClassOf
noun	AgreeAction	schema.org	definedBy	defines
noun	WPSideBar	WebPageElement	subClassOf	superClassOf
noun	WPSideBar	schema.org	definedBy	defines
noun	DepartmentStore	Store	subClassOf	superClassOf
noun	DepartmentStore	schema.org	definedBy	defines
noun	EventStatusType	StatusEnumeration	subClassOf	superClassOf
noun	EventStatusType	schema.org	definedBy	defines
noun	MedicalStudyStatus	MedicalEnumeration	subClassOf	superClassOf
noun	MedicalStudyStatus	schema.org	definedBy	defines
noun	AudioObject	MediaObject	subClassOf	superClassOf
noun	AudioObject	schema.org	definedBy	defines
noun	MusicAlbumProductionType	Enumeration	subClassOf	superClassOf
noun	MusicAlbumProductionType	schema.org	definedBy	defines
noun	MediaGallery	CollectionPage	subClassOf	superClassOf
noun	MediaGallery	schema.org	definedBy	defines
noun	SpecialAnnouncement	CreativeWork	subClassOf	superClassOf
noun	SpecialAnnouncement	schema.org	definedBy	defines
noun	AggregateOffer	Offer	subClassOf	superClassOf
noun	AggregateOffer	schema.org	definedBy	defines
noun	Rating	Intangible	subClassOf	superClassOf
noun	Rating	schema.org	definedBy	defines
noun	FinancialIncentive	Intangible	subClassOf	superClassOf
noun	FinancialIncentive	schema.org	definedBy	defines
noun	UserDownloads	UserInteraction	subClassOf	superClassOf
noun	UserDownloads	schema.org	definedBy	defines
noun	LymphaticVessel	Vessel	subClassOf	superClassOf
noun	LymphaticVessel	schema.org	definedBy	defines
noun	MediaObject	CreativeWork	subClassOf	superClassOf
noun	MediaObject	schema.org	definedBy	defines
noun	ParkingFacility	CivicStructure	subClassOf	superClassOf
noun	ParkingFacility	schema.org	definedBy	defines
noun	EmployerAggregateRating	AggregateRating	subClassOf	superClassOf
noun	EmployerAggregateRating	schema.org	definedBy	defines
noun	ArchiveOrganization	LocalBusiness	subClassOf	superClassOf
noun	ArchiveOrganization	schema.org	definedBy	defines
noun	MonetaryGrant	Grant	subClassOf	superClassOf
noun	MonetaryGrant	schema.org	definedBy	defines
noun	SchoolDistrict	AdministrativeArea	subClassOf	superClassOf
noun	SchoolDistrict	schema.org	definedBy	defines
noun	FlightReservation	Reservation	subClassOf	superClassOf
noun	FlightReservation	schema.org	definedBy	defines
noun	SportsClub	SportsActivityLocation	subClassOf	superClassOf
noun	SportsClub	schema.org	definedBy	defines
noun	HealthPlanNetwork	Intangible	subClassOf	superClassOf
noun	HealthPlanNetwork	schema.org	definedBy	defines
