url	ns	type	id	code	name	description	employment	annual_mean_wage	matched_onet
https://onet.org.ai/STEMOccupation/AnimalScientists	onet.org.ai	STEMOccupation	AnimalScientists	19-1011	Animal Scientists		2470	104970	true
https://onet.org.ai/STEMOccupation/Technologists	onet.org.ai	STEMOccupation	Technologists	19-1012	Food Scientists and Technologists		14370	123070	true
https://onet.org.ai/STEMOccupation/PlantScientists	onet.org.ai	STEMOccupation	PlantScientists	19-1013	Soil and Plant Scientists		16600	83040	true
https://onet.org.ai/STEMOccupation/Biophysicists	onet.org.ai	STEMOccupation	Biophysicists	19-1021	Biochemists and Biophysicists		34520	115570	true
https://onet.org.ai/STEMOccupation/Microbiologists	onet.org.ai	STEMOccupation	Microbiologists	19-1022	Microbiologists		19760	95200	true
https://onet.org.ai/STEMOccupation/WildlifeBiologists	onet.org.ai	STEMOccupation	WildlifeBiologists	19-1023	Zoologists and Wildlife Biologists		16920	77920	true
https://onet.org.ai/STEMOccupation/Biologists	onet.org.ai	STEMOccupation	Biologists	19-1029	Biologists		59710	100440	true
https://onet.org.ai/STEMOccupation/ParkNaturalists	onet.org.ai	STEMOccupation	ParkNaturalists	19-1031	Park Naturalists		25590	74310	true
https://onet.org.ai/STEMOccupation/Foresters	onet.org.ai	STEMOccupation	Foresters	19-1032	Foresters		9650	74670	true
https://onet.org.ai/STEMOccupation/Epidemiologists	onet.org.ai	STEMOccupation	Epidemiologists	19-1041	Epidemiologists		11460	112690	true
https://onet.org.ai/STEMOccupation/LifeScientistsAllOther	onet.org.ai	STEMOccupation	LifeScientistsAllOther	19-1099	Life Scientists, All Other		7320	101940	true
https://onet.org.ai/STEMOccupation/Astronomers	onet.org.ai	STEMOccupation	Astronomers	19-2011	Astronomers		1560	134430	true
https://onet.org.ai/STEMOccupation/Physicists	onet.org.ai	STEMOccupation	Physicists	19-2012	Physicists		21340	166000	true
https://onet.org.ai/STEMOccupation/SpaceScientists	onet.org.ai	STEMOccupation	SpaceScientists	19-2021	Atmospheric and Space Scientists		8780	103980	true
https://onet.org.ai/STEMOccupation/Chemists	onet.org.ai	STEMOccupation	Chemists	19-2031	Chemists		83250	95940	true
