url	ns	type	id	code	name	description	digital
https://occupations.org.ai/EmergencyManagementDirectors	occupations.org.ai	Occupation	EmergencyManagementDirectors	11-9161.00	Emergency Management Directors	Emergency Management Directors	0.75
https://occupations.org.ai/FuneralHomeManagers	occupations.org.ai	Occupation	FuneralHomeManagers	11-9171.00	Funeral Home Managers	Funeral Home Managers	0.75
https://occupations.org.ai/PersonalServiceManagersAllOther	occupations.org.ai	Occupation	PersonalServiceManagersAllOther	11-9179.00	Personal Service Managers, All Other	Personal Service Managers, All Other	0.75
https://occupations.org.ai/FitnessCoordinators	occupations.org.ai	Occupation	FitnessCoordinators	11-9179.01	Fitness and Wellness Coordinators	Fitness and Wellness Coordinators	0.75
https://occupations.org.ai/WellnessCoordinators	occupations.org.ai	Occupation	WellnessCoordinators	11-9179.01	Fitness and Wellness Coordinators	Fitness and Wellness Coordinators	0.75
https://occupations.org.ai/SpaManagers	occupations.org.ai	Occupation	SpaManagers	11-9179.02	Spa Managers	Spa Managers	0.75
https://occupations.org.ai/ManagersAllOther	occupations.org.ai	Occupation	ManagersAllOther	11-9199.00	Managers, All Other	Managers, All Other	0.75
https://occupations.org.ai/RegulatoryAffairsManagers	occupations.org.ai	Occupation	RegulatoryAffairsManagers	11-9199.01	Regulatory Affairs Managers	Regulatory Affairs Managers	0.75
https://occupations.org.ai/ComplianceManagers	occupations.org.ai	Occupation	ComplianceManagers	11-9199.02	Compliance Managers	Compliance Managers	0.75
https://occupations.org.ai/LossPreventionManagers	occupations.org.ai	Occupation	LossPreventionManagers	11-9199.08	Loss Prevention Managers	Loss Prevention Managers	0.75
https://occupations.org.ai/WindEnergyOperationsManagers	occupations.org.ai	Occupation	WindEnergyOperationsManagers	11-9199.09	Wind Energy Operations Managers	Wind Energy Operations Managers	0.75
https://occupations.org.ai/WindEnergyDevelopmentManagers	occupations.org.ai	Occupation	WindEnergyDevelopmentManagers	11-9199.10	Wind Energy Development Managers	Wind Energy Development Managers	0.75
https://occupations.org.ai/BrownfieldRedevelopmentSpecialistsManagers	occupations.org.ai	Occupation	BrownfieldRedevelopmentSpecialistsManagers	11-9199.11	Brownfield Redevelopment Specialists and Site Managers	Brownfield Redevelopment Specialists and Site Managers	0.75
https://occupations.org.ai/SiteManagers	occupations.org.ai	Occupation	SiteManagers	11-9199.11	Brownfield Redevelopment Specialists and Site Managers	Brownfield Redevelopment Specialists and Site Managers	0.75
https://occupations.org.ai/AgentsManagersOfArtistsPerformers	occupations.org.ai	Occupation	AgentsManagersOfArtistsPerformers	13-1011.00	Agents and Business Managers of Artists, Performers, and Athletes	Agents and Business Managers of Artists, Performers, and Athletes	0.85
https://occupations.org.ai/Athletes	occupations.org.ai	Occupation	Athletes	13-1011.00	Agents and Business Managers of Artists, Performers, and Athletes	Agents and Business Managers of Artists, Performers, and Athletes	0.85
