url	ns	type	id	code	name	description	label	comment	subClassOf	supersededBy	domainIncludes	rangeIncludes
https://schema.org.ai/Property/Schemaerror	schema.org.ai	Property	Schema:error	schema:error	schema:error		error	For failed actions, more information on the cause of the failure.			schema:Action	schema:Thing
https://schema.org.ai/Property/Schemastudydesign	schema.org.ai	Property	Schema:studydesign	schema:studyDesign	schema:studyDesign		studyDesign	Specifics about the observational study design (enumerated).			schema:MedicalObservationalStudy	schema:MedicalObservationalStudyDesign
https://schema.org.ai/Property/Schemaoffercount	schema.org.ai	Property	Schema:offercount	schema:offerCount	schema:offerCount		offerCount	The number of offers for the product.			schema:AggregateOffer	schema:Integer
https://schema.org.ai/Property/Schemamap	schema.org.ai	Property	Schema:map	schema:map	schema:map		map	A URL to a map of the place.		schema:hasMap	schema:Place	schema:URL
https://schema.org.ai/Property/Schemaworkload	schema.org.ai	Property	Schema:workload	schema:workload	schema:workload		workload	Quantitative measure of the physiologic output of the exercise; also referred to as energy expenditure.			schema:ExercisePlan	schema:Energy,schema:QuantitativeValue
https://schema.org.ai/Property/Schematickettoken	schema.org.ai	Property	Schema:tickettoken	schema:ticketToken	schema:ticketToken		ticketToken	Reference to an asset (e.g., Barcode, QR code image or PDF) usable for entrance.			schema:Ticket	schema:URL,schema:Text
https://schema.org.ai/Property/Schemacloses	schema.org.ai	Property	Schema:closes	schema:closes	schema:closes		closes	The closing hour of the place or service on the given day(s) of the week.			schema:OpeningHoursSpecification	schema:Time
https://schema.org.ai/Property/Schemasubevents	schema.org.ai	Property	Schema:subevents	schema:subEvents	schema:subEvents		subEvents	Events that are a part of this event. For example, a conference event includes many presentations, each subEvents of the conference.		schema:subEvent	schema:Event	schema:Event
https://schema.org.ai/Property/Schemareturnfees	schema.org.ai	Property	Schema:returnfees	schema:returnFees	schema:returnFees		returnFees	The type of return fees for purchased products (for any return reason).			schema:MerchantReturnPolicySeasonalOverride,schema:MerchantReturnPolicy	schema:ReturnFeesEnumeration
https://schema.org.ai/Property/Schemacontactoption	schema.org.ai	Property	Schema:contactoption	schema:contactOption	schema:contactOption		contactOption	An option available on this contact point (e.g. a toll-free number or support for hearing-impaired callers).			schema:ContactPoint	schema:ContactPointOption
https://schema.org.ai/Property/Schemaservicesmsnumber	schema.org.ai	Property	Schema:servicesmsnumber	schema:serviceSmsNumber	schema:serviceSmsNumber		serviceSmsNumber	The number to access the service by text message.			schema:ServiceChannel	schema:ContactPoint
https://schema.org.ai/Property/Schemaoffers	schema.org.ai	Property	Schema:offers	schema:offers	schema:offers		offers	An offer to provide this item&#x2014;for example, an offer to sell a product, rent the DVD of a movie, perform a service, or give away tickets to an event. Use [[businessFunction]] to indicate the kind of transaction offered, i.e. sell, lease, etc. This property can also be used to describe a [[Demand]]. While this property is listed as expected on a number of common types, it can be used in others. In that case, using a second type, such as Product or a subtype of Product, can clarify the nature of the offer.			schema:EducationalOccupationalProgram,schema:Event,schema:Service,schema:AggregateOffer,schema:Product,schema:CreativeWork,schema:MenuItem,schema:Trip	schema:Demand,schema:Offer
https://schema.org.ai/Property/Schemauserinteractioncount	schema.org.ai	Property	Schema:userinteractioncount	schema:userInteractionCount	schema:userInteractionCount		userInteractionCount	The number of interactions for the CreativeWork using the WebSite or SoftwareApplication.			schema:InteractionCounter	schema:Integer
https://schema.org.ai/Property/Schemageoequals	schema.org.ai	Property	Schema:geoequals	schema:geoEquals	schema:geoEquals		geoEquals	Represents spatial relations in which two geometries (or the places they represent) are topologically equal, as defined in [DE-9IM](https://en.wikipedia.org/wiki/DE-9IM). "Two geometries are topologically equal if their interiors intersect and no part of the interior or boundary of one geometry intersects the exterior of the other" (a symmetric relationship).			schema:Place,schema:GeospatialGeometry	schema:Place,schema:GeospatialGeometry
https://schema.org.ai/Property/Schemaitemlocation	schema.org.ai	Property	Schema:itemlocation	schema:itemLocation	schema:itemLocation		[object Object]	[object Object]			schema:ArchiveComponent	schema:PostalAddress,schema:Text,schema:Place
https://schema.org.ai/Property/Schemasteps	schema.org.ai	Property	Schema:steps	schema:steps	schema:steps		steps	A single step item (as HowToStep, text, document, video, etc.) or a HowToSection (originally misnamed 'steps'; 'step' is preferred).		schema:step	schema:HowTo,schema:HowToSection	schema:Text,schema:CreativeWork,schema:ItemList
https://schema.org.ai/Property/Schematimerequired	schema.org.ai	Property	Schema:timerequired	schema:timeRequired	schema:timeRequired		timeRequired	Approximate or typical time it usually takes to work with or through the content of this work for the typical or target audience.			schema:CreativeWork	schema:Duration
https://schema.org.ai/Property/Schemapostalcode	schema.org.ai	Property	Schema:postalcode	schema:postalCode	schema:postalCode		postalCode	The postal code. For example, 94043.			schema:GeoShape,schema:PostalAddress,schema:DefinedRegion,schema:GeoCoordinates	schema:Text
https://schema.org.ai/Property/Schemavendor	schema.org.ai	Property	Schema:vendor	schema:vendor	schema:vendor		vendor	'vendor' is an earlier term for 'seller'.		schema:seller	schema:BuyAction	schema:Person,schema:Organization
https://schema.org.ai/Property/Schemaqualifiedexpense	schema.org.ai	Property	Schema:qualifiedexpense	schema:qualifiedExpense	schema:qualifiedExpense		qualifiedExpense	Optional. The types of expenses that are covered by the incentive. For example some incentives are only for the goods (tangible items) but the services (labor) are excluded.			schema:FinancialIncentive	schema:IncentiveQualifiedExpenseType
https://schema.org.ai/Property/Schemavaliduntil	schema.org.ai	Property	Schema:validuntil	schema:validUntil	schema:validUntil		validUntil	The date when the item is no longer valid.			schema:Permit	schema:Date
https://schema.org.ai/Property/Schemacertificationrating	schema.org.ai	Property	Schema:certificationrating	schema:certificationRating	schema:certificationRating		certificationRating	Rating of a certification instance (as defined by an independent certification body). Typically this rating can be used to rate the level to which the requirements of the certification instance are fulfilled. See also [gs1:certificationValue](https://www.gs1.org/voc/certificationValue).			schema:Certification	schema:Rating
https://schema.org.ai/Property/Schemasizesystem	schema.org.ai	Property	Schema:sizesystem	schema:sizeSystem	schema:sizeSystem		sizeSystem	The size system used to identify a product's size. Typically either a standard (for example, "GS1" or "ISO-EN13402"), country code (for example "US" or "JP"), or a measuring system (for example "Metric" or "Imperial").			schema:SizeSpecification	schema:Text,schema:SizeSystemEnumeration
https://schema.org.ai/Property/Schemahealthplannetworkid	schema.org.ai	Property	Schema:healthplannetworkid	schema:healthPlanNetworkId	schema:healthPlanNetworkId		healthPlanNetworkId	Name or unique ID of network. (Networks are often reused across different insurance plans.)			schema:MedicalOrganization,schema:HealthPlanNetwork	schema:Text
https://schema.org.ai/Property/Schemaclaimreviewed	schema.org.ai	Property	Schema:claimreviewed	schema:claimReviewed	schema:claimReviewed		claimReviewed	A short summary of the specific claims reviewed in a ClaimReview.			schema:ClaimReview	schema:Text
https://schema.org.ai/Property/Schemavehicleseatingcapacity	schema.org.ai	Property	Schema:vehicleseatingcapacity	schema:vehicleSeatingCapacity	schema:vehicleSeatingCapacity		vehicleSeatingCapacity	The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.\n\nTypical unit code(s): C62 for persons.			schema:Vehicle	schema:Number,schema:QuantitativeValue
https://schema.org.ai/Property/Schemacvdnumc19mechventpats	schema.org.ai	Property	Schema:cvdnumc19mechventpats	schema:cvdNumC19MechVentPats	schema:cvdNumC19MechVentPats		cvdNumC19MechVentPats	numc19mechventpats - HOSPITALIZED and VENTILATED: Patients hospitalized in an NHSN inpatient care location who have suspected or confirmed COVID-19 and are on a mechanical ventilator.			schema:CDCPMDRecord	schema:Number
https://schema.org.ai/Property/Schemaactor	schema.org.ai	Property	Schema:actor	schema:actor	schema:actor		actor	An actor (individual or a group), e.g. in TV, radio, movie, video games etc., or in an event. Actors can be associated with individual items or with a series, episode, clip.			schema:CreativeWorkSeason,schema:RadioSeries,schema:Episode,schema:VideoGameSeries,schema:VideoObject,schema:Clip,schema:Event,schema:MovieSeries,schema:PodcastSeries,schema:VideoGame,schema:Movie,schema:TVSeries	schema:Person,schema:PerformingGroup
https://schema.org.ai/Property/Schemaloanpaymentfrequency	schema.org.ai	Property	Schema:loanpaymentfrequency	schema:loanPaymentFrequency	schema:loanPaymentFrequency		loanPaymentFrequency	Frequency of payments due, i.e. number of months between payments. This is defined as a frequency, i.e. the reciprocal of a period of time.			schema:RepaymentSpecification	schema:Number
https://schema.org.ai/Property/Schemalegislationdateofapplicability	schema.org.ai	Property	Schema:legislationdateofapplicability	schema:legislationDateOfApplicability	schema:legislationDateOfApplicability		legislationDateOfApplicability	The date at which the Legislation becomes applicable. This can sometimes be distinct from the date of entry into force : a text may come in force today, and state it will become applicable in 3 months.			schema:Legislation	schema:Date
https://schema.org.ai/Property/Schemahasbiochementitypart	schema.org.ai	Property	Schema:hasbiochementitypart	schema:hasBioChemEntityPart	schema:hasBioChemEntityPart		hasBioChemEntityPart	Indicates a BioChemEntity that (in some sense) has this BioChemEntity as a part.			schema:BioChemEntity	schema:BioChemEntity
https://schema.org.ai/Property/Schemaaudience	schema.org.ai	Property	Schema:audience	schema:audience	schema:audience		audience	An intended audience, i.e. a group for whom something was created.			schema:Service,schema:Event,schema:LodgingBusiness,schema:Product,schema:PlayAction,schema:CreativeWork	schema:Audience
https://schema.org.ai/Property/Schemacatalog	schema.org.ai	Property	Schema:catalog	schema:catalog	schema:catalog		catalog	A data catalog which contains this dataset.		schema:includedInDataCatalog	schema:Dataset	schema:DataCatalog
https://schema.org.ai/Property/Schemameetsemissionstandard	schema.org.ai	Property	Schema:meetsemissionstandard	schema:meetsEmissionStandard	schema:meetsEmissionStandard		meetsEmissionStandard	Indicates that the vehicle meets the respective emission standard.			schema:Vehicle	schema:Text,schema:QualitativeValue,schema:URL
https://schema.org.ai/Property/Schemapregnancycategory	schema.org.ai	Property	Schema:pregnancycategory	schema:pregnancyCategory	schema:pregnancyCategory		pregnancyCategory	Pregnancy category of this drug.			schema:Drug	schema:DrugPregnancyCategory
https://schema.org.ai/Property/Schemavalueminlength	schema.org.ai	Property	Schema:valueminlength	schema:valueMinLength	schema:valueMinLength		valueMinLength	Specifies the minimum allowed range for number of characters in a literal value.			schema:PropertyValueSpecification	schema:Number
https://schema.org.ai/Property/Schemaadditionalvariable	schema.org.ai	Property	Schema:additionalvariable	schema:additionalVariable	schema:additionalVariable		additionalVariable	Any additional component of the exercise prescription that may need to be articulated to the patient. This may include the order of exercises, the number of repetitions of movement, quantitative distance, progressions over time, etc.			schema:ExercisePlan	schema:Text
