url	ns	type	id	code	name	description	employment	matched_onet
https://onet.org.ai/Employment/PassengerAttendants	onet.org.ai	Employment	PassengerAttendants	536061	Passenger Attendants		25340	true
https://onet.org.ai/Employment/TransportationWorkersAllOther	onet.org.ai	Employment	TransportationWorkersAllOther	536099	Transportation Workers, All Other		10960	true
https://onet.org.ai/Employment/MaterialMovingWorkers	onet.org.ai	Employment	MaterialMovingWorkers	537000	Material Moving Workers		7871860	false
https://onet.org.ai/Employment/TowerOperators	onet.org.ai	Employment	TowerOperators	537021	Crane and Tower Operators		42000	true
https://onet.org.ai/Employment/DredgeOperators	onet.org.ai	Employment	DredgeOperators	537031	Dredge Operators		1030	true
https://onet.org.ai/Employment/WinchOperators	onet.org.ai	Employment	WinchOperators	537041	Hoist and Winch Operators		2480	true
https://onet.org.ai/Employment/TractorOperators	onet.org.ai	Employment	TractorOperators	537051	Industrial Truck and Tractor Operators		805770	true
https://onet.org.ai/Employment/LaborersandMaterialMovers	onet.org.ai	Employment	LaborersandMaterialMovers	537060	Laborers and Material Movers		6784150	false
https://onet.org.ai/Employment/Equipment	onet.org.ai	Employment	Equipment	537061	Cleaners of Vehicles and Equipment		373960	true
https://onet.org.ai/Employment/ReclamationWorkers	onet.org.ai	Employment	ReclamationWorkers	537062	Recycling and Reclamation Workers		2982530	true
https://onet.org.ai/Employment/Offbearers	onet.org.ai	Employment	Offbearers	537063	Machine Feeders and Offbearers		46690	true
https://onet.org.ai/Employment/PackagersHand	onet.org.ai	Employment	PackagersHand	537064	Packers and Packagers, Hand		601440	true
https://onet.org.ai/Employment/OrderFillers	onet.org.ai	Employment	OrderFillers	537065	Stockers and Order Fillers		2779530	true
https://onet.org.ai/Employment/PumpingStationOperators	onet.org.ai	Employment	PumpingStationOperators	537070	Pumping Station Operators		35060	false
https://onet.org.ai/Employment/GasPumpingStationOperators	onet.org.ai	Employment	GasPumpingStationOperators	537071	Gas Compressor and Gas Pumping Station Operators		5110	true
https://onet.org.ai/Employment/WellheadPumpers	onet.org.ai	Employment	WellheadPumpers	537072	Pump Operators, Except Wellhead Pumpers		12600	true
https://onet.org.ai/Employment/RecyclableMaterialCollectors	onet.org.ai	Employment	RecyclableMaterialCollectors	537081	Refuse and Recyclable Material Collectors		139180	true
https://onet.org.ai/Employment/ShipLoaders	onet.org.ai	Employment	ShipLoaders	537121	Tank Car, Truck, and Ship Loaders		10920	true
https://onet.org.ai/Employment/MaterialMovingWorkersAllOther	onet.org.ai	Employment	MaterialMovingWorkersAllOther	537199	Material Moving Workers, All Other		25190	true
