ns	from	to	predicate	reverse	category	dataValue	date
onet.org.ai	https://onet.org.ai/Occupation/11-305102	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	2.61	07/2011
onet.org.ai	https://onet.org.ai/Occupation/11-305102	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	2.61	07/2011
onet.org.ai	https://onet.org.ai/Occupation/11-305103	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	07/2016
onet.org.ai	https://onet.org.ai/Occupation/11-305103	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	12.69	07/2016
onet.org.ai	https://onet.org.ai/Occupation/11-305103	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	0.00	07/2016
onet.org.ai	https://onet.org.ai/Occupation/11-305103	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	0.00	07/2016
onet.org.ai	https://onet.org.ai/Occupation/11-305104	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2020
onet.org.ai	https://onet.org.ai/Occupation/11-305104	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	2.78	08/2020
onet.org.ai	https://onet.org.ai/Occupation/11-305104	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	08/2020
onet.org.ai	https://onet.org.ai/Occupation/11-305104	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	1.76	08/2020
onet.org.ai	https://onet.org.ai/Occupation/11-305104	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	13.65	08/2020
onet.org.ai	https://onet.org.ai/Occupation/11-305104	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	2.57	08/2020
onet.org.ai	https://onet.org.ai/Occupation/11-305106	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	07/2016
onet.org.ai	https://onet.org.ai/Occupation/11-305106	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	3.03	07/2016
onet.org.ai	https://onet.org.ai/Occupation/11-305106	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	4.48	07/2016
onet.org.ai	https://onet.org.ai/Occupation/11-305106	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	0.00	07/2016
onet.org.ai	https://onet.org.ai/Occupation/11-306100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-306100	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	3.42	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-306100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-306100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	10.53	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-306100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	5.26	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-306100	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	1.58	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-307104	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	07/2017
onet.org.ai	https://onet.org.ai/Occupation/11-307104	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	07/2017
onet.org.ai	https://onet.org.ai/Occupation/11-307104	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	9.52	07/2017
onet.org.ai	https://onet.org.ai/Occupation/11-307104	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	4.76	07/2017
onet.org.ai	https://onet.org.ai/Occupation/11-311100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-311100	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	3.48	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-311100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-311100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	23.81	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-311100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	4.76	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-311100	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	1.43	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-312100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-312100	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	3.18	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-312100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-312100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	4.55	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-312100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	13.64	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-312100	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	1.68	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-313100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2024
onet.org.ai	https://onet.org.ai/Occupation/11-313100	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	3.00	08/2024
onet.org.ai	https://onet.org.ai/Occupation/11-313100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	08/2024
onet.org.ai	https://onet.org.ai/Occupation/11-313100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	14.29	08/2024
onet.org.ai	https://onet.org.ai/Occupation/11-313100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	3.57	08/2024
onet.org.ai	https://onet.org.ai/Occupation/11-313100	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	1.61	08/2024
onet.org.ai	https://onet.org.ai/Occupation/11-902100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	5.00	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-902100	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	2.85	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-902100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	10.00	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-902100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	20.00	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-902100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	15.00	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-902100	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	2.35	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-903100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-903100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-903100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	9.82	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-903100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	18.86	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-903200	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-903200	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	4.00	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-903200	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	7.42	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-903200	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	13.09	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-903200	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	15.44	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-903200	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	2.45	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-903300	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-903300	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	2.36	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-903300	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-903300	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	32.56	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-903300	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	16.34	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-903300	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	1.53	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-904100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2020
onet.org.ai	https://onet.org.ai/Occupation/11-904100	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	3.10	08/2020
onet.org.ai	https://onet.org.ai/Occupation/11-904100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	5.05	08/2020
onet.org.ai	https://onet.org.ai/Occupation/11-904100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	6.53	08/2020
onet.org.ai	https://onet.org.ai/Occupation/11-904100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	0.00	08/2020
onet.org.ai	https://onet.org.ai/Occupation/11-904100	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	2.13	08/2020
onet.org.ai	https://onet.org.ai/Occupation/11-904101	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	07/2014
onet.org.ai	https://onet.org.ai/Occupation/11-904101	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	1.33	07/2014
onet.org.ai	https://onet.org.ai/Occupation/11-904101	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	17.45	07/2014
onet.org.ai	https://onet.org.ai/Occupation/11-904101	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	1.10	07/2014
onet.org.ai	https://onet.org.ai/Occupation/11-905100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	16.14	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-905100	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	2.87	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-905100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	15.46	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-905100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	8.37	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-905100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	8.39	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-905100	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	2.30	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-907100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-907100	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	2.10	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-907100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-907100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	3.44	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-907100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	0.00	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-907100	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	2.01	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-907200	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-907200	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	2.60	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-907200	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.55	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-907200	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	0.00	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-907200	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	0.00	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-907200	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	1.86	08/2025
onet.org.ai	https://onet.org.ai/Occupation/11-908100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	18.32	07/2017
onet.org.ai	https://onet.org.ai/Occupation/11-908100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	18.32	07/2017
onet.org.ai	https://onet.org.ai/Occupation/11-908100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	0.00	07/2017
onet.org.ai	https://onet.org.ai/Occupation/11-908100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	0.00	07/2017
onet.org.ai	https://onet.org.ai/Occupation/11-911100	https://onet.org.ai/Education/2D1	requiresEducation	educationForOccupation	1	0.00	08/2022
onet.org.ai	https://onet.org.ai/Occupation/11-911100	https://onet.org.ai/Education/2D4a	requiresEducation	educationForOccupation	n/a	3.67	08/2022
onet.org.ai	https://onet.org.ai/Occupation/11-911100	https://onet.org.ai/Education/3A1	requiresEducation	educationForOccupation	1	0.00	08/2022
onet.org.ai	https://onet.org.ai/Occupation/11-911100	https://onet.org.ai/Education/3A2	requiresEducation	educationForOccupation	1	7.41	08/2022
onet.org.ai	https://onet.org.ai/Occupation/11-911100	https://onet.org.ai/Education/3A3	requiresEducation	educationForOccupation	1	0.00	08/2022
onet.org.ai	https://onet.org.ai/Occupation/11-911100	https://onet.org.ai/Education/3A4a	requiresEducation	educationForOccupation	n/a	2.70	08/2022
