child	childCode	parent	parentCode	level
OtherMajorHouseholdAppliancesN.e.c.	3821254	OtherMajorHouseholdAppliances	382125	Detail→Subclass
UpholsteredHouseholdFurniture	3911111	UpholsteredHouseholdFurniture	391111	Detail→Subclass
WoodLivingRoomLibraryFamilyRoomAndDenFurnitureExceptUpholsteredInfants'AndChildren'sReadyToAssembleAndUnpaintedFurniture	3911121	OtherWoodHouseholdFurnitureIncludingReadyToAssembleAndUnpainted	391112	Detail→Subclass
WoodDiningRoomAndKitchenFurnitureExceptInfants'AndChildren'sReadyToAssembleAndUnpaintedFurniture	3911122	OtherWoodHouseholdFurnitureIncludingReadyToAssembleAndUnpainted	391112	Detail→Subclass
WoodBedroomFurnitureExceptInfants'AndChildren'sReadyToAssembleAndUnpaintedFurniture	3911123	OtherWoodHouseholdFurnitureIncludingReadyToAssembleAndUnpainted	391112	Detail→Subclass
Infants'AndChildren'sWoodFurniture	3911124	OtherWoodHouseholdFurnitureIncludingReadyToAssembleAndUnpainted	391112	Detail→Subclass
WoodOutdoorHouseholdFurnitureExceptReadyToAssembleAndUnpaintedFurniture	3911125	OtherWoodHouseholdFurnitureIncludingReadyToAssembleAndUnpainted	391112	Detail→Subclass
ReadyToAssembleWoodHouseholdFurnitureAndUnpaintedWoodHouseholdFurniture	3911126	OtherWoodHouseholdFurnitureIncludingReadyToAssembleAndUnpainted	391112	Detail→Subclass
MetalHouseholdDiningRoomAndKitchenFurniture	3911131	NonWoodHouseholdFurnitureExceptUpholstered	391113	Detail→Subclass
NonWoodHouseholdOutdoorAndCasualFurniture	3911132	NonWoodHouseholdFurnitureExceptUpholstered	391113	Detail→Subclass
Infants'CarSeats	3911133	NonWoodHouseholdFurnitureExceptUpholstered	391113	Detail→Subclass
HouseholdFurnitureExceptWoodAndUpholsteredN.e.c.	3911134	NonWoodHouseholdFurnitureExceptUpholstered	391113	Detail→Subclass
InnerspringMattresses	3911211	MattressesAndFoundations	391121	Detail→Subclass
MattressesExceptInnerspringMattresses	3911212	MattressesAndFoundations	391121	Detail→Subclass
MattressFoundationsAndSleepSystemEnsembles	3911213	MattressesAndFoundations	391121	Detail→Subclass
WoodOfficeSeating	3911411	WoodOfficeFurniture	391141	Detail→Subclass
WoodOfficeDesks	3911412	WoodOfficeFurniture	391141	Detail→Subclass
WoodOfficeFilingUnitsStorageUnitsAndTables	3911413	WoodOfficeFurniture	391141	Detail→Subclass
WoodOfficeFurniturePanelSystemsModularAndDeskingSystems	3911414	WoodOfficeFurniture	391141	Detail→Subclass
NonWoodOfficeSeating	3911421	NonWoodOfficeFurniture	391142	Detail→Subclass
NonWoodOfficeDesks	3911422	NonWoodOfficeFurniture	391142	Detail→Subclass
NonWoodOfficeFilingUnitsStorageUnitsAndTables	3911423	NonWoodOfficeFurniture	391142	Detail→Subclass
NonWoodOfficeFurniturePanelSystemsModularAndDeskingSystems	3911424	NonWoodOfficeFurniture	391142	Detail→Subclass
WoodPartitions	3911511	WoodPartitionsShelvingLockersAndOtherFixtures	391151	Detail→Subclass
WoodShelvingAndLockers	3911512	WoodPartitionsShelvingLockersAndOtherFixtures	391151	Detail→Subclass
WoodFixturesExceptSignsForStoresBanksAndOffices	3911513	WoodPartitionsShelvingLockersAndOtherFixtures	391151	Detail→Subclass
NonWoodPrefabricatedPartitions	3911521	NonWoodPartitionsShelvingLockersAndOtherFixtures	391152	Detail→Subclass
NonWoodShelvingAndLockers	3911522	NonWoodPartitionsShelvingLockersAndOtherFixtures	391152	Detail→Subclass
NonWoodStorageRacksAndAccessories	3911523	NonWoodPartitionsShelvingLockersAndOtherFixtures	391152	Detail→Subclass
NonWoodFixturesExceptSignsForStoresBanksAndOffices	3911524	NonWoodPartitionsShelvingLockersAndOtherFixtures	391152	Detail→Subclass
WoodFurnitureFrames	3911611	WoodFurnitureFrames	391161	Detail→Subclass
SchoolFurniture	3911621	InstitutionalAndOtherFurnitureN.e.c.	391162	Detail→Subclass
PublicBuildingAndRelatedFurniture	3911622	InstitutionalAndOtherFurnitureN.e.c.	391162	Detail→Subclass
