apiId	actionId
LearningsuiteApi	AddBundlesGroup
LearningsuiteApi	AddBundlesMember
SmartofficeApi	AddBusiness
KixieApi	AddCadence
RecruitCrmApi	AddCallLog
RocketAgentsApi	AddCallNotes
IclosedApi	AddCallOutcome
PressoneAfricaApi	AddCallQueue
KraftfulApi	AddCallTranscript
AgileCrmApi	AddCampaign
ProjectBroadcastApi	AddCampaign
AutokloseApi	AddCampaignRecipient
RecruitCrmApi	AddCandidate
HireflixApi	AddCandidate
GohireApi	AddCandidate
AtzCrmApi	AddCandidate
CinodeApi	AddCandidateAttachment
RecruApi	AddCandidateEducation
TraffitApi	AddCandidateJob
JobadderApi	AddCandidateNote
TraffitApi	AddCandidateNote
AvahrApi	AddCandidateNote
Hire.incApi	AddCandidateNote
CatsApi	AddCandidatePipeline
QpageApi	AddCandidatePipeline
RecruApi	AddCandidatePreferredLocations
RecruApi	AddCandidateProject
GohireApi	AddCandidateStage
RecruApi	AddCandidateTags
RecruApi	AddCandidateWorkPosition
EveryactionApi	AddCanvassResponses
NgpVanApi	AddCanvassResponses
CaptionsApi	AddCaptions
OpusclipApi	AddCaptionsYourVideo
WritifyApi	AddCard
KaitenApi	AddCard
FlowfastApi	AddCard
KrozuApi	AddCardAssignee
InstantcardApi	AddCardsPrintJob
PlanviewAgileplaceApi	AddCardTypeBoard
AttentiveApi	AddCart
KayseApi	AddCasesList
InvoiceQuicklyApi	AddCategory
MicrosoftOutlookApi	AddCategoryEmail
WhatchimpApi	AddChatTeamMember
LogitApi	AddCheckEvent
HubfitApi	AddCheckFormClientProfile
KrozuApi	AddChecklist
TrelloApi	AddChecklistCard
WayWeDoApi	AddChecklistComment
DocusoftApi	Addclient
PracticeBetterApi	AddClient
PtDistinctionApi	AddClient
DaftraApi	AddClient
WestriveApi	AddClient
FoodzillaApi	AddClient
TrackabiApi	AddClient
UpcoachApi	AddClient
Clinicsoftware.comApi	AddClient
AthletadeskApi	AddClient
DisputePandaApi	AddClient
TimeghostApi	AddClient
IdealityApi	AddClient
HubfitApi	AddClientCommunity
CoachaccountableApi	AddClientCourse
HubfitApi	AddClientDemandCollection
SeamlssApi	AddClientDeprecated
WellnesslivingApi	AddClientGroup
PtDistinctionApi	AddClientGroup
AzeooApi	AddClientGroups
