id	code	name	description	parent
IrishMoss	1211142	Irish moss	Irish moss.	121114
OtherAlgae	1211143	Other algae	Other algae.	121114
HardwoodLogsAndBoltsExceptFuelWoodAndPulpwood	1311111	Hardwood logs and bolts (except fuel wood and pulpwood)	Hardwood logs and bolts, except fuel wood and pulpwood.	131111
LogsAndBoltsOfSprucePineAndFirExceptFuelWoodAndPulpwood	1311121	Logs and bolts of spruce, pine and fir (except fuel wood and pulpwood)	Logs and bolts of spruce, pine and fir, except fuel wood and pulpwood.	131112
LogsAndBoltsOfHemlockFirExceptFuelWoodAndPulpwood	1311122	Logs and bolts of hemlock fir (except fuel wood and pulpwood)	Logs and bolts of hemlock fir, except fuel wood and pulpwood.	131112
LogsAndBoltsOfDouglasFirAndWesternLarchExceptFuelWoodAndPulpwood	1311123	Logs and bolts of Douglas fir and Western larch (except fuel wood and pulpwood)	Logs and bolts of Douglas fir and Western larch, except fuel wood and pulpwood.	131112
LogsAndBoltsOfWesternRedCedarExceptFuelWoodAndPulpwood	1311124	Logs and bolts of Western red cedar (except fuel wood and pulpwood)	Logs and bolts of Western red cedar, except fuel wood and pulpwood.	131112
OtherLogsAndBoltsOfSoftwoodExceptFuelWoodAndPulpwood	1311125	Other logs and bolts of softwood (except fuel wood and pulpwood)	Other logs and bolts of softwood, except fuel wood and pulpwood.	131112
HardwoodPulpwood	1311211	Hardwood pulpwood	Hardwood pulpwood.	131121
SoftwoodPulpwood	1311221	Softwood pulpwood	Softwood pulpwood.	131122
RoughUntreatedPolesPostsAndPilingOfSoftwood	1311311	Rough untreated poles, posts and piling of softwood	Rough untreated poles, posts and piling of softwood.	131131
RoughUntreatedPolesPostsAndPilingOfHardwood	1311312	Rough untreated poles, posts and piling of hardwood	Rough untreated poles, posts and piling of hardwood.	131131
LightAndMediumCrudeOil	1411111	Light and medium crude oil	Light and medium crude oil with a density equal to or less than 875.7 kg/m³ (30.1°API).	141111
HeavyCrudeOil	1411112	Heavy crude oil	Heavy crude oil with a density greater than 875.7 kg/m³ (30.1°API).	141111
CrudeBitumen	1411211	Crude bitumen	Semi solid form of crude oil that does not flow unless it is heated or diluted with lighter hydrocarbons.	141121
DilutedBitumen	1411212	Diluted bitumen	Crude bitumen that has been diluted so that it can be transported by pipeline.	141121
SyntheticCrudeOil	1411311	Synthetic crude oil	Synthetic crude oil, which refers to an intermediate product that is a mixture of hydrocarbons derived from the upgrading of crude bitumen into a transportable liquid form. Synthetic crude oil contains very little sulfur (less than 0.2% by weight) compared to other light crude oils due to its processing, and has a density between 834.8 and 870.8 kg/m³ (31.0°API to 38.0°API).	141131
NaturalGas	1421111	Natural gas	Natural gas, a mixture of gaseous hydrocarbons consisting primarily of methane.	142111
PropaneAndPropaneMixes	1431111	Propane and propane mixes	Normally straight-chain gaseous paraffinic (saturated) hydrocarbon or compound (C3H8) extracted from natural gas or refinery gas streams. It is a colourless gas that boils at a temperature of -42° Celsius. Cover propane mixes.	143111
ButaneAndButaneMixes	1431112	Butane and butane mixes	Normally straight-chain or branch-chain gaseous paraffinic hydrocarbon (C4H10) extracted from natural gas or refinery gas streams. It is a colourless gas that boils at a temperature of -1° Celsius. Covers butane mixes.	143111
Ethane	1431121	Ethane	Straight-chain gaseous paraffinic (saturated) hydrocarbon (C2H6) extracted predominantly from natural gas streams. It is a colourless gas that boils at a temperature of -88° Celsius.	143112
LeaseCondensate	1431122	Lease condensate	Light liquid hydrocarbons recovered from lease separators or field facilities at associated and non-associated natural gas wells, mostly pentanes and heavier hydrocarbons. Normally enter the crude oil stream after production.	143112
PentanesPlusIncludingPlantCondensate	1431123	Pentanes plus (including plant condensate)	Mixture of mainly pentanes and heavier hydrocarbons that ordinarily contains butanes. Pentanes plus (also known as natural gasoline) is obtained from the processing of raw gas, condensate or crude oil.	143112
OtherNaturalGasLiquidsNglsAndRelatedProductsN.e.c.	1431124	Other natural gas liquids (NGLs) and related products, n.e.c.	Natural gas liquids other than ethane, propane and butane, and similar products.	143112
Anthracite	1441111	Anthracite	High rank hard lustrous black coal destined primarily for residential and industrial (as steel making) or commercial applications. It has generally less than 10% volatile matter and a high carbon content (about 90% fixed carbon). Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis.	144111
CokingMetallurgicalCoal	1441121	Coking (metallurgical) coal	Bituminous coal with a quality that allows the production of a coke suitable to support a blast furnace charge. Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis.	144112
OtherBituminousCoal	1441122	Other bituminous coal	Other bituminous coal mainly used for steam raising purposes. It is characterized by higher volatile matter than anthracite (more than 10%) and lower carbon content (less than 90% fixed carbon). Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis.	144112
SubBituminousCoal	1441211	Sub-bituminous coal	Non-agglomerating coal with a gross calorific value equal to or greater than 20,000 kJ/kg and less than 24,000 kJ/kg, containing more than 31% volatile matter on a dry mineral matter free basis.	144121
Lignite	1441221	Lignite	Non-agglomerating coal with a gross calorific value less than 20,000 kJ/kg, containing more than 31% volatile matter on a dry mineral matter free basis.	144122
NuclearFuel	1451111	Nuclear fuel	Fissionable materials that have been enriched to such a composition that, when placed in a nuclear reactor, will support a self-sustaining fission chain reaction, producing heat in a controlled manner for process use.	145111
FuelWoodOfHardwood	1451211	Fuel wood of hardwood	Fuel wood of hardwood.	145121
FuelWoodOfSoftwood	1451212	Fuel wood of softwood	Fuel wood of softwood.	145121
FuelProductsOfWasteWood	1451221	Fuel products of waste wood	Fuel products of waste wood.	145122
PeatBriquettesAndOtherPeatProductsUsedAsFuel	1451222	Peat briquettes and other peat products used as fuel	Peat briquettes and other peat products used as fuel.	145122
OtherSolidFuelProductsN.e.c.	1451223	Other solid fuel products, n.e.c.	Other solid fuel products, n.e.c.	145122
Steam	1451311	Steam	Steam.	145131
HeatedOrCooledAirOrWater	1451321	Heated or cooled air or water	Heated or cooled air or water.	145132
ThermalGenerationElectricityExceptNuclearAndGeothermal	1461111	Thermal generation electricity (except nuclear and geothermal)	Electricity generated from thermal energy released by combustion of combustible fuels, except nuclear and geothermal.	146111
NuclearElectricity	1461112	Nuclear electricity	Electricity generated at an electric power plant whose turbines are driven by steam generated in a reactor by heat from the fission of nuclear fuel.	146111
HydroElectricity	1461113	Hydro-electricity	Electric power generated from a plant in which turbine generators are driven by flowing water.	146111
TidalElectricity	1461114	Tidal electricity	Electric power generated from a plant in which turbine generators are driven from tidal movements.	146111
WindElectricity	1461115	Wind electricity	Electric power generated from a plant in which the prime mover is a wind turbine. Electric power is generated by the conversion of wind power into mechanical energy.	146111
SolarElectricity	1461116	Solar electricity	Electricity generated using photovoltaic (PV) technology which converts sunlight into electricity.	146111
WaveElectricity	1461117	Wave electricity	Electricity generated from mechanical energy derived from wave motion.	146111
GeothermalElectricity	1461118	Geothermal electricity	Electricity generated from heat emitted from within the earth's crust, usually in the form of hot water or steam.	146111
OtherFormsOfElectricity	1461119	Other forms of electricity	Electricity generated from other non-combustible methods.	146111
NaturalGasDeliveriesToIndustrialSystemsGasConsumers	1471111	Natural gas deliveries to industrial systems gas consumers	Natural gas delivered to industrial systems gas consumers.	147111
NaturalGasDeliveriesToCommercialAndInstitutionalSystemsGasConsumers	1471112	Natural gas deliveries to commercial and institutional systems gas consumers	Natural gas delivered to commercial and institutional systems gas consumers.	147111
NaturalGasDeliveriesToResidentialSystemsGasConsumers	1471113	Natural gas deliveries to residential systems gas consumers	Natural gas delivered to residential systems gas consumers.	147111
NaturalGasDeliveriesToIndustrialConsumersEnrolledWithThirdPartyMarketers	1471121	Natural gas deliveries to industrial consumers enrolled with third party marketers	Natural gas delivered to industrial consumers enrolled with third party marketers.	147112
