url	ns	type	id	code	name	description	soc_code	education_program_id	cip_code	career_cluster_id
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	engineering-general	14.0101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	applied-engineering	14.0103	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	architectural-engineering	14.0401	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	chemical-and-biomolecular-engineering	14.0702	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	laser-and-optical-engineering	14.1003	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	engineering-mechanics	14.1101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	engineering-physicsapplied-physics	14.1201	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	engineering-science	14.1301	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	systems-engineering	14.2701	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	manufacturing-engineering	14.3601	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	surveying-engineering	14.3801	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	paper-science-and-engineering	14.4001	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	electromechanical-engineering	14.4101	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	mechatronics-robotics-and-automation-engineering	14.4201	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	biochemical-engineering	14.4301	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	engineering-chemistry	14.4401	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	biologicalbiosystems-engineering	14.4501	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	electrical-and-computer-engineering	14.4701	advanced-manufacturing
	graph.org.ai	SOC_EducationProgram_Mapping					17-2199	energy-systems-engineering-general	14.4801	advanced-manufacturing
