ns	from	predicate	reverse	to
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Enumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/AutomotiveBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/StructuredValue
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Store
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Store
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/TherapeuticProcedure
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/LocalBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Substance,schema:Product
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Audience
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MedicalOrganization,schema:MedicalBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Periodical
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Service
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/BlogPosting
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/House
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/TransferAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Episode
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/StructuredValue
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/ReactAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/StructuredValue
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/FinancialProduct,schema:PaymentMethod
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Action
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Action
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Project
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/EducationalOrganization
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Thing
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Clip
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CivicStructure
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/AchieveAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Vehicle
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Intangible
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MedicalTherapy
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CivicStructure
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/ControlAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Article
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Audience,schema:PeopleAudience
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/TechArticle
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/HealthAndBeautyBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Service
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/LocalBusiness
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/ReactAction
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/WebPageElement
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Store
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/StatusEnumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MedicalEnumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/MediaObject
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Enumeration
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CollectionPage
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/CreativeWork
schema.org.ai		subClassOf	superClassOf	https://schema.org.ai/Offer
