roleId	occupationId
DiagnosticMedicalSonographers	Diagnostic_Medical_Sonographers
DiamondWorkers	Gem_and_Diamond_Workers
DieMakers	Tool_and_Die_Makers
DieselEngineSpecialists	Bus_and_Truck_Mechanics_and_Diesel_Engine_Specialists
DieteticTechnicians	Dietetic_Technicians
DigitalForensicsAnalysts	Digital_Forensics_Analysts
DigitalInterfaceDesigners	Web_and_Digital_Interface_Designers
Directors	Producers_and_Directors
Dishwashers	Dishwashers
Dispatchers	Power_Distributors_and_Dispatchers
DistributionManagers	Transportation,_Storage,_and_Distribution_Managers
DocumentManagementSpecialists	Document_Management_Specialists
DraftersAllOther	Drafters,_All_Other
DraftersAllOther	Engineering_Technologists_and_Technicians,_Except_Drafters,_All_Other
DraglineOperatorsSurfaceMining	Excavating_and_Loading_Machine_and_Dragline_Operators,_Surface_Mining
DredgeOperators	Dredge_Operators
DressingRoomAttendants	Locker_Room,_Coatroom,_and_Dressing_Room_Attendants
DriverSalesWorkers	Driver_Sales_Workers
DryCleaningWorkers	Laundry_and_Dry-Cleaning_Workers
EconomicsTeachersPostsecondary	Economics_Teachers,_Postsecondary
Economists	Economists
Editors	Editors
Education	Directors,_Religious_Activities_and_Education
EducationAdministratorsAllOther	Education_Administrators,_All_Other
EducationAdministratorsKindergartenThroughSecondary	Education_Administrators,_Kindergarten_through_Secondary
EducationAdministratorsPostsecondary	Education_Administrators,_Postsecondary
EducationTeachersPostsecondary	Education_Teachers,_Postsecondary
ElectricalEngineers	Electrical_Engineers
ElectricalRepairers	Electrical_and_Electronics_Repairers,_Commercial_and_Industrial_Equipment
Electricians	Electricians
ElectromechanicalEquipmentAssemblers	Electromechanical_Equipment_Assemblers
ElectronicEquipmentAssemblers	Electrical_and_Electronic_Equipment_Assemblers
ElectronicsDrafters	Electrical_and_Electronics_Drafters
EligibilityInterviewersGovernmentPrograms	Eligibility_Interviewers,_Government_Programs
Embalmers	Embalmers
EmergencyManagementDirectors	Emergency_Management_Directors
EmergencyMedicalTechnicians	Ambulance_Drivers_and_Attendants,_Except_Emergency_Medical_Technicians
EmergencyMedicalTechnicians	Emergency_Medical_Technicians
EmergencyMedicinePhysicians	Emergency_Medicine_Physicians
EndoscopyTechnicians	Endoscopy_Technicians
EnergyAuditors	Energy_Auditors
EngineeringManagers	Architectural_and_Engineering_Managers
EngineeringTeachersPostsecondary	Engineering_Teachers,_Postsecondary
EngineersAllOther	Engineers,_All_Other
Engines	Mobile_Heavy_Equipment_Mechanics,_Except_Engines
Engravers	Etchers_and_Engravers
EnvironmentalComplianceInspectors	Environmental_Compliance_Inspectors
EnvironmentalEconomists	Environmental_Economists
EnvironmentalEngineers	Environmental_Engineers
EnvironmentalRestorationPlanners	Environmental_Restoration_Planners
EnvironmentalScienceTeachersPostsecondary	Environmental_Science_Teachers,_Postsecondary
EnvironmentalScientists	Environmental_Scientists_and_Specialists,_Including_Health
Epidemiologists	Epidemiologists
Epidemiologists	Medical_Scientists,_Except_Epidemiologists
Equipment	Cleaners_of_Vehicles_and_Equipment
EquipmentRepairersAllOther	Precision_Instrument_and_Equipment_Repairers,_All_Other
Ergonomists	Human_Factors_Engineers_and_Ergonomists
Escorts	Tour_Guides_and_Escorts
ESLInstructors	Adult_Basic_Education,_Adult_Secondary_Education,_and_English_as_a_Second_Language_Instructors
EventPlanners	Meeting,_Convention,_and_Event_Planners
Executive	Secretaries_and_Administrative_Assistants,_Except_Legal,_Medical,_and_Executive
ExecutiveAdministrativeAssistants	Executive_Secretaries_and_Executive_Administrative_Assistants
ExercisePhysiologists	Exercise_Physiologists
ExhibitDesigners	Set_and_Exhibit_Designers
ExpeditingClerks	Production,_Planning,_and_Expediting_Clerks
ExtractionWorkers	First-Line_Supervisors_of_Construction_Trades_and_Extraction_Workers
ExtractionWorkersAllOther	Extraction_Workers,_All_Other
ExtrudingMachineOperators	Extruding_and_Forming_Machine_Setters,_Operators,_and_Tenders,_Synthetic_and_Glass_Fibers
Fabricators	Fiberglass_Laminators_and_Fabricators
FabricatorsAllOther	Assemblers_and_Fabricators,_All_Other
FacilitiesManagers	Facilities_Managers
Fallers	Fallers
FamilyMedicinePhysicians	Family_Medicine_Physicians
FamilyTherapists	Marriage_and_Family_Therapists
FarmLaborContractors	Farm_Labor_Contractors
FarmProducts	Purchasing_Agents,_Except_Wholesale,_Retail,_and_Farm_Products
FarmProducts	Wholesale_and_Retail_Buyers,_Except_Farm_Products
FashionDesigners	Fashion_Designers
FenceErectors	Fence_Erectors
FileClerks	File_Clerks
Film	Camera_Operators,_Television,_Video,_and_Film
FinancialClerksAllOther	Financial_Clerks,_All_Other
FinancialExaminers	Financial_Examiners
FinancialManagers	Financial_Managers
FinancialQuantitativeAnalysts	Financial_Quantitative_Analysts
FinancialRiskSpecialists	Financial_Risk_Specialists
FinancialServicesSalesAgents	Securities,_Commodities,_and_Financial_Services_Sales_Agents
FinancialSpecialistsAllOther	Financial_Specialists,_All_Other
Finishers	Coil_Winders,_Tapers,_and_Finishers
Finishers	Floor_Sanders_and_Finishers
Finishers	Glass_Blowers,_Molders,_Benders,_and_Finishers
Finishers	Terrazzo_Workers_and_Finishers
FinishingWorkers	Print_Binding_and_Finishing_Workers
FireAlarmSystemsInstallers	Security_and_Fire_Alarm_Systems_Installers
Firefighters	Firefighters
FirstLineSupervisorsOfAirCrewMembers	First-Line_Supervisors_of_Air_Crew_Members
FirstLineSupervisorsOfAllOtherTacticalOperationsSpecialists	First-Line_Supervisors_of_All_Other_Tactical_Operations_Specialists
FirstLineSupervisorsOfCorrectionalOfficers	First-Line_Supervisors_of_Correctional_Officers
FirstLineSupervisorsOfGamblingServicesWorkers	First-Line_Supervisors_of_Gambling_Services_Workers
FirstLineSupervisorsOfNonRetailSalesWorkers	First-Line_Supervisors_of_Non-Retail_Sales_Workers
FirstLineSupervisorsOfPassengerAttendants	First-Line_Supervisors_of_Passenger_Attendants
FirstLineSupervisorsOfPersonalServiceWorkers	First-Line_Supervisors_of_Personal_Service_Workers
FirstLineSupervisorsOfProtectiveServiceWorkersAllOther	First-Line_Supervisors_of_Protective_Service_Workers,_All_Other
FirstLineSupervisorsOfRetailSalesWorkers	First-Line_Supervisors_of_Retail_Sales_Workers
FirstLineSupervisorsOfSecurityWorkers	First-Line_Supervisors_of_Security_Workers
FirstLineSupervisorsOfTransportationWorkersAllOther	First-Line_Supervisors_of_Transportation_Workers,_All_Other
FirstLineSupervisorsOfWeaponsSpecialistsCrewMembers	First-Line_Supervisors_of_Weapons_Specialists_Crew_Members
FitnessStudiesTeachersPostsecondary	Recreation_and_Fitness_Studies_Teachers,_Postsecondary
Fitters	Structural_Metal_Fabricators_and_Fitters
Flaggers	Crossing_Guards_and_Flaggers
FlightAttendants	Flight_Attendants
FlightEngineers	Airline_Pilots,_Copilots,_and_Flight_Engineers
FloralDesigners	Floral_Designers
FoodBatchmakers	Food_Batchmakers
FoodPreparationWorkers	Food_Preparation_Workers
FoodProcessingWorkersAllOther	Food_Processing_Workers,_All_Other
FoodScienceTechnicians	Food_Science_Technicians
FoodServersNonrestaurant	Food_Servers,_Nonrestaurant
FoodServiceManagers	Food_Service_Managers
ForeignLanguageTeachers	Foreign_Language_and_Literature_Teachers,_Postsecondary
ForensicScienceTechnicians	Forensic_Science_Technicians
Foresters	Foresters
ForestryWorkers	First-Line_Supervisors_of_Farming,_Fishing,_and_Forestry_Workers
FreightAgents	Cargo_and_Freight_Agents
FreightForwarders	Freight_Forwarders
FuelCellEngineers	Fuel_Cell_Engineers
Fundraisers	Fundraisers
FundraisingManagers	Fundraising_Managers
FuneralArrangers	Morticians,_Undertakers,_and_Funeral_Arrangers
FuneralAttendants	Funeral_Attendants
FuneralHomeManagers	Funeral_Home_Managers
FurnishingsWorkersAllOther	Textile,_Apparel,_and_Furnishings_Workers,_All_Other
FurnitureFinishers	Furniture_Finishers
Gambling	Entertainment_and_Recreation_Managers,_Except_Gambling
GamblingCageWorkers	Gambling_Cage_Workers
GamblingDealers	Gambling_Dealers
GamblingInvestigators	Gambling_Surveillance_Officers_and_Gambling_Investigators
GamblingManagers	Gambling_Managers
GamblingServices	First-Line_Supervisors_of_Entertainment_and_Recreation_Workers,_Except_Gambling_Services
GamblingServiceWorkersAllOther	Gambling_Service_Workers,_All_Other
GameWardens	Fish_and_Game_Wardens
Gas	Derrick_Operators,_Oil_and_Gas
Gas	Earth_Drillers,_Except_Oil_and_Gas
Gas	Rotary_Drill_Operators,_Oil_and_Gas
Gas	Roustabouts,_Oil_and_Gas
Gas	Service_Unit_Operators,_Oil_and_Gas
GasPlantOperators	Gas_Plant_Operators
GasPumpingStationOperators	Gas_Compressor_and_Gas_Pumping_Station_Operators
Gaugers	Petroleum_Pump_System_Operators,_Refinery_Operators,_and_Gaugers
GeneralInternalMedicinePhysicians	General_Internal_Medicine_Physicians
GeneticCounselors	Genetic_Counselors
Geneticists	Geneticists
GeodeticSurveyors	Geodetic_Surveyors
Geographers	Geographers
Geographers	Geoscientists,_Except_Hydrologists_and_Geographers
GeographyTeachersPostsecondary	Geography_Teachers,_Postsecondary
GeothermalProductionManagers	Geothermal_Production_Managers
GeothermalTechnicians	Geothermal_Technicians
Glaziers	Glaziers
GraphicDesigners	Graphic_Designers
Greenhouse	Farmworkers_and_Laborers,_Crop,_Nursery,_and_Greenhouse
GroundskeepingWorkers	First-Line_Supervisors_of_Landscaping,_Lawn_Service,_and_Groundskeeping_Workers
GroundskeepingWorkers	Landscaping_and_Groundskeeping_Workers
GroundsMaintenanceWorkersAllOther	Grounds_Maintenance_Workers,_All_Other
GroupFitnessInstructors	Exercise_Trainers_and_Group_Fitness_Instructors
Gynecologists	Obstetricians_and_Gynecologists
HardTiles	Floor_Layers,_Except_Carpet,_Wood,_and_Hard_Tiles
HazardousMaterialsRemovalWorkers	Hazardous_Materials_Removal_Workers
HeadCooks	Chefs_and_Head_Cooks
Health	Environmental_Science_and_Protection_Technicians,_Including_Health
HealthcareSocialWorkers	Healthcare_Social_Workers
HealthcareSupportWorkersAllOther	Healthcare_Support_Workers,_All_Other
HealthEducationSpecialists	Health_Education_Specialists
HealthInformaticsSpecialists	Health_Informatics_Specialists
HealthServicesManagers	Medical_and_Health_Services_Managers
HealthSpecialtiesTeachersPostsecondary	Health_Specialties_Teachers,_Postsecondary
HearingAidSpecialists	Hearing_Aid_Specialists
HearingOfficers	Administrative_Law_Judges,_Adjudicators,_and_Hearing_Officers
HelpersCarpenters	Helpers--Carpenters
HelpersConstructionTradesAllOther	Helpers,_Construction_Trades,_All_Other
HelpersElectricians	Helpers--Electricians
HelpersExtractionWorkers	Helpers--Extraction_Workers
HelpersProductionWorkers	Helpers--Production_Workers
HelpersRoofers	Helpers--Roofers
HighwayMaintenanceWorkers	Highway_Maintenance_Workers
HistologyTechnicians	Histology_Technicians
Historians	Historians
HistoryTeachersPostsecondary	History_Teachers,_Postsecondary
Histotechnologists	Histotechnologists
HomeApplianceRepairers	Home_Appliance_Repairers
HomeHealthAides	Home_Health_Aides
HomeManagementEducators	Farm_and_Home_Management_Educators
Hospitalists	Hospitalists
Hostlers	Rail_Yard_Engineers,_Dinkey_Operators,_and_Hostlers
HousekeepingCleaners	Maids_and_Housekeeping_Cleaners
