url	ns	type	id	name	description	code	level	parent	sourceUrl
https://napcs.org.ai/Product/115133	napcs.org.ai	Product	115133	Subclass	Subclass	115133	3	11513	
https://napcs.org.ai/Product/1151331	napcs.org.ai	Product	1151331	Detail	Detail	1151331	4	115133	
https://napcs.org.ai/Product/115134	napcs.org.ai	Product	115134	Subclass	Subclass	115134	3	11513	
https://napcs.org.ai/Product/1151341	napcs.org.ai	Product	1151341	Detail	Detail	1151341	4	115134	
https://napcs.org.ai/Product/115135	napcs.org.ai	Product	115135	Subclass	Subclass	115135	3	11513	
https://napcs.org.ai/Product/1151351	napcs.org.ai	Product	1151351	Detail	Detail	1151351	4	115135	
https://napcs.org.ai/Product/115136	napcs.org.ai	Product	115136	Subclass	Subclass	115136	3	11513	
https://napcs.org.ai/Product/1151361	napcs.org.ai	Product	1151361	Detail	Detail	1151361	4	115136	
https://napcs.org.ai/Product/1151362	napcs.org.ai	Product	1151362	Detail	Detail	1151362	4	115136	
https://napcs.org.ai/Product/1151363	napcs.org.ai	Product	1151363	Detail	Detail	1151363	4	115136	
https://napcs.org.ai/Product/1151364	napcs.org.ai	Product	1151364	Detail	Detail	1151364	4	115136	
https://napcs.org.ai/Product/1151365	napcs.org.ai	Product	1151365	Detail	Detail	1151365	4	115136	
https://napcs.org.ai/Product/115137	napcs.org.ai	Product	115137	Subclass	Subclass	115137	3	11513	
https://napcs.org.ai/Product/1151371	napcs.org.ai	Product	1151371	Detail	Detail	1151371	4	115137	
https://napcs.org.ai/Product/115138	napcs.org.ai	Product	115138	Subclass	Subclass	115138	3	11513	
https://napcs.org.ai/Product/1151381	napcs.org.ai	Product	1151381	Detail	Detail	1151381	4	115138	
https://napcs.org.ai/Product/1151382	napcs.org.ai	Product	1151382	Detail	Detail	1151382	4	115138	
https://napcs.org.ai/Product/1151383	napcs.org.ai	Product	1151383	Detail	Detail	1151383	4	115138	
https://napcs.org.ai/Product/1151384	napcs.org.ai	Product	1151384	Detail	Detail	1151384	4	115138	
https://napcs.org.ai/Product/115139	napcs.org.ai	Product	115139	Subclass	Subclass	115139	3	11513	
https://napcs.org.ai/Product/1151391	napcs.org.ai	Product	1151391	Detail	Detail	1151391	4	115139	
https://napcs.org.ai/Product/1151392	napcs.org.ai	Product	1151392	Detail	Detail	1151392	4	115139	
https://napcs.org.ai/Product/1151393	napcs.org.ai	Product	1151393	Detail	Detail	1151393	4	115139	
https://napcs.org.ai/Product/1151394	napcs.org.ai	Product	1151394	Detail	Detail	1151394	4	115139	
https://napcs.org.ai/Product/1151395	napcs.org.ai	Product	1151395	Detail	Detail	1151395	4	115139	
https://napcs.org.ai/Product/1151396	napcs.org.ai	Product	1151396	Detail	Detail	1151396	4	115139	
https://napcs.org.ai/Product/1151397	napcs.org.ai	Product	1151397	Detail	Detail	1151397	4	115139	
https://napcs.org.ai/Product/1151398	napcs.org.ai	Product	1151398	Detail	Detail	1151398	4	115139	
