id	code	name	description	parent
ChristmasTrees	115142	Christmas trees	This subclass comprises natural Christmas trees.	11514
FloricultureProductsExceptSeeds	115143	Floriculture products (except seeds)	This subclass comprises natural floriculture products, except seeds.	11514
NurseryProductsExceptSeeds	115144	Nursery products (except seeds)	This subclass comprises natural trees, shrubs and their seedlings, except seeds.	11514
Sod	115145	Sod	This subclass comprises sod, natural.	11514
EggsInShell	116111	Eggs in shell	This subclass comprises eggs in shell for consumption and for hatcheries.	11611
UnprocessedMilk	116121	Unprocessed milk	This subclass comprises unprocessed milk.	11612
RawFurskins	116131	Raw furskins	This subclass comprises raw furskins.	11613
RawWoolAndAnimalHair	116132	Raw wool and animal hair	This subclass comprises raw wool and raw animal hair.	11613
NaturalHoney	116133	Natural honey	This subclass comprises natural unprocessed (raw) honey made by bees, and bee-collected pollen.	11613
PregnantMareUrine	116134	Pregnant mare urine	This subclass comprises pregnant mare urine.	11613
LiveFishCrustaceansAndShellfish	121111	Live fish, crustaceans and shellfish	This subclass comprises live fish, crustaceans and shellfish.	12111
FishExceptLive	121112	Fish (except live)	This subclass comprises whole fish fresh, chilled or frozen, dressed or not dressed, but not further processed.	12111
CrustaceansAndShellfishExceptLive	121113	Crustaceans and shellfish (except live)	This subclass comprises fresh, chilled and frozen unshelled crustaceans and shellfish, but not further processed.	12111
SeaweedIrishMossAndOtherAlgae	121114	Seaweed, Irish moss and other algae	This subclass comprises seaweed, Irish moss and other algae.	12111
HardwoodLogsAndBoltsExceptFuelWoodAndPulpwood	131111	Hardwood logs and bolts (except fuel wood and pulpwood)	This subclass comprises hardwood logs and bolts, except fuel wood and pulpwood.	13111
SoftwoodLogsAndBoltsExceptFuelWoodAndPulpwood	131112	Softwood logs and bolts (except fuel wood and pulpwood)	This subclass comprises softwood logs and bolts, except fuel wood and pulpwood.	13111
HardwoodPulpwood	131121	Hardwood pulpwood	This subclass comprises hardwood pulpwood.	13112
SoftwoodPulpwood	131122	Softwood pulpwood	This subclass comprises softwood pulpwood.	13112
RoughUntreatedPolesPostsAndPiling	131131	Rough untreated poles, posts and piling	This subclass comprises rough untreated poles, posts and piling.	13113
ConventionalCrudeOil	141111	Conventional crude oil	This subclass comprises crude oil (a mixture of hydrocarbons in liquid phase) extracted by conventional methods from underground reservoirs.	14111
CrudeAndDilutedBitumen	141121	Crude and diluted bitumen	This subclass comprises crude bitumen and bitumen mixed with diluents.	14112
SyntheticCrudeOil	141131	Synthetic crude oil	This subclass comprises synthetic crude oil, which refers to an intermediate product that is a mixture of hydrocarbons derived from the upgrading of crude bitumen into a transportable liquid form. Synthetic crude oil contains very little sulfur (less than 0.2% by weight) compared to other light crude oils due to its processing, and has a density between 834.8 and 870.8 kg/m³ (31.0°API to 38.0°API).	14113
NaturalGas	142111	Natural gas	This subclass comprises natural gas, a mixture of gaseous hydrocarbons consisting primarily of methane.	14211
LiquefiedPetroleumGasesLpgs	143111	Liquefied petroleum gases (LPGs)	This subclass comprises liquefied petroleum gases (LPGs) consisting primarily of propane and butane.	14311
NaturalGasLiquidsExceptLpgs	143112	Natural gas liquids (except LPGs)	This subclass comprises natural gas liquids, except liquefied petroleum gases (LPGs), and covers lease condensate and pentanes plus.	14311
Anthracite	144111	Anthracite	This subclass comprises anthracite, a high rank hard, lustrous black coal destined primarily for residential and industrial (as steel making) or commercial applications. It has generally less than 10% volatile matter and a high carbon content (about 90% fixed carbon). Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis.	14411
BituminousCoal	144112	Bituminous coal	This subclass comprises coking or metallurgical coal and other bituminous coal. Bituminous coal is a medium rank coal used for gasification, industrial coking and heat raising, and residential heat raising. It is characterized by higher volatile matter than anthracite (more than 10%) and lower carbon content (less than 90% fixed carbon). Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis.	14411
SubBituminousCoal	144121	Sub-bituminous coal	This subclass comprises sub-bituminous coal, a non-agglomerating coal with a gross calorific value equal to or greater than 20,000 kJ/kg and less than 24,000 kJ/kg, containing more than 31% volatile matter on a dry mineral matter free basis.	14412
Lignite	144122	Lignite	This subclass comprises lignite, a non-agglomerating coal with a gross calorific value less than 20,000 kJ/kg, containing more than 31% volatile matter on a dry mineral matter free basis.	14412
NuclearFuel	145111	Nuclear fuel	This subclass comprises nuclear fuel; fissionable materials that have been enriched to such a composition that, when placed in a nuclear reactor, will support a self-sustaining fission chain reaction, producing heat in a controlled manner for process use.	14511
FuelWood	145121	Fuel wood	This subclass comprises fuel wood.	14512
SolidFuelProductsN.e.c.	145122	Solid fuel products, n.e.c.	This subclass comprises solid fuel products, n.e.c.	14512
Steam	145131	Steam	This subclass comprises steam.	14513
HeatedOrCooledAirOrWater	145132	Heated or cooled air or water	This subclass comprises heated or cooled air or water.	14513
Electricity	146111	Electricity	This subclass comprises all forms of generated electricity.	14611
NaturalGasDistributionDirectlyToSystemsGasConsumers	147111	Natural gas distribution, directly to systems gas consumers	This subclass comprises natural gas deliveries to systems gas consumers.	14711
NaturalGasDistributionDirectlyToConsumersEnrolledWithThirdPartyMarketers	147112	Natural gas distribution, directly to consumers enrolled with third party marketers	This subclass comprises natural gas deliveries to consumers enrolled with third party marketers.	14711
NaturalGasDistributionToConsumersHavingPurchasedDirectlyFromSuppliers	147113	Natural gas distribution to consumers having purchased directly from suppliers	This subclass comprises natural gas deliveries to consumers directly from suppliers.	14711
OtherNaturalGasDeliveries	147114	Other natural gas deliveries	This subclass comprises other natural gas deliveries.	14711
IronOresAndConcentrates	151111	Iron ores and concentrates	This subclass comprises iron ores and concentrates.	15111
CopperOresAndConcentrates	152111	Copper ores and concentrates	This subclass comprises copper ores and concentrates.	15211
NickelOresAndConcentrates	153111	Nickel ores and concentrates	This subclass comprises nickel ores and concentrates.	15311
RadioactiveOresAndConcentrates	154111	Radioactive ores and concentrates	This subclass comprises radioactive ores and concentrates.	15411
GoldOresConcentratesAndMillBullion	155111	Gold ores, concentrates and mill bullion	This subclass comprises gold ores, concentrates and mill bullion.	15511
SilverOresConcentratesAndMillBullion	155112	Silver ores, concentrates and mill bullion	This subclass comprises silver ores, concentrates and mill bullion.	15511
PlatinumGroupMetalOresAndConcentrates	155113	Platinum group metal ores and concentrates	This subclass comprises platinum group metal ores and concentrates.	15511
BauxiteAndNaturalAlumina	155211	Bauxite and natural alumina	This subclass comprises bauxite and natural alumina.	15521
RefinedAluminumOxide	155212	Refined aluminum oxide	This subclass comprises refined aluminum oxide.	15521
LeadOresAndConcentrates	155221	Lead ores and concentrates	This subclass comprises lead ores and concentrates.	15522
ZincOresAndConcentrates	155222	Zinc ores and concentrates	This subclass comprises zinc ores and concentrates.	15522
FerroAlloyOresAndConcentrates	155231	Ferro-alloy ores and concentrates	This subclass comprises ferro-alloy ores and concentrates.	15523
OtherMiscellaneousMetalOresAndConcentratesN.e.c.	155232	Other miscellaneous metal ores and concentrates, n.e.c.	This subclass comprises other miscellaneous metal ores and concentrates, n.e.c.	15523
WasteAndScrapOfIronAndSteel	156111	Waste and scrap of iron and steel	This subclass comprises waste and scrap of iron and steel.	15611
WasteAndScrapOfAluminumAndAluminumAlloys	156121	Waste and scrap of aluminum and aluminum alloys	This subclass comprises waste and scrap of aluminum and aluminum alloys.	15612
WasteAndScrapOfOtherNonFerrousMetals	156122	Waste and scrap of other non-ferrous metals	This subclass comprises waste and scrap of other non-ferrous metals.	15612
WoodSawdustAndShavings	157111	Wood sawdust and shavings	This subclass comprises wood sawdust and shavings.	15711
WasteAndScrapOfWood	157112	Waste and scrap of wood	This subclass comprises waste and scrap of wood.	15711
WasteAndScrapOfPaperAndPaperboard	157121	Waste and scrap of paper and paperboard	This subclass comprises waste and scrap of paper and paperboard.	15712
PolyethyleneWasteAndScrap	158112	Polyethylene waste and scrap	This subclass comprises polyethylene waste and scrap.	15811
ThermoplasticResinWasteAndScrap	158113	Thermoplastic resin waste and scrap	This subclass comprises thermoplastic resin waste and scrap.	15811
CompostableAndBiodegradablePlasticWasteAndScrap	158114	Compostable and biodegradable plastic waste and scrap	This subclass comprises compostable and biodegradable plastic waste and scrap.	15811
OtherPlasticWasteAndScrapN.e.c.	158115	Other plastic waste and scrap n.e.c.	This subclass comprises other plastic waste and scrap n.e.c.	15811
WasteAndScrapOfRubber	158116	Waste and scrap of rubber	This subclass comprises waste and scrap of rubber.	15811
WasteAndScrapOfGlass	159111	Waste and scrap of glass	This subclass comprises waste and scrap of glass.	15911
Potash	161111	Potash	This subclass comprises potash.	16111
RoughDimensionStone	162111	Rough dimension stone	This subclass comprises rough dimension stone.	16211
CrushedStone	162112	Crushed stone	This subclass comprises crushed stone.	16211
ConstructionSandAndGravel	162121	Construction sand and gravel	This subclass comprises sand and gravel that has not been further processed than crushing, washing or screening.	16212
IndustrialSand	162122	Industrial sand	This subclass comprises industrial sand.	16212
ClayAndRefractoryMinerals	162123	Clay and refractory minerals	This subclass comprises clay, and refractory minerals.	16212
UncutAndIndustrialDiamonds	163111	Uncut and industrial diamonds	This subclass comprises uncut and industrial diamonds.	16311
Gypsum	163121	Gypsum	This subclass comprises gypsum.	16312
Sulphur	163122	Sulphur	This subclass comprises sulphur.	16312
PhosphateRock	163123	Phosphate rock	This subclass comprises phosphate rock.	16312
RockSalt	163124	Rock salt	This subclass comprises rock salt.	16312
OtherNonMetallicMinerals	163125	Other non-metallic minerals	This subclass comprises other non-metallic minerals.	16312
PreparedFreshFishShellfishCrustaceansAndOtherFreshSeafoodProducts	171111	Prepared fresh fish, shellfish, crustaceans and other fresh seafood products	This subclass comprises fresh fish processed beyond dressing (e.g., chilled); fresh shelled shellfish; and other fresh fish and shellfish products.	17111
CannedFishShellfishAndCrustaceansIncludingSoups	171112	Canned fish, shellfish and crustaceans (including soups)	This subclass comprises canned fish, shellfish and crustaceans, including fish and shellfish based soups.	17111
CuredFishShellfishAndCrustaceans	171113	Cured fish, shellfish and crustaceans	This subclass comprises fish, shellfish and crustaceans cured by addition of either salt, nitrate, nitrites, sugar, seasonings, phosphates or by smoke for preservation and flavor enhancement.	17111
FrozenPreparedFishAndOtherSeafoodProductsExceptFrozenShellfishAndCrustaceans	171114	Frozen prepared fish and other seafood products (except frozen shellfish and crustaceans)	This subclass comprises frozen fish processed beyond dressing, and other frozen processed and prepared seafood products, except frozen shellfish and crustaceans.	17111
FrozenPreparedShellfishAndCrustaceans	171115	Frozen prepared shellfish and crustaceans	This subclass comprises frozen shelled shellfish and crustaceans, cooked and uncooked, and frozen cooked shellfish and crustaceans in shell.	17111
FreshAndFrozenCarcassesAndHalfCarcassesOfBeefAndVeal	172111	Fresh and frozen carcasses and half-carcasses of beef and veal	This subclass comprises fresh and frozen carcasses and half-carcasses of beef and veal.	17211
FreshAndFrozenCutsOfBeef	172112	Fresh and frozen cuts of beef	This subclass comprises fresh and frozen cuts of beef.	17211
FreshAndFrozenGroundBeef	172113	Fresh and frozen ground beef	This subclass comprises fresh and frozen ground beef.	17211
FreshAndFrozenVealExceptCarcassesAndHalfCarcasses	172114	Fresh and frozen veal (except carcasses and half-carcasses)	This subclass comprises fresh and frozen veal, except carcasses and half-carcasses.	17211
FreshAndFrozenPork	172121	Fresh and frozen pork	This subclass comprises fresh and frozen pork.	17212
FreshAndFrozenChicken	172131	Fresh and frozen chicken	This subclass comprises fresh and frozen chicken.	17213
FreshAndFrozenTurkey	172132	Fresh and frozen turkey	This subclass comprises fresh and frozen turkey.	17213
OtherFreshAndFrozenPoultryAndFowl	172133	Other fresh and frozen poultry and fowl	This subclass comprises fresh and frozen poultry and fowl, other than chicken or turkey.	17213
FreshAndFrozenLambMuttonAndGoatMeat	172141	Fresh and frozen lamb, mutton and goat meat	This subclass comprises fresh and frozen lamb, mutton and goat meat.	17214
SausageExceptPoultrySausages	172151	Sausage (except poultry sausages)	This subclass comprises sausage and similar products, made from mixtures of ground or chopped meat, except poultry, and other ingredients, shaped in a tube, whether or not cased, but not canned.	17215
HamBaconAndOtherProcessedPork	172152	Ham, bacon and other processed pork	This subclass comprises cooked, dried, smoked, pickled and salted pork cuts, except sausage or similar products.	17215
ProcessedPoultryProductsIncludingCannedPoultryAndPoultrySausages	172153	Processed poultry products (including canned poultry and poultry sausages)	This subclass comprises processed poultry and game bird products, including canned poultry and poultry sausages.	17215
CannedMeatAndProcessedMeatsN.e.c.	172154	Canned meat and processed meats, n.e.c.	This subclass comprises canned meat and processed meats, n.e.c.	17215
Lard	172155	Lard	This subclass comprises lard.	17215
AnimalOilAndFatExceptLardFeedAndFertilizerByProducts	172156	Animal oil and fat (except lard), feed and fertilizer by-products	This subclass comprises oil and fat of animal or marine origin, except lard, and animal or marine by-products for feed or fertilizer ingredients.	17215
HidesSkinsAndPeltsExceptOfFurBearingAnimals	172157	Hides, skins, and pelts (except of fur-bearing animals)	This subclass comprises hides, skins, and pelts, except of fur-bearing animals.	17215
MeatOfOtherAnimalsAndAnimalByProductsN.e.c.	172158	Meat of other animals, and animal by-products, n.e.c.	This subclass comprises meat and dressed carcasses of other animals, and animal by-products, n.e.c.	17215
FluidMilkProductsInBulk	173111	Fluid milk products, in bulk	This subclass comprises processed milk and cream, and other fluid milk products, in bulk.	17311
PackagedFluidSkimMilkExceptCannedAndUhtMilk	173112	Packaged fluid skim milk (except canned and UHT milk)	This subclass comprises fluid skim milk packaged in cartons, bags, bottles and dispenser cans, except canned and UHT milk.	17311
PackagedFluidMilkExceptSkimMilkAndCreamAndCannedAndUhtMilk	173113	Packaged fluid milk (except skim milk and cream, and canned and UHT milk)	This subclass comprises partly skimmed and whole fluid milk, packaged in cartons, bags, bottles and dispenser cans, except skim milk and cream, and canned and UHT milk.	17311
PackagedFluidCreamExceptCannedAndUhtCream	173114	Packaged fluid cream (except canned and UHT cream)	This subclass comprises fluid cream packaged in cartons, bags, bottles and dispenser cans, except canned and UHT cream.	17311
FlavouredMilkButtermilkAndSourCreamInBulkOrPackaged	173115	Flavoured milk, buttermilk, and sour cream, in bulk or packaged	This subclass comprises flavoured milk, buttermilk, and sour cream, in bulk or packaged.	17311
YoghurtExceptFrozen	173116	Yoghurt (except frozen)	This subclass comprises yoghurt, except frozen.	17311
ButterAndButterProducts	173121	Butter and butter products	This subclass comprises butter and butter products.	17312
CannedConcentratedAndCondensedMilkProductsIncludingUht	173122	Canned, concentrated and condensed milk products (including UHT)	This subclass comprises canned, concentrated and condensed milk products, including UHT (ultra high temperature) processed.	17312
DryMilkBasedPowderMixes	173123	Dry milk-based powder mixes	This subclass comprises dry milk-based powder mixes.	17312
DrySkimMilkPowder	173124	Dry skim milk powder	This subclass comprises dry skim milk powder.	17312
DryMilkProductsExceptMilkBasedPowderMixesAndSkimMilkPowder	173125	Dry milk products (except milk-based powder mixes and skim milk powder)	This subclass comprises dry milk products, except milk-based powder mixes and skim milk powder.	17312
DairyProductSubstitutesIncludingNonMilkBasedPowderMixes	173126	Dairy product substitutes (including non-milk-based powder mixes)	This subclass comprises dairy product substitutes, including non-milk-based powder mixes.	17312
CheeseExceptCottageCheeseAndProcessCheese	173131	Cheese (except cottage cheese and process cheese)	This subclass comprises cheese, except cottage cheese and processed cheese.	17313
ProcessCheeseAndProcessedCheeseProducts	173132	Process cheese and processed cheese products	This subclass comprises process cheese and processed cheese products.	17313
CottageCheese	173133	Cottage cheese	This subclass comprises cottage cheese.	17313
IceCreamSherbetAndSimilarFrozenDesserts	173141	Ice cream, sherbet and similar frozen desserts	This subclass comprises ice cream, sherbet and similar frozen desserts.	17314
DogAndCatFood	181111	Dog and cat food	This subclass comprises dog and cat food.	18111
CompleteCattleFeed	181121	Complete cattle feed	This subclass comprises complete cattle feed.	18112
CompleteSwineFeed	181122	Complete swine feed	This subclass comprises complete swine feed.	18112
ChickenAndTurkeyFeed	181123	Chicken and turkey feed	This subclass comprises complete feed, supplements, and premixes for chickens and turkeys.	18112
OtherPoultryAndLivestockFeed	181124	Other poultry and livestock feed	This subclass comprises feed for poultry, livestock, pets and laboratory animals, n.e.c.	18112
FeedConcentratesAndSupplementsAndCompleteAnimalFeedsN.e.c.	181125	Feed concentrates and supplements, and complete animal feeds, n.e.c.	This subclass comprises feed concentrates and supplements, and complete animal feed, n.e.c.	18112
MargarineButterBlendsAndButterSubstitutes	182111	Margarine, butter blends, and butter substitutes	This subclass comprises margarine, butter blends, and butter substitutes.	18211
ShorteningAndCookingOilsExceptCornOil	182112	Shortening and cooking oils (except corn oil)	This subclass comprises shortening and cooking oils, except corn oil.	18211
HardSpringWheatFlour	182121	Hard spring wheat flour	This subclass comprises hard spring wheat flour.	18212
WheatFlourExceptHardSpringWheat	182122	Wheat flour (except hard spring wheat)	This subclass comprises wheat flour, except hard spring wheat.	18212
PulseFlour	182124	Pulse flour	This subclass comprises pulse flour such as bean, pea, lentil and chick-pea flour.	18212
NonWheatFlourExceptPulseFlourAndOtherGrainMillProducts	182129	Non-wheat flour (except pulse flour), and other grain mill products	This subclass comprises non-wheat flour (except pulse flour), and other grain mill products.	18212
CornOilCornSweetenersAndWetProcessCornByProducts	182131	Corn oil, corn sweeteners, and wet process corn by-products	This subclass comprises corn oil, corn sweeteners, and wet process corn by-products.	18213
SoybeanOilCrudeOnceRefinedFuelGradeOrIndustrial	182132	Soybean oil (crude, once-refined, fuel-grade or industrial)	This subclass comprises crude, once-refined, fuel-grade or industrial soybean oil. Soybean oil may be partially refined, but not deodorized, winterized or chemically modified.	18213
CanolaOrRapeseedOilCrudeOnceRefinedFuelGradeOrIndustrial	182133	Canola or rapeseed oil (crude, once-refined, fuel-grade or industrial)	This subclass comprises crude, once-refined, fuel-grade or industrial canola or rapeseed oil. Canola or rapeseed oil may be partially refined, but not deodorized, winterized or chemically modified.	18213
OtherVegetableOilsCrudeOnceRefinedFuelGradeOrIndustrial	182134	Other vegetable oils (crude, once-refined, fuel-grade or industrial)	This subclass comprises other vegetable oils, crude, once-refined, fuel-grade or industrial. Oils may be partially refined, but not deodorized, winterized or chemically modified.	18213
OilseedCakeAndMeal	182135	Oilseed cake and meal	This subclass comprises oilseed cake and meal.	18213
Starch	182136	Starch	This subclass comprises starch.	18213
MaltAndVegetableByProductsN.e.c.	182137	Malt, and vegetable by-products n.e.c.	This subclass comprises malt, and vegetable by-products n.e.c.	18213
RawSugarAndSugarMillByProducts	182141	Raw sugar and sugar mill by-products	This subclass comprises raw sugar and sugar mill by-products.	18214
RefinedSugarExceptMapleSugar	182142	Refined sugar (except maple sugar)	This subclass comprises refined sugar, except maple sugar.	18214
BreakfastCerealAndOtherCerealProducts	183111	Breakfast cereal and other cereal products	This subclass comprises breakfast cereal and other cereal products.	18311
FlourMixesAndRefrigeratedAndFrozenDoughsBattersAndBreading	183121	Flour mixes, and refrigerated and frozen doughs, batters and breading	This subclass comprises flour mixes, and refrigerated and frozen doughs, batters and breading.	18312
DryPasta	183122	Dry pasta	This subclass comprises dry pasta.	18312
BreadRollsAndFlatbreads	183131	Bread, rolls and flatbreads	This subclass comprises fresh and frozen bread, rolls and flatbreads.	18313
CookiesAndCrackers	183141	Cookies and crackers	This subclass comprises cookies and crackers.	18314
FreshBakedDessertsAndDoughnuts	183142	Fresh baked desserts and doughnuts	This subclass comprises fresh baked desserts and fresh doughnuts.	18314
FrozenBakedDessertsAndDoughnuts	183143	Frozen baked desserts and doughnuts	This subclass comprises frozen baked desserts and frozen doughnuts.	18314
ChocolateExceptConfectionery	183211	Chocolate (except confectionery)	This subclass comprises chocolate, except confectionery.	18321
ChocolateAndChocolateTypeConfectioneryProducts	183221	Chocolate and chocolate-type confectionery products	This subclass comprises chocolate and chocolate-type confectionery products.	18322
NonChocolateConfectioneryProducts	183222	Non-chocolate confectionery products	This subclass comprises non-chocolate confectionery products.	18322
ChewingGumAndBubbleGum	183223	Chewing gum and bubble gum	This subclass comprises chewing gum and bubble gum.	18322
PotatoChips	183311	Potato chips	This subclass comprises potato chips.	18331
NutsAndOtherSnackFoodsExceptPotatoChips	183312	Nuts and other snack foods (except potato chips)	This subclass comprises nuts and other snack foods, except potato chips.	18331
LiquidBeverageBasesAndSoftDrinkFlavouringSyrups	183411	Liquid beverage bases and soft drink flavouring syrups	This subclass comprises liquid beverage bases and soft drink flavouring syrups.	18341
FlavouringSyrupsAndExtractsExceptForBeverages	183412	Flavouring syrups and extracts (except for beverages)	This subclass comprises flavouring syrups, extracts and essences, and powders made from them, except for beverages.	18341
VinegarMayonnaiseDressingsNonTomatoSaucesAndSpreads	183421	Vinegar, mayonnaise, dressings, non-tomato sauces, and spreads	This subclass comprises vinegar, mayonnaise, dressings, non-tomato sauces, and spreads.	18342
TableSaltSpicesAndSauceMixes	183422	Table salt, spices and sauce mixes	This subclass comprises table salt, pepper, dry spices and dry sauce mixes.	18342
KetchupCannedTomatoBasedSaucesAndPastesPicklesAndOtherPickledProducts	183511	Ketchup, canned tomato based sauces and pastes, pickles and other pickled products	This subclass comprises ketchup, canned tomato based sauces and pastes, pickles and other pickled products.	18351
CannedPreservesInfantFoodsAndSpecialtyFoods	183512	Canned preserves, infant foods, and specialty foods	This subclass comprises canned preserves, infant foods, and specialty foods (including peanut butter and other nut butters).	18351
CannedSoupsAndStewsExceptSeafood	183513	Canned soups and stews (except seafood)	This subclass comprises preserved soups and stews in sealed cans or other airtight containers, except seafood.	18351
CannedVegetablesAndMushroomsExceptInfantFoods	183514	Canned vegetables and mushrooms (except infant foods)	This subclass comprises preserved vegetables and mushrooms in sealed cans or other airtight containers, except infant foods.	18351
CannedFruitExceptInfantFoods	183515	Canned fruit (except infant foods)	This subclass comprises preserved fruit in sealed cans or other airtight containers, except infant foods.	18351
DriedFruitVegetablesSoupMixesAndBouillon	183516	Dried fruit, vegetables, soup mixes, and bouillon	This subclass comprises dried fruit, vegetables, soup mixes, and bouillon.	18351
FrozenVegetables	183521	Frozen vegetables	This subclass comprises frozen vegetables, whether cooked or not. May be frozen in butter or sauce.	18352
FrozenFruit	183522	Frozen fruit	This subclass comprises frozen fruit.	18352
FrozenDinnersAndFrozenFoodsN.e.c.	183523	Frozen dinners and frozen foods, n.e.c.	This subclass comprises frozen dinners and frozen foods, n.e.c.	18352
PerishablePreparedFood	183612	Perishable prepared food	This subclass comprises perishable prepared food such as cut fresh vegetables and fruit, and fresh ready to eat meals.	18361
OtherMiscellaneousFoodProductsN.e.c.	183613	Other miscellaneous food products, n.e.c.	This subclass comprises other miscellaneous food products, n.e.c.	18361
CoffeePreparedForRetailSaleExceptConcentrates	191111	Coffee, prepared for retail sale (except concentrates)	This subclass comprises roasted whole coffee bean and ground coffee, prepared for retail sale, except concentrates.	19111
ConcentratedCoffeeExtractsAndSubstitutes	191112	Concentrated coffee, extracts, and substitutes	This subclass comprises concentrated coffee, extracts, and substitutes.	19111
TeaPreparedForRetailSale	191113	Tea, prepared for retail sale	This subclass comprises tea, prepared for retail sale.	19111
FrozenFruitJuices	192111	Frozen fruit juices	This subclass comprises frozen fruit juices.	19211
FreshAndCannedFruitJuices	192112	Fresh and canned fruit juices	This subclass comprises fresh and canned fruit juices.	19211
FreshAndCannedVegetableJuices	192113	Fresh and canned vegetable juices	This subclass comprises fresh and canned vegetable juices.	19211
CarbonatedDrinksExceptLowAlcoholFermentedDrinksAndBottledWater	193111	Carbonated drinks (except low alcohol fermented drinks) and bottled water	This subclass comprises carbonated drinks, except low alcohol fermented drinks, and bottled water.	19311
NonCarbonatedBottledWaterAndDrinksExceptMilkJuiceAndLowAlcoholFermentedDrinksAndIce	193112	Non-carbonated bottled water and drinks (except milk, juice and low alcohol fermented drinks), and ice	This subclass comprises non-carbonated bottled water and drinks, except milk, juice and low alcohol fermented drinks, and ice.	19311
