ns	from	to	predicate	reverse	dataValue	date
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C1c	requiresKnowledge	requiredByOccupation	3.58	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C1d	requiresKnowledge	requiredByOccupation	3.35	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C1e	requiresKnowledge	requiredByOccupation	4.64	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C1f	requiresKnowledge	requiredByOccupation	3.95	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C2a	requiresKnowledge	requiredByOccupation	4.23	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C2b	requiresKnowledge	requiredByOccupation	0.65	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C3a	requiresKnowledge	requiredByOccupation	3.00	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C3b	requiresKnowledge	requiredByOccupation	3.27	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C3c	requiresKnowledge	requiredByOccupation	2.59	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C3d	requiresKnowledge	requiredByOccupation	2.26	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C3e	requiresKnowledge	requiredByOccupation	3.44	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C4a	requiresKnowledge	requiredByOccupation	4.07	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C4b	requiresKnowledge	requiredByOccupation	1.85	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C4c	requiresKnowledge	requiredByOccupation	1.97	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C4d	requiresKnowledge	requiredByOccupation	0.39	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C4e	requiresKnowledge	requiredByOccupation	2.67	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C4f	requiresKnowledge	requiredByOccupation	1.55	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C4g	requiresKnowledge	requiredByOccupation	0.65	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C5a	requiresKnowledge	requiredByOccupation	0.30	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C5b	requiresKnowledge	requiredByOccupation	1.43	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C6	requiresKnowledge	requiredByOccupation	3.65	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C7a	requiresKnowledge	requiredByOccupation	3.64	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C7b	requiresKnowledge	requiredByOccupation	0.63	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C7c	requiresKnowledge	requiredByOccupation	0.45	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C7d	requiresKnowledge	requiredByOccupation	0.67	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C7e	requiresKnowledge	requiredByOccupation	0.52	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C8a	requiresKnowledge	requiredByOccupation	2.40	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C8b	requiresKnowledge	requiredByOccupation	2.96	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C9a	requiresKnowledge	requiredByOccupation	1.43	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C9b	requiresKnowledge	requiredByOccupation	2.31	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-102100	https://onet.org.ai/Knowledge/2C10	requiresKnowledge	requiredByOccupation	1.66	08/2023
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C1a	requiresKnowledge	requiredByOccupation	4.41	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C1b	requiresKnowledge	requiredByOccupation	4.34	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C1c	requiresKnowledge	requiredByOccupation	2.94	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C1d	requiresKnowledge	requiredByOccupation	5.58	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C1e	requiresKnowledge	requiredByOccupation	5.39	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C1f	requiresKnowledge	requiredByOccupation	3.08	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C2a	requiresKnowledge	requiredByOccupation	2.68	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C2b	requiresKnowledge	requiredByOccupation	0.08	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C3a	requiresKnowledge	requiredByOccupation	4.17	08/2018
onet.org.ai	https://onet.org.ai/Occupation/11-201100	https://onet.org.ai/Knowledge/2C3b	requiresKnowledge	requiredByOccupation	1.57	08/2018
